0080C0C000000000 0000382020000000 0000001C14000000 0000060202020000 C070000000000000 00000000C0C0C000 0000000008382000 3C08000000000000 
80C0C00000000000 7010100000000000 0C080C0000000000 000000C080808000 0020203010000000 0000000060606000 0000000C08180000 0000020206020000 
0000000606020000 0070404000000000 0000302030000000 C080808000000000 00000E1800000000 00000000C0C0C000 0000000008382000 3C08000000000000 
0000003030100000 000000008080E000 000000000E0A0000 0080F00000000000 0C38000000000000 00000E0E00000000 000000C040600000 F040000000000000 
0000003030100000 000000008080E000 000000000E0A0000 0080F00000000000 C070000000000000 00000E0E00000000 000000C040600000 3C08000000000000 
0000003030100000 000000008080E000 000000000E0A0000 F080000000000000 0C38000000000000 00000E0E00000000 000000C040600000 0040F00000000000 
0000003030100000 8080E00000000000 000000000E0A0000 000000808080C000 0000004040602000 00000E0E00000000 4070100000000000 3C08000000000000 
0000303010000000 000000002020E000 0C080C0000000000 F080000000000000 0070C00000000000 000000C0C0C00000 0000000C08180000 0000020206020000 
0060602000000000 7010100000000000 0C080C0000000000 808080C000000000 0000001C30000000 00000000C0C0C000 0000000008382000 0000020206020000 
0060602000000000 7010100000000000 0C080C0000000000 808080C000000000 0000001030202000 00000000C0C0C000 0000000C08180000 0000020206020000 
C0C0400000000000 0000101070000000 000000000E0A0000 0000808080C00000 000000000030E000 00000E0E00000000 0030206000000000 3C08000000000000 
0000000030302000 008080E000000000 000000000E0A0000 0000021E00000000 00301C0000000000 00000000C0C0C000 C040600000000000 3C08000000000000 
0000000030302000 7040400000000000 0030203000000000 808080C000000000 0000040C08080000 00000000C0C0C000 0C08180000000000 0000020206020000 
0000000C0C080000 000000E080800000 0028380000000000 0000060202020000 000000000030E000 C0C0C00000000000 0000001070400000 3C10000000000000 
0000000C0C080000 000000E080800000 0028380000000000 0000060202020000 0000001010302000 C0C0C00000000000 000000006040C000 3C10000000000000 
0000003030200000 000000008080E000 0C080C0000000000 F080000000000000 000080C040400000 0070700000000000 0000000C08180000 0000020206020000 
0000006060400000 8080E00000000000 000000000E0A0000 000000808080C000 0000001010302000 00000E0E00000000 4070100000000000 3C08000000000000 
0030302000000000 7040400000000000 0C080C0000000000 808080C000000000 0000001C30000000 00000000C0C0C000 0000000008382000 0000020206020000 
0030302000000000 7040400000000000 0C080C0000000000 808080C000000000 0000001030202000 00000000C0C0C000 0000000C08180000 0000020206020000 
00C0C08000000000 000000008080E000 0C080C0000000000 F010000000000000 0020301010000000 0000006060600000 0000000C08180000 0000020206020000 
C0C0800000000000 000000002020E000 00000C080C000000 3C20000000000000 0018700000000000 000000C0C0C00000 0000003010180000 0000020602020000 
