000000080C0C0000 7010100000000000 0C080C0000000000 00000000F0100000 8080C04000000000 0000000000E0E000 0060203000000000 0000020602020000 
0000004060600000 000000008080E000 C080C00000000000 00000000101E0000 0070180000000000 0000060606000000 0000203808000000 3C08000000000000 
0000004060600000 000000008080E000 C080C00000000000 00000000101E0000 0010180808000000 0000060606000000 0060203000000000 3C08000000000000 
6060200000000000 1C10100000000000 00000000C080C000 00000000021E0000 8080C04000000000 0000001C1C000000 00080E0200000000 0000002020602000 
0000006060400000 000000008080E000 0028380000000000 0000020202060000 000000000C380000 C0C0C00000000000 0000041C10000000 3C10000000000000 
0000006060400000 000000008080E000 0028380000000000 0000020202060000 000004040C080000 C0C0C00000000000 0000001810300000 3C10000000000000 
0000060604000000 000000008080E000 000000000A0E0000 F080000000000000 0070C00000000000 0000000070700000 0C08180000000000 0000207800000000 
0000060604000000 8080E00000000000 000000000A0E0000 0000006020202000 0000081810100000 00000000C0C0C000 4070100000000000 3C08000000000000 
0000060604000000 0000000038202000 0000283800000000 00000000021E0000 8080C04000000000 00000000C0C0C000 4070100000000000 3C08000000000000 
3030200000000000 000000008080E000 0000000050700000 0000020202060000 000004040C080000 C0C0C00000000000 0C08180000000000 0000007820000000 
3030200000000000 0000001C04040000 00000000C080C000 0000060202020000 0000006038000000 C0C0C00000000000 0C08180000000000 0000000000782000 
C0C0800000000000 00000002020E0000 0000000000A0E000 3C20000000000000 0000202030100000 0018181800000000 000006040C000000 00004040C0400000 
C0C0800000000000 0010107000000000 0C080C0000000000 00000000003C2000 0000000C38000000 00000000C0C0C000 3020600000000000 0000020206020000 
C0C0800000000000 0010101C00000000 0000000000A0E000 3C20000000000000 0000202030100000 000000000E0E0000 00080E0200000000 00004040C0400000 
C0C0800000000000 0010101C00000000 0C080C0000000000 00000000003C2000 0000006038000000 00000000C0C0C000 3020600000000000 0000020206020000 
C0C0800000000000 0000001C10100000 0000000000A0E000 3C20000000000000 0010302020000000 000000000E0E0000 00080E0200000000 00004040C0400000 
C0C0800000000000 1C10100000000000 00000000C080C000 00000000021E0000 2020604000000000 0000001C1C000000 00080E0200000000 0000002020602000 
