0000080C0C000000 0070101000000000 C080C00000000000 0000020202060000 0000000070180000 0000000000E0E000 000020E080000000 3C08000000000000 
0080C0C000000000 0000382020000000 0000001C14000000 0000020202060000 0C38000000000000 00000000C0C0C000 0000000008382000 F040000000000000 
0080C0C000000000 0000382020000000 0000001C14000000 0000020202060000 C070000000000000 00000000C0C0C000 0000000008382000 3C08000000000000 
0000000060602000 0020203800000000 7050000000000000 000000808080C000 8080C04000000000 000000001C1C0000 0C08180000000000 0000020602020000 
0000003030100000 000000008080E000 00000A0E00000000 0080F00000000000 0C38000000000000 000000000E0E0000 000000C040600000 F040000000000000 
0000003030100000 000000008080E000 00000A0E00000000 0080F00000000000 C070000000000000 000000000E0E0000 000000C040600000 3C08000000000000 
0000003030100000 000000008080E000 00000A0E00000000 F080000000000000 0C38000000000000 000000000E0E0000 000000C040600000 0040F00000000000 
0000003030100000 8080E00000000000 00000A0E00000000 000000808080C000 0000004040602000 000000000E0E0000 4070100000000000 3C08000000000000 
0000003030100000 8080E00000000000 0000000C080C0000 000000808080C000 0000004040602000 7070000000000000 0C08180000000000 0000020206020000 
0000606020000000 00E0808000000000 0000000C080C0000 F010000000000000 0000001010302000 00000000C0C0C000 0C08180000000000 0000020206020000 
C0C0400000000000 0000101070000000 00000A0E00000000 0000808080C00000 000000000030E000 000000000E0E0000 0030206000000000 3C08000000000000 
0000000C0C080000 000000E080800000 0028380000000000 0000020202060000 000000000030E000 C0C0C00000000000 0000001070400000 3C10000000000000 
0000000C0C080000 000000E080800000 0028380000000000 0000020202060000 0000001010302000 C0C0C00000000000 000000006040C000 3C10000000000000 
0000006060400000 8080E00000000000 00000A0E00000000 000000808080C000 0000001010302000 000000000E0E0000 4070100000000000 3C08000000000000 
0000006060400000 8080E00000000000 0000000C080C0000 000000808080C000 0000001010302000 7070000000000000 0C08180000000000 0000020206020000 
0018181000000000 000000008080E000 0000000C080C0000 3C20000000000000 0000202030100000 C0C0C00000000000 000000C040600000 0000020206020000 
