0000000080C0C000 E080800000000000 0C080C0000000000 0000020202060000 1030202000000000 0000000038380000 0000101C04000000 004040C040000000 
0000000406060000 1C10100000000000 0000001808180000 C080808000000000 2060404000000000 00000000C0C0C000 00080E0200000000 0000202030200000 
0000000406060000 1C10100000000000 6020600000000000 0000000000784000 00000040C0808000 0000003838000000 00080E0200000000 80C0808000000000 
000000080C0C0000 0000001010700000 0C080C0000000000 000000808080C000 1010302000000000 E0E0000000000000 0000C04060000000 0000020602020000 
000000080C0C0000 0000001010700000 0C080C0000000000 000000808080C000 8080C04000000000 7070000000000000 0000302060000000 0000020602020000 
000000080C0C0000 0000701010000000 0C080C0000000000 808080C000000000 000000000070C000 7070000000000000 00000020E0800000 0000020602020000 
000000080C0C0000 7010100000000000 0C080C0000000000 000000808080C000 0000C07000000000 0000000070700000 80E0200000000000 0000020602020000 
000000080C0C0000 7010100000000000 0C080C0000000000 000000808080C000 8080C04000000000 0000000070700000 0060203000000000 0000020602020000 
000000080C0C0000 7010100000000000 0C080C0000000000 0000C08080800000 000000000070C000 0000007070000000 80E0200000000000 0000020602020000 
0000101818000000 008080E000000000 00000000C080C000 3C20000000000000 00180E0000000000 0000000606060000 C040600000000000 0000000020780000 
0080C0C000000000 00000008080E0000 0030203000000000 00000000F0800000 000000000070C000 0000060606000000 0C08180000000000 F040000000000000 
0080C0C000000000 00000E0202000000 00000000C080C000 0000000008780000 0C38000000000000 0000303030000000 0000000C04060000 F040000000000000 
0080C0C000000000 00000E0202000000 00000000C080C000 0000000008780000 C070000000000000 0000303030000000 0000000C04060000 3C08000000000000 
0080C0C000000000 0000380808000000 00000000C080C000 00000000101E0000 0C38000000000000 0000060606000000 0000003020600000 F040000000000000 
0080C0C000000000 0000380808000000 00000000C080C000 00000000101E0000 C070000000000000 0000060606000000 0000003020600000 3C08000000000000 
0000001818080000 1C10100000000000 6020600000000000 0000020202060000 00080C0404000000 00000000C0C0C000 0000006020300000 80C0808000000000 
0000060602000000 0020203800000000 00000000C080C000 F010000000000000 0000000038600000 00C0C0C000000000 0C08180000000000 00000000041E0000 
0000060602000000 0020203800000000 00000000C080C000 F010000000000000 000000001C060000 00C0C0C000000000 0C08180000000000 0000000020780000 
0000060602000000 008080E000000000 00000000C080C000 3C20000000000000 0000000038600000 0018181800000000 C040600000000000 00000000041E0000 
0000060602000000 008080E000000000 00000000C080C000 3C20000000000000 000000001C060000 0018181800000000 C040600000000000 0000000020780000 
0030301000000000 00000E0202000000 00000000C080C000 0000000008780000 000000E030000000 C0C0C00000000000 0000000C04060000 3C08000000000000 
C0C0400000000000 00000000E0808000 0000A0E000000000 0000021E00000000 00301C0000000000 000000000E0E0000 0000000010704000 3C08000000000000 
000000C0C0800000 0000001C04040000 0028380000000000 0000060202020000 000000000070C000 C0C0C00000000000 0000002038080000 3C10000000000000 
0000060604000000 8080E00000000000 000000000A0E0000 000000808080C000 0000081810100000 0000006060600000 4070100000000000 3C08000000000000 
3030200000000000 00000002020E0000 0000006040600000 000000808080C000 0000061C00000000 C0C0C00000000000 0C08180000000000 000000003C100000 
3030200000000000 000000E080800000 0000000C040C0000 0000060202020000 000000000070C000 C0C0C00000000000 0C08180000000000 0000001078000000 
