0000000080C0C000 0000001C04040000 0028380000000000 0000060202020000 000000E030000000 C0C0C00000000000 0000000008382000 3C10000000000000 
0000000080C0C000 0070404000000000 0000302030000000 C080808000000000 00000E1800000000 0000000606060000 0000000008382000 3C08000000000000 
0000000406060000 000000002020E000 000000C080C00000 00001E0200000000 0C38000000000000 0000001818180000 0080E02000000000 F040000000000000 
0000000406060000 000000002020E000 000000C080C00000 00001E0200000000 C070000000000000 0000001818180000 0080E02000000000 3C08000000000000 
0000001018180000 8080E00000000000 000000E0A0000000 0000060202020000 0000080C04040000 0000000000E0E000 4070100000000000 3C08000000000000 
0000001018180000 00000E0202000000 000000E0A0000000 0080F00000000000 0C38000000000000 0000000000E0E000 0000000C04060000 F040000000000000 
0000001018180000 00000E0202000000 000000E0A0000000 0080F00000000000 C070000000000000 0000000000E0E000 0000000C04060000 3C08000000000000 
0000001018180000 00000E0202000000 000000E0A0000000 F080000000000000 0C38000000000000 0000000000E0E000 0000000C04060000 0040F00000000000 
0000080C0C000000 0070101000000000 C080C00000000000 0000060202020000 00000000301C0000 0000000000E0E000 000020E080000000 3C08000000000000 
0010181800000000 00000002020E0000 000000C080C00000 0020202030000000 000000000030E000 C0C0C00000000000 000006040C000000 3C08000000000000 
0000060602000000 E080800000000000 000000E0A0000000 0008080818000000 1C30000000000000 0000000000E0E000 0040701000000000 00000000041E0000 
0000181808000000 000000002020E000 000000C080C00000 00000000101E0000 0C38000000000000 0000060606000000 0080E02000000000 F040000000000000 
0000181808000000 000000002020E000 000000C080C00000 00000000101E0000 C070000000000000 0000060606000000 0080E02000000000 3C08000000000000 
0000060604000000 000000002020E000 000000C080C00000 00000000021E0000 0C38000000000000 0000181818000000 0080E02000000000 F040000000000000 
0000060604000000 000000002020E000 000000C080C00000 00000000021E0000 C070000000000000 0000181818000000 0080E02000000000 3C08000000000000 
0000181810000000 00000002020E0000 000000C080C00000 0030202020000000 000000000030E000 C0C0C00000000000 000006040C000000 3C08000000000000 
0000C0C080000000 00E0202000000000 0000060206000000 F010000000000000 0000001C30000000 0000000000E0E000 0C08180000000000 00000000081E0000 
3030200000000000 000000008080E000 0000000C040C0000 0000060202020000 0000000018700000 C0C0C00000000000 0C08180000000000 000000F020000000 
