00000040C0C00000 000000002020E000 7050000000000000 0000060202020000 0020203010000000 0000000C0C0C0000 0C08180000000000 8080C08000000000 
00000040C0C00000 000000002020E000 0000060206000000 0000203C00000000 00000000180E0000 7070000000000000 0C08180000000000 8080C08000000000 
0000020606000000 00000008080E0000 0C080C0000000000 3010101000000000 0020206040000000 C0C0C00000000000 0000000030206000 0000008080C08000 
0008181800000000 00000002020E0000 6040600000000000 808080C000000000 1C30000000000000 0000000000E0E000 000006040C000000 00000020F0000000 
0008181800000000 00000002020E0000 6040600000000000 808080C000000000 1C30000000000000 00000000C0C0C000 000006040C000000 0000002030202000 
0008181800000000 000000008080E000 C080C00000000000 0060202020000000 00000000180E0000 0000060606000000 000000C040600000 3C10000000000000 
0040C0C000000000 00000002020E0000 0000000000A0E000 F080000000000000 0C38000000000000 0000383800000000 000006040C000000 00000000F0400000 
0000000040606000 1C10100000000000 C080C00000000000 000000C080808000 0000001C30000000 000000000E0E0000 00080E0200000000 2060202000000000 
0000000406060000 000000008080E000 00000E0A00000000 0030202020000000 0000101018080000 C0C0C00000000000 000000C040600000 3C08000000000000 
0000000406060000 1C10100000000000 E0A0000000000000 0000000078080000 0040C08080000000 0000000000E0E000 00080E0200000000 0000207800000000 
000000080C0C0000 0000101070000000 0C080C0000000000 F080000000000000 0070C00000000000 0000000000E0E000 000020E080000000 0000020602020000 
000000080C0C0000 0000101070000000 0C080C0000000000 F080000000000000 0040C08080000000 0000000000E0E000 0030206000000000 0000020602020000 
000000080C0C0000 000000008080E000 0C080C0000000000 F080000000000000 0070C00000000000 0000303030000000 000000C040600000 0000020602020000 
000000080C0C0000 00008080E0000000 0C080C0000000000 F010000000000000 00E0300000000000 0000000000E0E000 0000407010000000 0000020602020000 
000000080C0C0000 00008080E0000000 0C080C0000000000 F010000000000000 0020301010000000 0000000000E0E000 00C0406000000000 0000020602020000 
000000080C0C0000 7010100000000000 0C080C0000000000 00000080F0000000 0000C07000000000 0000000000E0E000 80E0200000000000 0000020602020000 
000000080C0C0000 7010100000000000 0C080C0000000000 00000080F0000000 8080C04000000000 0000000000E0E000 0060203000000000 0000020602020000 
000000080C0C0000 0000E08080000000 0C080C0000000000 1010103000000000 0000004040C08000 E0E0000000000000 0000000030206000 0000020602020000 
000000080C0C0000 E080800000000000 0C080C0000000000 00000010F0000000 000030E000000000 0000000000E0E000 1070400000000000 0000020602020000 
000000080C0C0000 E080800000000000 0C080C0000000000 00000010F0000000 1010302000000000 0000000000E0E000 006040C000000000 0000020602020000 
000000080C0C0000 E080800000000000 0C080C0000000000 000000808080C000 0000004040602000 0000303030000000 1070400000000000 0000020602020000 
0000004060600000 000000008080E000 7050000000000000 0000060202020000 0020203010000000 0000000C0C0C0000 0C08180000000000 8080C08000000000 
0000004060600000 000000008080E000 0000060206000000 0000203C00000000 00000000180E0000 7070000000000000 0C08180000000000 8080C08000000000 
0000203030000000 000000008080E000 C080C00000000000 0000060202020000 0070180000000000 0000000C0C0C0000 000000C040600000 3C08000000000000 
0010181800000000 000000008080E000 C080C00000000000 0060202020000000 00000000180E0000 0000060606000000 000000C040600000 3C08000000000000 
0080C0C000000000 00000002020E0000 0000382800000000 00000010F0000000 0C38000000000000 0000000000E0E000 000006040C000000 F040000000000000 
0080C0C000000000 00000002020E0000 0000382800000000 00000010F0000000 C070000000000000 0000000000E0E000 000006040C000000 3C08000000000000 
80C0C00000000000 7010100000000000 0C080C0000000000 0000021E00000000 0020206040000000 000000000E0E0000 0000000030206000 0000008080C08000 
000000C0C0400000 8080E00000000000 0000000000A0E000 0000043C00000000 00000000380C0000 7070000000000000 0C08180000000000 0000020206020000 
000000C0C0400000 00000E0202000000 0000000000A0E000 0030202020000000 00000000180E0000 C0C0C00000000000 0000101C04000000 3C08000000000000 
000000C0C0400000 00000E0202000000 0000000000A0E000 0030202020000000 0000101018080000 C0C0C00000000000 0000000C04060000 3C08000000000000 
0000303010000000 00000002020E0000 0000000060206000 0C08080800000000 8080C04000000000 7070000000000000 000006040C000000 0000008080C08000 
00C0C04000000000 00000008080E0000 0000000060206000 F010000000000000 0020203010000000 0000060606000000 0C08180000000000 0000008080C08000 
00C0C04000000000 0020203800000000 0000000060206000 F010000000000000 00000000180E0000 0000060606000000 0C08180000000000 0000008080C08000 
3030100000000000 000000008080E000 0C080C0000000000 0000203C00000000 00000000380C0000 C0C0C00000000000 000000C040600000 0000020206020000 
00000000C0C08000 0000003808080000 6040600000000000 808080C000000000 1C30000000000000 0000000606060000 0000000030206000 00081E0000000000 
0000060604000000 00E0808000000000 000000000A0E0000 F010000000000000 0000603800000000 0000000000E0E000 0C08180000000000 00000040F0000000 
3030200000000000 000000008080E000 0000000C040C0000 0000060202020000 0000000038600000 C0C0C00000000000 0C08180000000000 000000F040000000 
C0C0800000000000 00000002020E0000 0018081800000000 3C20000000000000 000070C000000000 0000000000E0E000 000006040C000000 00000020F0000000 
C0C0800000000000 00000002020E0000 0018081800000000 3C20000000000000 000070C000000000 00000000C0C0C000 000006040C000000 0000002030202000 
C0C0800000000000 0008083800000000 0000000060206000 3C20000000000000 00000000180E0000 0000060606000000 0010704000000000 0000008080C08000 
C0C0800000000000 0010107000000000 0000000060206000 0C08080800000000 00000000180E0000 0000060606000000 3020600000000000 0000008080C08000 
