0004060600000000 E080800000000000 0030203000000000 0000000878000000 004040C080000000 0000000000E0E000 0C08180000000000 00000000041E0000 
0040606000000000 04041C0000000000 2838000000000000 C080808000000000 0000001030202000 00000000C0C0C000 0000020E08000000 00000000041E0000 
2030300000000000 0008083800000000 0000000604060000 0000004078000000 0000000000386000 C0C0C00000000000 0C04060000000000 0000008080C08000 
2030300000000000 000000008080E000 0000000604060000 0000000040780000 000000E030000000 C0C0C00000000000 0C04060000000000 0008081808000000 
80C0C00000000000 000000008080E000 0000000604060000 0000180808080000 6038000000000000 0000000070700000 0C04060000000000 000020F000000000 
80C0C00000000000 0000380808000000 0000000604060000 000000808080C000 6038000000000000 0000007070000000 0C04060000000000 0000000000782000 
0000001818080000 E080800000000000 0000000604060000 0078080000000000 000070C000000000 00000000C0C0C000 0C04060000000000 0000002020302000 
000000C0C0400000 E080800000000000 0000000000A0E000 0030101010000000 0040602020000000 0C0C0C0000000000 0000020E08000000 00000000041E0000 
0000606020000000 000000008080E000 0000000604060000 0000000040780000 6038000000000000 0000181818000000 0C04060000000000 80C0808000000000 
0000606020000000 0008080E00000000 0000000000A0E000 0010101018000000 00008080C0400000 E0E0000000000000 0C04060000000000 00000000041E0000 
0060602000000000 E080800000000000 0000000604060000 0000004078000000 0000000000386000 0018181800000000 0C04060000000000 0000008080C08000 
6060200000000000 000000008080E000 0000000604060000 0000000040780000 0000006038000000 0018181800000000 0C04060000000000 8080C08000000000 
6060200000000000 0008080E00000000 000000A0E0000000 0010101018000000 8080C04000000000 0000000000E0E000 0C04060000000000 00000000041E0000 
0000000030302000 0000003808080000 0000000604060000 0000784000000000 6038000000000000 00000000C0C0C000 0C04060000000000 80C0808000000000 
0000000030302000 E080800000000000 0000000604060000 0078400000000000 000030E000000000 00000000C0C0C000 0C04060000000000 0000081808080000 
00000000C0C08000 0000080838000000 0000000604060000 C080808000000000 0000000000386000 0000707000000000 0C04060000000000 2078000000000000 
00000000C0C08000 0000701010000000 00C080C000000000 0000002020206000 E030000000000000 0C0C0C0000000000 0000020E08000000 00000000041E0000 
00000000C0C08000 E080800000000000 0000000604060000 0008080818000000 0000000000386000 0070700000000000 0C04060000000000 000000F020000000 
0000006060400000 0000701010000000 0000000000A0E000 00C0808080000000 E030000000000000 0C0C0C0000000000 0000020E08000000 00000000041E0000 
0000181810000000 000000008080E000 0000000604060000 0000000008780000 6038000000000000 0000606060000000 0C04060000000000 80C0808000000000 
0000303020000000 E080800000000000 0000000604060000 0078400000000000 000000000030E000 000000C0C0C00000 0C04060000000000 0000080818080000 
0000C0C080000000 0008080E00000000 0000000000A0E000 0010101018000000 0000202060400000 E0E0000000000000 0C04060000000000 00000000041E0000 
0018181000000000 E080800000000000 0000000604060000 0000000878000000 0000000000386000 0060606000000000 0C04060000000000 0000008080C08000 
C0C0800000000000 000000008080E000 0000000604060000 0000000008780000 000000C070000000 0018181800000000 0C04060000000000 2020602000000000 
C0C0800000000000 0008080E00000000 000000A0E0000000 0010101018000000 2020604000000000 0000000000E0E000 0C04060000000000 00000000041E0000 
