2030300000000000 000000E080800000 000000000A0E0000 0C08080800000000 000000000030E000 C0C0C00000000000 0000001070400000 0004060404000000 
2030300000000000 000000E080800000 000000000A0E0000 0C08080800000000 0000001010302000 C0C0C00000000000 000000006040C000 0004060404000000 
0000000060602000 00000010101C0000 2838000000000000 000000808080C000 0000386000000000 C0C0C00000000000 000000080E020000 0404060400000000 
0000000060602000 0000007010100000 C080C00000000000 000000808080C000 0000380C00000000 000000000E0E0000 0C04060000000000 2078000000000000 
0000000060602000 0000001C10100000 C080C00000000000 000000808080C000 0000386000000000 000000000E0E0000 0C04060000000000 2078000000000000 
6060200000000000 0010107000000000 000000000A0E0000 00000000F0100000 0008080C04000000 0000000000E0E000 0C04060000000000 8080C08000000000 
0000000030302000 008080E000000000 000000000A0E0000 0C08080800000000 E030000000000000 00000000C0C0C000 0040701000000000 0004060404000000 
0000000030302000 008080E000000000 000000000A0E0000 0C08080800000000 2030101000000000 00000000C0C0C000 C040600000000000 0004060404000000 
0000000030302000 0000007040400000 C080C00000000000 000000808080C000 0000380C00000000 000000000E0E0000 0C04060000000000 2078000000000000 
C0C0800000000000 000000E080800000 2838000000000000 0000780800000000 000000000030E000 000000000E0E0000 0000001070400000 0404060400000000 
C0C0800000000000 000000E080800000 2838000000000000 0000780800000000 0000001010302000 000000000E0E0000 000000006040C000 0404060400000000 
