0000000606020000 0000380808000000 C080C00000000000 00000000003C2000 000000E030000000 00000000C0C0C000 0C04060000000000 2078000000000000 
0000606020000000 000000008080E000 0000000050700000 0000180808080000 6038000000000000 0000000606060000 0C04060000000000 80C0808000000000 
0000606020000000 000000008080E000 0000000050700000 C080808000000000 0000180E00000000 000000000E0E0000 0C04060000000000 2078000000000000 
0000606020000000 000000008080E000 0000180818000000 0000000040780000 6038000000000000 0000000606060000 0C04060000000000 80C0808000000000 
0000C0C040000000 000000008080E000 0000000602060000 000808080C000000 0010302020000000 E0E0000000000000 0C04060000000000 0000000010780000 
0018180800000000 000000002020E000 C080C00000000000 00000000021E0000 000000061C000000 000000C0C0C00000 0C04060000000000 2060202000000000 
0018180800000000 00000002020E0000 C080C00000000000 000000043C000000 000000000030E000 000000C0C0C00000 0C04060000000000 2060202000000000 
0018180800000000 000000008080E000 6020600000000000 00000000021E0000 000000061C000000 0000006060600000 0C04060000000000 80C0808000000000 
0018180800000000 000000008080E000 6020600000000000 0000000040780000 0000006038000000 0000000606060000 0C04060000000000 80C0808000000000 
0018180800000000 000000008080E000 C080C00000000000 0000000008780000 000000C070000000 0000000606060000 0C04060000000000 2060202000000000 
0018180800000000 0000202038000000 00000000C080C000 C080808000000000 2060404000000000 0000000606060000 0C04060000000000 0000000000782000 
0018180800000000 E020200000000000 00000000C080C000 00000000021E0000 000000061C000000 00C0C0C000000000 0C04060000000000 0000002020602000 
0018180800000000 E080800000000000 0000000060206000 00000000021E0000 000000061C000000 0060606000000000 0C04060000000000 0000008080C08000 
0000000030302000 00000002020E0000 2838000000000000 000000808080C000 0000206040400000 C0C0C00000000000 000018080C000000 0404060400000000 
0000000030302000 00000002020E0000 2838000000000000 808080C000000000 4040602000000000 00000000C0C0C000 000018080C000000 0404060400000000 
0000000030302000 E080800000000000 0000000602060000 0078400000000000 000030E000000000 00000000C0C0C000 0C04060000000000 000008080C080000 
0000000C0C080000 E080800000000000 0C040C0000000000 0000020202060000 000000000030E000 000000C0C0C00000 0000602030000000 0078100000000000 
