0000000206060000 0000380808000000 2838000000000000 000000C080808000 0000000000386000 C0C0C00000000000 0000001070400000 0404060400000000 
0000000206060000 E080800000000000 0000301030000000 0078400000000000 000000000030E000 000000C0C0C00000 0C04060000000000 0000080C08080000 
00000040C0C00000 000000002020E000 2838000000000000 C080808000000000 04040C0800000000 000000001C1C0000 0040701000000000 0000020602020000 
00000040C0C00000 000000002020E000 6020600000000000 00000000021E0000 000000061C000000 0018181800000000 0C04060000000000 80C0808000000000 
00000040C0C00000 00000002020E0000 6020600000000000 000000043C000000 000000000030E000 0018181800000000 0C04060000000000 80C0808000000000 
00000040C0C00000 0008080E00000000 6020600000000000 0010101030000000 000000000030E000 000000000E0E0000 0C04060000000000 80C0808000000000 
0000000406060000 0000101070000000 2838000000000000 0000080808180000 0404060200000000 0000000000E0E000 C040600000000000 008080C080000000 
000000080C0C0000 000000008080E000 0C040C0000000000 808080C000000000 6038000000000000 0000000070700000 0040701000000000 0000020602020000 
000000080C0C0000 000000008080E000 6040600000000000 808080C000000000 0C38000000000000 0000000070700000 00041C1000000000 0000020602020000 
0000004060600000 000000008080E000 2838000000000000 C080808000000000 04040C0800000000 000000001C1C0000 0040701000000000 0000020602020000 
0000004060600000 000000008080E000 6020600000000000 00000000021E0000 000000061C000000 0018181800000000 0C04060000000000 80C0808000000000 
00000080C0C00000 000000002020E000 0018081800000000 00000000021E0000 000000061C000000 E0E0000000000000 0C04060000000000 0000F04000000000 
00000080C0C00000 00000002020E0000 0018081800000000 000000043C000000 000000000030E000 E0E0000000000000 0C04060000000000 0000F04000000000 
0000080C0C000000 00000002020E0000 0000705000000000 00000000F0100000 6038000000000000 0000000000E0E000 0C04060000000000 80C0808000000000 
0000080C0C000000 0000101070000000 2838000000000000 00000000021E0000 0404060200000000 0000000000E0E000 C040600000000000 008080C080000000 
0000101818000000 E080800000000000 0038280000000000 0040404060000000 0000000000386000 0000000606060000 0C04060000000000 0000008080C08000 
0000101818000000 E080800000000000 0000604060000000 0078080000000000 0000000000386000 0000000606060000 0C04060000000000 0000008080C08000 
80C0C00000000000 000000002020E000 000000141C000000 00000000021E0000 0404060200000000 000000C0C0C00000 6020300000000000 0818080800000000 
80C0C00000000000 000000002020E000 0000000602060000 0000301010100000 6038000000000000 000000C0C0C00000 0C04060000000000 000008080C080000 
80C0C00000000000 0000380808000000 0000005070000000 000000808080C000 6038000000000000 0000000606060000 0C04060000000000 0000000000782000 
