0000000818180000 000000002020E000 E0A0000000000000 0000C08080800000 0000206040400000 0000000606060000 0C04060000000000 1018101000000000 
0000000818180000 000000008080E000 E0A0000000000000 0000602020200000 000080C040400000 0000000606060000 0C04060000000000 1018101000000000 
0000000818180000 0000E02020000000 E0A0000000000000 000000808080C000 0000004040602000 0000000606060000 0C04060000000000 1018101000000000 
0000000818180000 0000E08080000000 E0A0000000000000 0000002020206000 0000004040C08000 0000000606060000 0C04060000000000 1018101000000000 
0000040C0C000000 3820200000000000 C080C00000000000 0000020202060000 0000000000386000 0000007070000000 041C100000000000 0000008080C08000 
0000000080C0C000 00000008080E0000 0000602060000000 808080C000000000 0000001010302000 0000060606000000 041C100000000000 7820000000000000 
0000000080C0C000 0000001C04040000 E0A0000000000000 0000060202020000 000000C070000000 1C1C000000000000 0000000008382000 0000F02000000000 
0000000080C0C000 0000001C04040000 C080C00000000000 0000060202020000 000000C070000000 1C1C000000000000 0000000008382000 2020302000000000 
0000000080C0C000 0000001C10100000 3828000000000000 C080808000000000 0404060200000000 000000000E0E0000 0010704000000000 0000002060202000 
00000080C0C00000 000000002020E000 00000000141C0000 0000060202020000 8080C04000000000 1C1C000000000000 6020300000000000 0000003C08000000 
00000080C0C00000 000000002020E000 0000060206000000 00000000101E0000 8080C04000000000 1C1C000000000000 6020300000000000 0000003C08000000 
00000080C0C00000 0000001C04040000 E0A0000000000000 0000060202020000 000000000030E000 1C1C000000000000 0000002038080000 0000F04000000000 
0004060600000000 00000010101C0000 000000A0E0000000 F080000000000000 0C38000000000000 0000000000E0E000 000000080E020000 0000F04000000000 
0080C0C000000000 00002020E0000000 0018101800000000 00000000021E0000 000000061C000000 0000000000E0E000 0C04060000000000 F020000000000000 
0000000C0C040000 3820200000000000 C080C00000000000 0000060202020000 0000000000386000 0000007070000000 041C100000000000 0000008080C08000 
0000060602000000 000000008080E000 C080C00000000000 3C20000000000000 001C300000000000 0000003838000000 000000C040600000 00000000041E0000 
0000060602000000 3820200000000000 C080C00000000000 000000808080C000 0000004040602000 0000003838000000 041C100000000000 00000000041E0000 
0C0C040000000000 000000008080E000 00000000141C0000 F080000000000000 0010101808000000 0000006060600000 0020E08000000000 0000020602020000 
0C0C040000000000 000000008080E000 00000000141C0000 C080808000000000 0010101808000000 0000006060600000 3020600000000000 0000020602020000 
0000000030302000 00000002020E0000 3828000000000000 C080808000000000 000000380C000000 00000000C0C0C000 0010704000000000 0404060400000000 
0000000030302000 001C040400000000 C080C00000000000 3C20000000000000 000030E000000000 00000000C0C0C000 00000018080C0000 0000020206020000 
0000000030302000 1C04040000000000 0000000C080C0000 C080808000000000 2020604000000000 00000000C0C0C000 0018103000000000 0000020206020000 
00000000C0C08000 0000000E02020000 E0A0000000000000 000000003C040000 0000000000386000 0000E0E000000000 0C04060000000000 1018101000000000 
0000060604000000 000000008080E000 000000000A0E0000 808080C000000000 0000603800000000 0000000070700000 041C100000000000 7820000000000000 
0000C0C080000000 000002020E000000 E0A0000000000000 00000000101E0000 0000003860000000 0000000000E0E000 1810300000000000 040C040400000000 
1818100000000000 E020200000000000 000000000A0E0000 0000003C04000000 0404060200000000 0000000000E0E000 0000004070100000 0080C08080000000 
