0000020606000000 00000008080E0000 000000C080C00000 0010101030000000 000000000030E000 0C0C0C0000000000 0080E02000000000 F020000000000000 
0000020606000000 00000008080E0000 C080C00000000000 3C04000000000000 00380C0000000000 0000000000E0E000 000020E080000000 0000101030100000 
0818180000000000 000000002020E000 000000C080C00000 00000000021E0000 0404060200000000 0000001C1C000000 0080E02000000000 F020000000000000 
0000000080C0C000 00000E0202000000 6020600000000000 808080C000000000 00000000180E0000 1C1C000000000000 0000101C04000000 0000002020302000 
0000000080C0C000 00000E0202000000 6020600000000000 808080C000000000 0000101018080000 1C1C000000000000 0000000C04060000 0000002020302000 
0000000080C0C000 1C10100000000000 6020600000000000 808080C000000000 00000000180E0000 0000060606000000 000C081800000000 0000002020302000 
0000001018180000 000000008080E000 0000006020600000 0000060202020000 0000080C04040000 1C1C000000000000 6020300000000000 8080C08000000000 
0000001018180000 8080E00000000000 000000E0A0000000 0000060202020000 0000080C04040000 0000000000E0E000 041C100000000000 7820000000000000 
0000080C0C000000 00000002020E0000 C080C00000000000 3C20000000000000 001C060000000000 0000000000E0E000 000020E080000000 0000101030100000 
0004060600000000 E080800000000000 000000C080C00000 0C08080800000000 000000000030E000 000000000E0E0000 0000602030000000 1030101000000000 
1018180000000000 000000008080E000 0000003828000000 C080808000000000 2020604000000000 0000000606060000 0C04060000000000 0000000010780000 
1018180000000000 000000008080E000 E0A0000000000000 00000000021E0000 0000000038600000 0000E0E000000000 0C04060000000000 0000001E04000000 
1018180000000000 000000008080E000 E0A0000000000000 0000001E02000000 0000000038600000 0000E0E000000000 0C04060000000000 00000000041E0000 
1018180000000000 000000008080E000 E0A0000000000000 0000001E02000000 000000001C060000 0000E0E000000000 0C04060000000000 0000000020780000 
1018180000000000 0000E08080000000 E0A0000000000000 00000000021E0000 000000061C000000 0000000000E0E000 0C04060000000000 0000007820000000 
1018180000000000 0000E08080000000 E0A0000000000000 00000000021E0000 0000006038000000 0000000000E0E000 0C04060000000000 0000001E04000000 
1018180000000000 0000E08080000000 E0A0000000000000 0000001E02000000 0000006038000000 0000000000E0E000 0C04060000000000 00000000041E0000 
1018180000000000 E080800000000000 000000C080C00000 0000001E10000000 000000000030E000 000000000E0E0000 0C04060000000000 0020602020000000 
0000000606020000 00000010101C0000 000000E0A0000000 F080000000000000 0030E00000000000 0000000000E0E000 0C04060000000000 0008180808000000 
0000060602000000 000000008080E000 0000180818000000 C080808000000000 2020604000000000 1C1C000000000000 0000003020600000 00000000041E0000 
0000181808000000 001C040400000000 C080C00000000000 3C20000000000000 00000000301C0000 0000000000E0E000 000020E080000000 0000020206020000 
0C0C040000000000 000000008080E000 6020600000000000 808080C000000000 1010180800000000 000000001C1C0000 0000003020600000 0000020602020000 
0C0C040000000000 00000010101C0000 000000E0A0000000 F080000000000000 0030E00000000000 0000000000E0E000 000018080C000000 0000020602020000 
1818080000000000 000000008080E000 0000006020600000 00000000021E0000 0404060200000000 0000001C1C000000 6020300000000000 8080C08000000000 
0000000C0C080000 E080800000000000 000000C080C00000 0000020202060000 000000000030E000 0C0C0C0000000000 0000602030000000 1030101000000000 
0000001818100000 00000002020E0000 000000E0A0000000 F080000000000000 0030E00000000000 0000000000E0E000 0C08180000000000 0004060404000000 
0000060604000000 0000380808000000 E0A0000000000000 00000000021E0000 0000C07000000000 1C1C000000000000 0000000030206000 0000008080C08000 
00000C0C08000000 001C101000000000 C080C00000000000 3C20000000000000 00000000301C0000 0000000000E0E000 000020E080000000 0000020206020000 
00000C0C08000000 3820200000000000 C080C00000000000 000000F080000000 00000000301C0000 0000000000E0E000 041C100000000000 0000020206020000 
0000C0C080000000 0008080E00000000 E0A0000000000000 00000000021E0000 1010302000000000 0000000000E0E000 0C04060000000000 000000103C000000 
0C0C080000000000 000000002020E000 000000C080C00000 00000000101E0000 0010101808000000 0000060606000000 0080E02000000000 F020000000000000 
0C0C080000000000 00000002020E0000 000000E0A0000000 F080000000000000 0030E00000000000 0000000000E0E000 000006040C000000 0000101810100000 
0C0C080000000000 00000008080E0000 000000C080C00000 0010101030000000 000000000030E000 0000060606000000 0080E02000000000 F020000000000000 
0C0C080000000000 E080800000000000 000000C080C00000 0000060202020000 000000000030E000 0000000C0C0C0000 0000602030000000 1030101000000000 
1818100000000000 000000008080E000 6020600000000000 808080C000000000 04040C0800000000 000000001C1C0000 0000003020600000 0000020602020000 
