0000001018180000 0000704040000000 E0A0000000000000 0000002020206000 1018080800000000 0000000606060000 0C04060000000000 0000008080C08000 
0000001018180000 0000704040000000 E0A0000000000000 000000808080C000 1018080800000000 0000000606060000 0C04060000000000 0000002020602000 
0000002030300000 000000008080E000 0038280000000000 F080000000000000 0000101808080000 0000000606060000 0C04060000000000 000040C040400000 
00000080C0C00000 000000002020E000 0000507000000000 F080000000000000 04040C0800000000 000000001C1C0000 0838200000000000 0000020602020000 
00000080C0C00000 0038080800000000 0000000602060000 F080000000000000 000000000030E000 0000707000000000 0C04060000000000 000000003C080000 
00000080C0C00000 1C04040000000000 E0A0000000000000 0000020202060000 000000000030E000 0000707000000000 0018080C00000000 000000003C080000 
0000000606020000 1010700000000000 E0A0000000000000 00000000003C2000 000000E030000000 00000000C0C0C000 0C04060000000000 0008081808000000 
0000060602000000 0000704040000000 E0A0000000000000 000000808080C000 000000001C060000 1C1C000000000000 0000083820000000 0000000000782000 
0000060602000000 1C10100000000000 E0A0000000000000 000000808080C000 000000001C060000 0000606060000000 000C081800000000 0000000000782000 
0018180800000000 00000002020E0000 000000141C000000 F080000000000000 000000000030E000 000000C0C0C00000 0C04060000000000 0020602020000000 
0018180800000000 000000008080E000 0000000028380000 F080000000000000 0020203010000000 0000000606060000 0C04060000000000 000040C040400000 
0C0C040000000000 1010700000000000 E0A0000000000000 000000808080C000 0000004040602000 000000001C1C0000 0000083820000000 0000020602020000 
0C0C040000000000 1010700000000000 E0A0000000000000 000000C080808000 000008080C040000 0000000060606000 0000003010180000 0000020602020000 
00000000C0C08000 1010700000000000 E0A0000000000000 0008080818000000 0000000000386000 0000000606060000 0C04060000000000 000000F020000000 
00000000C0C08000 00000E0202000000 E0A0000000000000 0000003C04000000 000070C000000000 1C1C000000000000 0000000030206000 00000000081E0000 
0000060604000000 0000000038202000 E0A0000000000000 00000000021E0000 040C080800000000 00000000C0C0C000 1810300000000000 000040F000000000 
0030302000000000 000000008080E000 0000000028380000 F080000000000000 0008081810000000 0000000606060000 0C04060000000000 000040C040400000 
