0008181800000000 1C04040000000000 0000602060000000 0000020202060000 E030000000000000 0000000000E0E000 000000041C100000 008080C080000000 
0000000040606000 0000E02020000000 E0A0000000000000 000000C080808000 0000080818100000 0000000606060000 0C04060000000000 1018101000000000 
0000000040606000 0000E02020000000 E0A0000000000000 000000C080808000 1018080800000000 0000000606060000 0C04060000000000 0000101018100000 
0000000080C0C000 0038080800000000 0000E0A000000000 F080000000000000 0000004060202000 0000000606060000 0C04060000000000 0000101018100000 
0000000080C0C000 00000E0808000000 0000602060000000 808080C000000000 0000001010302000 0000000606060000 041C100000000000 7820000000000000 
00000080C0C00000 000000002020E000 000000001C140000 0000060202020000 8080C04000000000 1C1C000000000000 6020300000000000 0000083C00000000 
00000080C0C00000 000000002020E000 E0A0000000000000 0000020202060000 00000C3800000000 1C1C000000000000 000000041C100000 0000F04000000000 
00000080C0C00000 000000002020E000 E0A0000000000000 0000020202060000 0000C07000000000 1C1C000000000000 000000041C100000 00003C0800000000 
00000080C0C00000 000000002020E000 C080C00000000000 2020206000000000 0000080818100000 0000000606060000 0C04060000000000 1018101000000000 
00000080C0C00000 000000002020E000 C080C00000000000 2020206000000000 1018080800000000 0000000606060000 0C04060000000000 0000101018100000 
00000080C0C00000 000004041C000000 E0A0000000000000 0000020202060000 000000000030E000 1C1C000000000000 0000083820000000 0000F04000000000 
00000080C0C00000 0000080838000000 C080C00000000000 2020206000000000 000000000030E000 0000000606060000 0C04060000000000 1018101000000000 
0000060602000000 1C10100000000000 6020600000000000 808080C000000000 000000001C060000 00000000C0C0C000 000C081800000000 0000002020302000 
0000181808000000 000000008080E000 0000000050700000 808080C000000000 7018000000000000 0000000606060000 0C04060000000000 0020602020000000 
0000606020000000 0038080800000000 0000000000A0E000 F080000000000000 00008080C0400000 0000000606060000 0C04060000000000 0000101018100000 
0000C0C040000000 000000008080E000 E0A0000000000000 0000202020600000 0000080818100000 0000000606060000 0C04060000000000 1018101000000000 
0000C0C040000000 000000008080E000 E0A0000000000000 0000202020600000 1018080800000000 0000000606060000 0C04060000000000 0000101018100000 
0000C0C040000000 000000008080E000 0018081800000000 F080000000000000 0000000018700000 0000000606060000 0C04060000000000 0020302020000000 
0018180800000000 1C04040000000000 E0A0000000000000 0000808080C00000 000000000030E000 0000606060000000 000000101C040000 0000020602020000 
0C0C040000000000 0020203800000000 C080C00000000000 000000003C040000 000000000030E000 000000C0C0C00000 3010180000000000 0000020602020000 
0C0C040000000000 0000E08080000000 E0A0000000000000 1010103000000000 000008080C040000 0000000000E0E000 0000004070100000 0000020602020000 
0C0C040000000000 0000E08080000000 0030103000000000 F080000000000000 000008080C040000 0000000000E0E000 0000004070100000 0000020602020000 
0000000030302000 1C04040000000000 6020600000000000 808080C000000000 000008080C040000 00000000C0C0C000 0018103000000000 0000020602020000 
0000001818100000 000000008080E000 1C14000000000000 0000020202060000 00080C0404000000 0000006060600000 6020300000000000 8080C08000000000 
0000001818100000 000000008080E000 C080C00000000000 3C04000000000000 00180E0000000000 0000000606060000 000000C040600000 0020302020000000 
0000606040000000 000000002020E000 E0A0000000000000 0000808080C00000 0000080818100000 0000000606060000 0C04060000000000 1018101000000000 
0000606040000000 000000002020E000 E0A0000000000000 0000808080C00000 1018080800000000 0000000606060000 0C04060000000000 0000101018100000 
0000606040000000 0000080838000000 E0A0000000000000 0000808080C00000 000000000030E000 0000000606060000 0C04060000000000 1018101000000000 
0000C0C080000000 04041C0000000000 000000001C140000 F080000000000000 0000003860000000 0000000000E0E000 0838200000000000 0000020602020000 
0000C0C080000000 0038080800000000 0000000000A0E000 F080000000000000 0000202060400000 0000000606060000 0C04060000000000 0000101018100000 
000C0C0800000000 1C10100000000000 E0A0000000000000 0000808080C00000 000000000030E000 0000606060000000 000000101C040000 0000020602020000 
000C0C0800000000 E080800000000000 0000000060206000 0000020202060000 1C30000000000000 0000707000000000 000000041C100000 0000008080C08000 
1818100000000000 0000E08080000000 E0A0000000000000 0000020202060000 000000380C000000 0000000000E0E000 0000004070100000 04040C0400000000 
