000000001C180000 3820200000000000 C080C00000000000 000000C080808000 00000C3800000000 0000000060606000 041C100000000000 0000020602020000 
000000001C180000 3820200000000000 C080C00000000000 000000C080808000 04040C0800000000 0000000060606000 0018103000000000 0000020602020000 
0000000070600000 000000008080E000 6020600000000000 808080C000000000 00001C3000000000 1C1C000000000000 0000000C08180000 0000020206020000 
00000000E0C00000 8080E00000000000 000000000E0A0000 000000F010000000 000000000030E000 00000E0E00000000 041C100000000000 7820000000000000 
0000007060000000 0008080E00000000 C080C00000000000 000000001E020000 0000000000386000 3030300000000000 0C04060000000000 0000008080C08000 
0000007060000000 3820200000000000 C080C00000000000 000000001E020000 0000000000386000 00000E0E00000000 041C100000000000 0000008080C08000 
000000E0C0000000 0008080E00000000 000000000E0A0000 F080000000000000 0030E00000000000 0000000000E0E000 0C04060000000000 0000101030100000 
1C18000000000000 000000008080E000 E0A0000000000000 0000000040780000 0000000C38000000 0000E0E000000000 00041C1000000000 0000020206020000 
1C18000000000000 000000008080E000 E0A0000000000000 0000000040780000 0004040C08000000 0000E0E000000000 0000181030000000 0000020206020000 
1C18000000000000 00008080E0000000 E0A0000000000000 0000784000000000 0004040C08000000 0000000000E0E000 0000003010180000 0000020206020000 
1C18000000000000 2020380000000000 C080C00000000000 000000C080808000 0004040C08000000 0000000060606000 0000003010180000 0000020206020000 
0818180000000000 0000001C10100000 000000000E0A0000 000000C080808000 0404060200000000 0000000060606000 0080E02000000000 F020000000000000 
0000000080C0C000 0000101070000000 E0A0000000000000 0C04040400000000 1018080800000000 0000E0E000000000 0000000008382000 0000020206020000 
0000000080C0C000 0008083800000000 C080C00000000000 0C04040400000000 000000C070000000 3030300000000000 0000000008382000 0000020206020000 
0000000080C0C000 04041C0000000000 C080C00000000000 0000203C00000000 000000C070000000 3838000000000000 0000000008382000 0000020206020000 
0000000080C0C000 0010101C00000000 C080C00000000000 3020202000000000 000000C070000000 0C0C0C0000000000 0000000008382000 0000020206020000 
0000000080C0C000 2020380000000000 C080C00000000000 0000043C00000000 000000C070000000 1C1C000000000000 0000000008382000 0000020206020000 
0000000080C0C000 001C040400000000 C080C00000000000 3C20000000000000 000000C070000000 0000383800000000 0000000008382000 0000020206020000 
0000000080C0C000 3808080000000000 C080C00000000000 0404040C00000000 000000C070000000 0030303000000000 0000000008382000 0000020206020000 
0000000080C0C000 0038202000000000 C080C00000000000 3C04000000000000 000000C070000000 00001C1C00000000 0000000008382000 0000020206020000 
0000000080C0C000 1C10100000000000 C080C00000000000 2020203000000000 000000C070000000 000C0C0C00000000 0000000008382000 0000020206020000 
0000001018180000 000000002020E000 1808180000000000 0404040C00000000 E030000000000000 000000C0C0C00000 0080E02000000000 0000020206020000 
0000001018180000 000000008080E000 1C14000000000000 0000060202020000 0008080C04000000 0000006060600000 6020300000000000 8080C08000000000 
0000001018180000 000000008080E000 C080C00000000000 3C20000000000000 0010302020000000 000C0C0C00000000 000000C040600000 0000020206020000 
0000080C0C000000 3820200000000000 C080C00000000000 0000060202020000 0000000000386000 0000007070000000 041C100000000000 0000008080C08000 
0000203030000000 04041C0000000000 C080C00000000000 000000808080C000 0000004040602000 3838000000000000 0000000C08180000 0000020206020000 
0000406060000000 E080800000000000 000000141C000000 0000060202020000 0000000000386000 1C1C000000000000 0020380800000000 0000008080C08000 
0004060600000000 E080800000000000 000000000E0A0000 0C08080800000000 000000000030E000 000000C0C0C00000 0000602030000000 1030101000000000 
0080C0C000000000 0008080E00000000 000000000E0A0000 F010000000000000 0000001010302000 00000000C0C0C000 0C04060000000000 0020302020000000 
0080C0C000000000 0008080E00000000 000000000E0A0000 F010000000000000 0020301010000000 00000000C0C0C000 0C04060000000000 0000002020302000 
1018180000000000 0000000E02020000 C080C00000000000 2020203000000000 000000000030E000 000000C0C0C00000 0C04060000000000 000000003C080000 
1018180000000000 E080800000000000 000000000E0A0000 0000001E10000000 000000000030E000 000000C0C0C00000 0C04060000000000 0020602020000000 
0000000606020000 0008083800000000 C080C00000000000 0000004078000000 0000000000386000 3030300000000000 0C04060000000000 0000008080C08000 
0000000606020000 000000008080E000 0000000028380000 C080808000000000 0008081810000000 3030300000000000 0C04060000000000 0000406040400000 
0000000606020000 000000008080E000 C080C00000000000 0000000040780000 000000E030000000 3030300000000000 0C04060000000000 0008081808000000 
0000000606020000 000000008080E000 C080C00000000000 3C04000000000000 00180E0000000000 0000001818180000 000000C040600000 0020302020000000 
