7030000000000000 00000002020E0000 000000A0E0000000 0000301010100000 8080C04000000000 0000000000E0E000 0C04060000000000 0008080C08000000 
7030000000000000 8080E00000000000 0000000602060000 000000F080000000 0000000070180000 0000000000E0E000 0C04060000000000 0008180808000000 
0000000000706000 E080800000000000 0000705000000000 0000020202060000 1C30000000000000 000C0C0C00000000 0000002038080000 00000080C0808000 
00000000E0C00000 00000002020E0000 C080C00000000000 000000F010000000 000000000030E000 3030300000000000 0C04060000000000 0008080C08000000 
00000000E0C00000 8080E00000000000 000000000A0E0000 000000F010000000 000000000030E000 00000E0E00000000 041C100000000000 7820000000000000 
000000E0C0000000 0008080E00000000 000000000A0E0000 F080000000000000 0030E00000000000 0000000000E0E000 0C04060000000000 0000101030100000 
0000E0C000000000 0038080800000000 0000000602060000 F080000000000000 0000101018080000 00000000C0C0C000 0C04060000000000 0000002020302000 
0000E0C000000000 1C04040000000000 E0A0000000000000 0000020202060000 0000101018080000 00000000C0C0C000 0018080C00000000 0000002020302000 
001C180000000000 00000002020E0000 C080C00000000000 3C20000000000000 0000061C00000000 0000000000E0E000 000020E080000000 0000000078100000 
1C18000000000000 0000701010000000 E0A0000000000000 00000000003C2000 00040C0808000000 00000000C0C0C000 000080E020000000 0000020602020000 
3830000000000000 0000101070000000 C080C00000000000 00000000021E0000 0404060200000000 0000000000E0E000 000020E080000000 0008080C08000000 
3830000000000000 000000008080E000 C080C00000000000 00000000021E0000 0404060200000000 0000303030000000 000000C040600000 0008080C08000000 
0000000020606000 0008080E00000000 C080C00000000000 00000000021E0000 0000007018000000 3030300000000000 0C04060000000000 00000080C0808000 
0000000020606000 3820200000000000 C080C00000000000 00000000021E0000 0000007018000000 00000E0E00000000 041C100000000000 00000080C0808000 
0000002060600000 000000008080E000 0000000602060000 808080C000000000 7018000000000000 0000001818180000 0C04060000000000 0020780000000000 
0000081818000000 1C04040000000000 E0A0000000000000 00000000003C2000 0018700000000000 00000000C0C0C000 000080E020000000 0000020602020000 
0000103030000000 00000002020E0000 00A0E00000000000 F010000000000000 000000000030E000 000000C0C0C00000 0C04060000000000 0008080C08000000 
0818180000000000 0000001C10100000 000000000A0E0000 000000C080808000 0404060200000000 0000000060606000 0080E02000000000 F020000000000000 
0000000040606000 04041C0000000000 C080C00000000000 000000C080808000 00000000301C0000 3838000000000000 0000203808000000 0000020602020000 
0000000040606000 04041C0000000000 C080C00000000000 000000C080808000 0000202030100000 3838000000000000 00000018080C0000 0000020602020000 
0000000080C0C000 04041C0000000000 C080C00000000000 00000000003C2000 000000C070000000 3838000000000000 0000203808000000 0000020602020000 
0000000080C0C000 0000404070000000 0000000602060000 C080808000000000 00000E1800000000 1C1C000000000000 0000000008382000 2020302000000000 
0004060600000000 E080800000000000 000000000A0E0000 0C08080800000000 000000000030E000 000000C0C0C00000 0000602030000000 1030101000000000 
0010181800000000 3820200000000000 C080C00000000000 0000020202060000 000000000030E000 000000C0C0C00000 0000002038080000 040C040400000000 
0010181800000000 3820200000000000 C080C00000000000 0000020202060000 000000E030000000 00000000C0C0C000 0000000008382000 040C040400000000 
0080C0C000000000 00000002020E0000 1808180000000000 00000000F0100000 E030000000000000 0000000000E0E000 0000203808000000 0404060400000000 
0080C0C000000000 0008080E00000000 000000000A0E0000 F010000000000000 0000001010302000 00000000C0C0C000 0C04060000000000 0020302020000000 
0080C0C000000000 0008080E00000000 000000000A0E0000 F010000000000000 0020301010000000 00000000C0C0C000 0C04060000000000 0000002020302000 
0080C0C000000000 E020200000000000 0000000000A0E000 00000000021E0000 00001C3000000000 1C1C000000000000 0000020E08000000 00000000F0400000 
0080C0C000000000 E020200000000000 0000000000A0E000 0000020202060000 00001C3000000000 1C1C000000000000 0000000C08180000 00000000F0400000 
1018180000000000 E020200000000000 0000000602060000 0000007808000000 0000000070180000 0000000000E0E000 0C04060000000000 0080C08080000000 
1018180000000000 E020200000000000 0000000602060000 0000002020206000 0000004040C08000 0000001818180000 0C04060000000000 0080C08080000000 
1018180000000000 E020200000000000 0000000602060000 0000002020206000 0080C04040000000 0000001818180000 0C04060000000000 0000008080C08000 
1018180000000000 E020200000000000 0000000602060000 000000808080C000 0080C04040000000 0000003838000000 0C04060000000000 0000000000782000 
1018180000000000 E020200000000000 0000000602060000 000000808080C000 0080C04040000000 0000001818180000 0C04060000000000 0000002020602000 
1018180000000000 E080800000000000 000000000A0E0000 0000001E10000000 000000000030E000 000000C0C0C00000 0C04060000000000 0020602020000000 
1018180000000000 E080800000000000 0000000602060000 0000002020206000 0020604040000000 0000001818180000 0C04060000000000 0000008080C08000 
1018180000000000 E080800000000000 0000000602060000 000000808080C000 0020604040000000 0000003838000000 0C04060000000000 0000000000782000 
1018180000000000 E080800000000000 0000000602060000 000000808080C000 0020604040000000 0000001818180000 0C04060000000000 0000002020602000 
1018180000000000 E080800000000000 0000000602060000 000000808080C000 0000004040602000 0000001818180000 0C04060000000000 0020602020000000 
0000003030100000 00000002020E0000 3828000000000000 C080808000000000 0010180808000000 0000000000E0E000 00006040C0000000 0404060400000000 
0000003030100000 00000002020E0000 C080C00000000000 000000808080C000 0000004040602000 3030300000000000 0C04060000000000 0008080C08000000 
0000003030100000 8080E00000000000 000000000A0E0000 000000808080C000 0000004040602000 00000E0E00000000 041C100000000000 7820000000000000 
0000060602000000 0008083800000000 1C14000000000000 00000080F0000000 8080C04000000000 0000000000E0E000 6020300000000000 00000000081E0000 
0000060602000000 1C10100000000000 6020600000000000 808080C000000000 00000000180E0000 00000000C0C0C000 000C081800000000 0000002020302000 
0000303010000000 000000002020E000 C080C00000000000 3C20000000000000 001C060000000000 000000C0C0C00000 0000080E02000000 00000000081E0000 
0000303010000000 000000002020E000 C080C00000000000 3C20000000000000 0004060202000000 000000C0C0C00000 0018080C00000000 00000000081E0000 
0C0C040000000000 1010700000000000 E0A0000000000000 0000020202060000 0000001010302000 00000000C0C0C000 000080E020000000 0000080C08080000 
0C0C040000000000 1010700000000000 E0A0000000000000 00000808080C0000 0000001010302000 00000000C0C0C000 000080E020000000 0000020602020000 
0C0C040000000000 000000E080800000 C080C00000000000 0000020202060000 000000000030E000 3030300000000000 0000001070400000 0000080C08080000 
0C0C040000000000 000000E080800000 C080C00000000000 0000020202060000 0000001010302000 3030300000000000 000000006040C000 0000080C08080000 
0C0C040000000000 000000E080800000 C080C00000000000 00000808080C0000 000000000030E000 3030300000000000 0000001070400000 0000020602020000 
0C0C040000000000 000000E080800000 C080C00000000000 00000808080C0000 0000001010302000 3030300000000000 000000006040C000 0000020602020000 
1818080000000000 0000001C10100000 000000000A0E0000 0000006020202000 0404060200000000 00000000C0C0C000 6020300000000000 8080C08000000000 
3030100000000000 00000002020E0000 C080C00000000000 000000C080808000 0000203010100000 0000000060606000 0C04060000000000 0008080C08000000 
0000000030302000 04041C0000000000 C080C00000000000 000000808080C000 0000206040400000 3838000000000000 00000018080C0000 0000020602020000 
0000000030302000 8080E00000000000 000000000A0E0000 000010F000000000 0404060200000000 00000000C0C0C000 0018080C00000000 7820000000000000 
0000000030302000 0000003808080000 0000000602060000 808080C000000000 7018000000000000 00000000C0C0C000 0C04060000000000 0020780000000000 
0000001818100000 00000002020E0000 1808180000000000 000000C080808000 E030000000000000 0000000060606000 0080E02000000000 0404060400000000 
0000006060400000 00000002020E0000 C080C00000000000 000000808080C000 0000001010302000 3030300000000000 0C04060000000000 0008080C08000000 
0000006060400000 8080E00000000000 000000000A0E0000 000000808080C000 0000001010302000 00000E0E00000000 041C100000000000 7820000000000000 
00000C0C08000000 3820200000000000 C080C00000000000 0000020202060000 0000000000386000 0000007070000000 041C100000000000 0000008080C08000 
0000C0C080000000 0008080E00000000 E0A0000000000000 00000000021E0000 1010302000000000 0000000000E0E000 0C04060000000000 0000001078000000 
0C0C080000000000 000000008080E000 C080C00000000000 0000060202020000 00000000301C0000 3030300000000000 000000C040600000 0000003C08000000 
0C0C080000000000 E080800000000000 0000000C080C0000 0000060202020000 000000000030E000 000000C0C0C00000 0000602030000000 1030101000000000 
3030200000000000 000000002020E000 C080C00000000000 00000000101E0000 0004060202000000 000000C0C0C00000 0C08180000000000 0000003C08000000 
