0000020606000000 3820200000000000 C080C00000000000 00000080F0000000 04040C0800000000 0000000000E0E000 0018103000000000 00000000081E0000 
0818180000000000 0000001C10100000 00000000C080C000 F080000000000000 0404060200000000 000000000E0E0000 0020E08000000000 0000002020602000 
0818180000000000 0000001C10100000 00000000C080C000 C080808000000000 0404060200000000 000000000E0E0000 3020600000000000 0000002020602000 
0000000080C0C000 00000002020E0000 E0A0000000000000 0000F08000000000 00000E1800000000 1C1C000000000000 000000041C100000 0000002060202000 
0000000080C0C000 00000002020E0000 E0A0000000000000 0000F08000000000 0000081810100000 1C1C000000000000 000006040C000000 0000002060202000 
0000000080C0C000 00000002020E0000 0000602060000000 C080808000000000 0000001010302000 3838000000000000 000018080C000000 0404060400000000 
0000000406060000 000000008080E000 1C14000000000000 6020202000000000 0000101808080000 0000000070700000 00080E0200000000 8080C08000000000 
0000000406060000 000000008080E000 1C14000000000000 C080808000000000 0000101808080000 0000000070700000 00080E0200000000 2020602000000000 
000000080C0C0000 000000008080E000 0000000050700000 F080000000000000 0010103020000000 0C0C0C0000000000 0020E08000000000 0000020602020000 
000000080C0C0000 000000008080E000 0000000050700000 C080808000000000 0010103020000000 0C0C0C0000000000 3020600000000000 0000020602020000 
000000080C0C0000 000000008080E000 0000E0A000000000 F080000000000000 0C38000000000000 0000000070700000 00041C1000000000 0000020602020000 
0000001018180000 8080E00000000000 000000A0E0000000 0000060202020000 0000080C04040000 0000000000E0E000 041C100000000000 7820000000000000 
00000080C0C00000 00000002020E0000 00A0E00000000000 F010000000000000 000000000030E000 0000003838000000 0C08180000000000 0004060404000000 
00080C0C00000000 000002020E000000 1C14000000000000 00000000101E0000 00000030E0000000 0000000000E0E000 6020300000000000 8080C08000000000 
0000000060602000 00000002020E0000 E0A0000000000000 000000808080C000 00000E1800000000 1C1C000000000000 000000041C100000 0000F02000000000 
0000000060602000 00000002020E0000 E0A0000000000000 000000808080C000 0000E03000000000 1C1C000000000000 000000041C100000 00001E0800000000 
0000000060602000 00000002020E0000 E0A0000000000000 000000808080C000 0000081810100000 1C1C000000000000 000006040C000000 0000F02000000000 
0000000060602000 00000002020E0000 C080C00000000000 000000808080C000 00000E1800000000 1C1C000000000000 000000041C100000 2020302000000000 
0000000060602000 00000002020E0000 C080C00000000000 000000808080C000 0000081810100000 1C1C000000000000 000006040C000000 2020302000000000 
