000000001C180000 000000008080E000 0000000602060000 0000202020600000 0080C04040000000 0018181800000000 0C04060000000000 F020000000000000 
000000001C180000 8080E00000000000 0000000602060000 0000006020202000 00000E1800000000 00000000C0C0C000 041C100000000000 7820000000000000 
000000001C180000 0038080800000000 0000000602060000 F080000000000000 00000030E0000000 0000000000E0E000 0C04060000000000 0000F04000000000 
000000001C180000 1C04040000000000 E0A0000000000000 0000020202060000 00000030E0000000 0000000000E0E000 0018080C00000000 0000F04000000000 
0000000070600000 000000008080E000 0000000E0A000000 F080000000000000 0000C07000000000 0038380000000000 0C04060000000000 00000000041E0000 
00000000E0C00000 00000002020E0000 C080C00000000000 3C04000000000000 000000000030E000 0000001C1C000000 0030206000000000 00081E0000000000 
00000000E0C00000 00000002020E0000 C080C00000000000 3C04000000000000 000000000030E000 0038380000000000 000006040C000000 0000007810000000 
00000000E0C00000 E080800000000000 0000000C080C0000 00203C0000000000 000000000030E000 1C1C000000000000 0000407010000000 0000020206020000 
0000001C18000000 000000008080E000 00A0E00000000000 F010000000000000 0004060202000000 0000006060600000 0C08180000000000 00000000041E0000 
0038300000000000 0000080838000000 00000000C080C000 F080000000000000 0000C07000000000 0000000606060000 0C04060000000000 0000000000782000 
0038300000000000 000000008080E000 0000000602060000 F080000000000000 0000C07000000000 0000000070700000 0C04060000000000 000008080C080000 
1C18000000000000 000000008080E000 0000000C080C0000 6020202000000000 8080C04000000000 0000000070700000 00041C1000000000 0000020206020000 
0000000020606000 00000002020E0000 C080C00000000000 2020203000000000 00000040C0808000 1C1C000000000000 000000041C100000 00001E0800000000 
0000000020606000 0008080E00000000 00A0E00000000000 F010000000000000 00000040C0808000 000000000E0E0000 0C04060000000000 0000103010100000 
0000000020606000 3820200000000000 C080C00000000000 0000060202020000 00000040C0808000 000000001C1C0000 041C100000000000 0000083C00000000 
0000000206060000 3808080000000000 C080C00000000000 00000000F0100000 0000101808080000 0000000000E0E000 0030206000000000 0404060400000000 
000000040C0C0000 000000008080E000 0000283800000000 0000060202020000 8080C04000000000 0000000070700000 041C100000000000 7820000000000000 
0000002060600000 000000008080E000 1C14000000000000 00000000101E0000 8080C04000000000 0000060606000000 6020300000000000 0008081808000000 
00000040C0C00000 00000002020E0000 00A0E00000000000 F010000000000000 000000000030E000 0000003838000000 0C08180000000000 0004060404000000 
0000081818000000 00000004041C0000 00000000C080C000 0000060202020000 8080C04000000000 1C1C000000000000 6020300000000000 0000002020602000 
0000000080C0C000 00000002020E0000 0028380000000000 F010000000000000 0080C04040000000 0000001C1C000000 0C04060000000000 0000002020302000 
0000000080C0C000 00000002020E0000 C080C00000000000 2020203000000000 0000004060202000 1C1C000000000000 000000041C100000 00001E0800000000 
0000000080C0C000 0008080E00000000 00A0E00000000000 F010000000000000 0000004060202000 000000000E0E0000 0C04060000000000 0000103010100000 
0000000080C0C000 3820200000000000 C080C00000000000 0000060202020000 0000004060202000 000000001C1C0000 041C100000000000 0000083C00000000 
0000000406060000 3820200000000000 C080C00000000000 0000080808180000 0404060200000000 0000000000E0E000 0018103000000000 00000040F0000000 
0000080C0C000000 00000010101C0000 00000000C080C000 0000060202020000 8080C04000000000 1C1C000000000000 6020300000000000 0000002020602000 
0000080C0C000000 3820200000000000 C080C00000000000 00000000021E0000 0404060200000000 0000000000E0E000 0018103000000000 00000040F0000000 
0004060600000000 000000008080E000 0000000050700000 F080000000000000 0030E00000000000 000000000E0E0000 0C08180000000000 0000007820000000 
0004060600000000 000000008080E000 0000000050700000 F080000000000000 0C38000000000000 000000000E0E0000 0000083820000000 0000F04000000000 
1018180000000000 000000008080E000 000000000A0E0000 6020202000000000 8080C04000000000 0000000070700000 0C04060000000000 0000001E04000000 
0000000606020000 000000008080E000 1C14000000000000 6020202000000000 8080C04000000000 0000000070700000 00000018080C0000 00081E0000000000 
0000000606020000 000000008080E000 E0A0000000000000 0000C04040400000 1018080800000000 0000303030000000 0C04060000000000 00000000083C0000 
0000003030100000 E080800000000000 0000000000A0E000 0000020202060000 000004040C080000 1C1C000000000000 0020380800000000 00004040C0400000 
0000060602000000 000000008080E000 E0A0000000000000 0000000040780000 000000001C060000 1C1C000000000000 0000083820000000 0000F04000000000 
0018180800000000 00000002020E0000 C080C00000000000 3C04000000000000 0000001010302000 00000000C0C0C000 000006040C000000 0020206020000000 
0C0C040000000000 000000008080E000 C080C00000000000 0000020202060000 0020206040000000 0000001C1C000000 3010180000000000 0000000020780000 
0000000030302000 00000002020E0000 E0A0000000000000 000808080C000000 0000C07000000000 00000000C0C0C000 1810300000000000 0404060400000000 
0000000030302000 00000002020E0000 0030203000000000 7808000000000000 8080C04000000000 00000000C0C0C000 000018080C000000 0404060400000000 
0000000030302000 04041C0000000000 0000000C080C0000 F080000000000000 0000C07000000000 00000000C0C0C000 0838200000000000 0000020206020000 
0000000030302000 001C040400000000 C080C00000000000 3C20000000000000 0000386000000000 00000000C0C0C000 00000018080C0000 0000020206020000 
00000000C0C08000 00000002020E0000 E0A0000000000000 0000002020206000 00000E1800000000 1C1C000000000000 000000041C100000 0000F04000000000 
00000000C0C08000 00000002020E0000 E0A0000000000000 0000002020206000 0000081810100000 1C1C000000000000 000006040C000000 0000F04000000000 
00000000C0C08000 000004041C000000 E0A0000000000000 0000020202060000 0000000000386000 1C1C000000000000 0000083820000000 0000F04000000000 
00000000C0C08000 0000080838000000 C080C00000000000 2020206000000000 0000000000386000 0000000606060000 0C04060000000000 1018101000000000 
00000000C0C08000 00000010101C0000 00000C080C000000 0000002020206000 8080C04000000000 1C1C000000000000 6020300000000000 0000020602020000 
00000000C0C08000 00000E0202000000 0000001C14000000 0000002020206000 8080C04000000000 1C1C000000000000 6020300000000000 00000000081E0000 
00000000C0C08000 1C04040000000000 0018081800000000 0000002020206000 8080C04000000000 000000001C1C0000 6020300000000000 0000020602020000 
0000003030200000 000000008080E000 E0A0000000000000 0000C04040400000 040C080800000000 0000060606000000 1810300000000000 00000000081E0000 
0000006060400000 000000008080E000 C080C00000000000 00000000043C0000 04040C0800000000 3838000000000000 0000301018000000 0000020602020000 
0000006060400000 000000008080E000 C080C00000000000 00000000043C0000 2020301000000000 1C1C000000000000 00000C0818000000 0000020602020000 
0000060604000000 8080E00000000000 000000000A0E0000 0000006020202000 0000081810100000 00000000C0C0C000 041C100000000000 7820000000000000 
0000060604000000 0000000038202000 0000283800000000 00000000021E0000 8080C04000000000 00000000C0C0C000 041C100000000000 7820000000000000 
3030200000000000 00000002020E0000 C080C00000000000 0000006020202000 0008080C04000000 00000000C0C0C000 0C04060000000000 0000101018100000 
3030200000000000 0004041C00000000 C080C00000000000 00000000003C2000 0000006038000000 00000000C0C0C000 0C08180000000000 0000020206020000 
3030200000000000 00000010101C0000 C080C00000000000 0000006020202000 0004040C08000000 00000000C0C0C000 0C08180000000000 0000020206020000 
