0000000206060000 8080E00000000000 7050000000000000 000000808080C000 0004040C08000000 0000007070000000 0C08180000000000 0000000000782000 
0000000206060000 8080E00000000000 0018101800000000 7840000000000000 000000000030E000 000000C0C0C00000 0000002038080000 04040C0400000000 
0000000206060000 8080E00000000000 0018101800000000 7840000000000000 000000E030000000 00000000C0C0C000 0000000008382000 04040C0400000000 
0000000206060000 0000701010000000 0C040C0000000000 0000006020202000 7018000000000000 00000000C0C0C000 0000000C08180000 80C0808000000000 
0000000206060000 1C04040000000000 6040600000000000 808080C000000000 0000101018080000 00000000C0C0C000 0018080C00000000 0000002020302000 
00000040C0C00000 000000002020E000 0000283800000000 7840000000000000 0000040602020000 000000001C1C0000 041C100000000000 8080C08000000000 
00000040C0C00000 000000002020E000 0050700000000000 C080808000000000 00040C0808000000 0000000606060000 0000003010180000 3C08000000000000 
0000081818000000 00000002020E0000 000000C080C00000 000C040404000000 000000000030E000 C0C0C00000000000 0000302060000000 3C10000000000000 
0040C0C000000000 0000000E02020000 00000000C080C000 F080000000000000 0010302020000000 0C0C0C0000000000 000000101C040000 0000000000782000 
0000000040606000 8080E00000000000 7050000000000000 000000C080808000 0004040602000000 0000003838000000 0C08180000000000 00000000041E0000 
0000000080C0C000 00000002020E0000 7050000000000000 808080C000000000 0000701800000000 0C0C0C0000000000 000000041C100000 0000002060202000 
0000000080C0C000 00000002020E0000 00C080C000000000 F010000000000000 0000701800000000 0C0C0C0000000000 000000041C100000 0000002060202000 
0000000080C0C000 00000010101C0000 6040600000000000 808080C000000000 00001C0600000000 1C1C000000000000 000000080E020000 0000002060202000 
0000000080C0C000 00000010101C0000 6040600000000000 808080C000000000 0000040602020000 1C1C000000000000 000018080C000000 0000002060202000 
0000000080C0C000 0000000E02020000 00141C0000000000 0000003020202000 008080C040000000 000000001C1C0000 C040600000000000 3C08000000000000 
0000000080C0C000 0000000E02020000 0C040C0000000000 808080C000000000 7018000000000000 000000001C1C0000 0040701000000000 0000002060202000 
0000000080C0C000 1C10100000000000 6040600000000000 808080C000000000 0000081810100000 000000000E0E0000 000C040600000000 0000002060202000 
0000000080C0C000 1C10100000000000 6040600000000000 808080C000000000 0000040602020000 000000001C1C0000 000C081800000000 0000002060202000 
0000004060600000 000000008080E000 0000283800000000 7840000000000000 0000040602020000 000000001C1C0000 041C100000000000 8080C08000000000 
0000004060600000 000000008080E000 0050700000000000 C080808000000000 00040C0808000000 0000000606060000 0000003010180000 3C08000000000000 
0000040606000000 000000008080E000 0000003828000000 00000000101E0000 000C380000000000 C0C0C00000000000 000000C040600000 3C10000000000000 
0000040606000000 1C10100000000000 6040600000000000 808080C000000000 00000000180E0000 00000000C0C0C000 000C081800000000 0000002020302000 
0000040606000000 E080800000000000 1C14000000000000 00000000101E0000 004040C080000000 0000000000E0E000 0000302060000000 0008081808000000 
0000000606020000 000000008080E000 00141C0000000000 808080C000000000 4040602000000000 0000000070700000 00000018080C0000 3C08000000000000 
0000000606020000 008080E000000000 0C040C0000000000 00000000F0100000 0018700000000000 0000000000E0E000 00000018080C0000 F040000000000000 
0000000606020000 E080800000000000 1C14000000000000 00000000003C2000 000000E030000000 00000000C0C0C000 0040701000000000 00080C0808000000 
000000C0C0400000 0000382020000000 0000000000A0E000 00000000101E0000 000000180E000000 C0C0C00000000000 000C040600000000 3C10000000000000 
0C0C040000000000 000000008080E000 000000000A0E0000 808080C000000000 4040602000000000 0000000070700000 3010180000000000 0000001E04000000 
0C0C040000000000 000000008080E000 0000000050700000 F010000000000000 00C0700000000000 000000000E0E0000 000080E020000000 0000081E00000000 
0C0C040000000000 000000008080E000 0000000050700000 F010000000000000 00C0700000000000 0000000606060000 000080E020000000 0000081808080000 
0C0C040000000000 000000008080E000 0000000602060000 3010101000000000 0000202030100000 C0C0C00000000000 000000C040600000 000008080C080000 
0C0C040000000000 000000008080E000 3010300000000000 0000000040780000 000000001C060000 C0C0C00000000000 0000080E02000000 000000F020000000 
0C0C040000000000 00008080E0000000 0050700000000000 F080000000000000 0000007018000000 0000000000E0E000 0000080E02000000 00000000041E0000 
C0C0400000000000 0000000E02020000 3010300000000000 00000000003C2000 000000301C000000 0C0C0C0000000000 000000006040C000 000080C080800000 
00000000C0C08000 008080E000000000 0000000602060000 F010000000000000 0000000000386000 0C0C0C0000000000 0040701000000000 000000083C000000 
00000000C0C08000 008080E000000000 0000000602060000 3010101000000000 0000000000386000 0C0C0C0000000000 C040600000000000 000000083C000000 
0000303020000000 000000008080E000 00000000141C0000 000C080808000000 0000040602020000 C0C0C00000000000 000000C040600000 3C10000000000000 
0C0C080000000000 000000008080E000 0000000050700000 F010000000000000 00C0700000000000 000000000E0E0000 000080E020000000 0000041E00000000 
C0C0800000000000 00000002020E0000 000000A0E0000000 000404040C000000 0000081810100000 0000000000E0E000 0010704000000000 3C08000000000000 
C0C0800000000000 00000002020E0000 00141C0000000000 000000C080808000 0000603800000000 0000000060606000 000000041C100000 3C08000000000000 
C0C0800000000000 0008083800000000 0000000060206000 3C04000000000000 0000040602020000 000000001C1C0000 0010704000000000 0000008080C08000 
C0C0800000000000 0000000070404000 00141C0000000000 000000C080808000 0000603800000000 0000000606060000 0000000008382000 3C08000000000000 
