0000000080C0C000 0000701010000000 00C080C000000000 F010000000000000 00000000061C0000 0C0C0C0000000000 0000020E08000000 0000002060202000 
0000000080C0C000 0000701010000000 00C080C000000000 F010000000000000 0000020206040000 0C0C0C0000000000 0000000C08180000 0000002060202000 
0000000080C0C000 00001C1010000000 6040600000000000 808080C000000000 00000000061C0000 1C1C000000000000 0000020E08000000 0000002060202000 
0000000080C0C000 00001C1010000000 6040600000000000 808080C000000000 0000020206040000 1C1C000000000000 0000000C08180000 0000002060202000 
0000004060600000 000000008080E000 7050000000000000 0000203C00000000 0004060202000000 000000001C1C0000 0C08180000000000 8080C08000000000 
0000004060600000 000000008080E000 7050000000000000 0C04040400000000 0000020206040000 0000001818180000 0008382000000000 8080C08000000000 
0004060600000000 000000008080E000 7050000000000000 0C08080800000000 00000000061C0000 0000006060600000 0000301018000000 8080C08000000000 
0010181800000000 00000004041C0000 0000000000A0E000 0000000078400000 0004060202000000 C0C0C00000000000 000020E080000000 3C08000000000000 
0040606000000000 E080800000000000 0C040C0000000000 00000080F0000000 00000000061C0000 0000000000E0E000 0000020E08000000 1018101000000000 
0040606000000000 E080800000000000 0C040C0000000000 00000080F0000000 0000020206040000 0000000000E0E000 0000000C08180000 1018101000000000 
0080C0C000000000 00002020E0000000 0C040C0000000000 0018101010000000 00000000061C0000 0000000000E0E000 0000020E08000000 F040000000000000 
0080C0C000000000 00002020E0000000 0C040C0000000000 0018101010000000 0000020206040000 0000000000E0E000 0000000C08180000 F040000000000000 
0000000C0C040000 8080E00000000000 7050000000000000 000000808080C000 0004060202000000 0000007070000000 0C08180000000000 0000000000782000 
000000C0C0400000 000002020E000000 0000000000A0E000 0C04040400000000 00000000301C0000 0018181800000000 0080E02000000000 F040000000000000 
0000060602000000 000000008080E000 00000000141C0000 3C04000000000000 0010302020000000 C0C0C00000000000 000000C040600000 0008081808000000 
0000060602000000 E080800000000000 0000382800000000 0040404060000000 0000000000386000 1C1C000000000000 000000101C040000 0000008080C08000 
0C0C040000000000 000000002020E000 00000A0E00000000 0010101018000000 00000000061C0000 000000C0C0C00000 0080E02000000000 F040000000000000 
0C0C040000000000 0000000070404000 3010300000000000 000000C080808000 0000020206040000 C0C0C00000000000 0000000008382000 0000083C00000000 
1818080000000000 E080800000000000 0000000A0E000000 00000000003C2000 000000E030000000 00000000C0C0C000 0040701000000000 0404060400000000 
C0C0400000000000 000000008080E000 0000060206000000 3C04000000000000 000080C040400000 0000303030000000 0018080C00000000 00000000083C0000 
0000000030302000 1C04040000000000 6040600000000000 808080C000000000 0000020206040000 00000000C0C0C000 0018103000000000 0000080C08080000 
0000000606040000 0008083800000000 3010300000000000 0000004078000000 0000000000386000 C0C0C00000000000 0C04060000000000 0000008080C08000 
0000000606040000 000000008080E000 3010300000000000 0000000040780000 000000E030000000 C0C0C00000000000 0C04060000000000 0008081808000000 
0000000606040000 8080E00000000000 7050000000000000 000000F080000000 0000000070180000 0000000000E0E000 0C04060000000000 0008180808000000 
0018181000000000 1C04040000000000 6040600000000000 808080C000000000 00000000061C0000 0000000000E0E000 0000020E08000000 00000020F0000000 
0018181000000000 1C04040000000000 6040600000000000 808080C000000000 00000000061C0000 00000000C0C0C000 0000020E08000000 0000002030202000 
0018181000000000 1C04040000000000 6040600000000000 808080C000000000 0000020206040000 0000000000E0E000 0000000C08180000 00000020F0000000 
0018181000000000 1C04040000000000 6040600000000000 808080C000000000 0000020206040000 00000000C0C0C000 0000000C08180000 0000002030202000 
C0C0800000000000 000002020E000000 3010300000000000 00000000003C2000 000040C080800000 0C0C0C0000000000 000000006040C000 0000003C10000000 
