0000020606000000 000000008080E000 0000003828000000 00000000101E0000 0030E00000000000 0C0C0C0000000000 000000C040600000 F040000000000000 
0000206060000000 1C04040000000000 C040C00000000000 0000020202060000 0000000000386000 0000001C1C000000 2038080000000000 0000008080C08000 
0020606000000000 00008080E0000000 0018081800000000 00000000021E0000 000000061C000000 0000000000E0E000 0C04060000000000 F040000000000000 
0040C0C000000000 00002020E0000000 0018081800000000 00000000021E0000 000000061C000000 0000000000E0E000 0C04060000000000 F020000000000000 
0000000406060000 0000080838000000 00000000C080C000 000080F000000000 0404060200000000 3838000000000000 C040600000000000 0000000000782000 
000000080C0C0000 1C04040000000000 C040C00000000000 000000C080808000 0000203010100000 0000000060606000 2038080000000000 0000020602020000 
00000080C0C00000 000000002020E000 0038280000000000 00000000101E0000 0000C07000000000 0000000E0E000000 0C04060000000000 F040000000000000 
00000080C0C00000 000000002020E000 C040C00000000000 3C04000000000000 0008081810000000 0000060606000000 0030206000000000 00000000081E0000 
0000406060000000 00000002020E0000 0038280000000000 0000808080C00000 000000000030E000 0000001C1C000000 0C04060000000000 F040000000000000 
0004060600000000 000000008080E000 C040C00000000000 0030202020000000 0000081810100000 000000000E0E0000 000000C040600000 3C08000000000000 
0040606000000000 00008080E0000000 0018081800000000 00000000021E0000 000000061C000000 0000000000E0E000 0C04060000000000 F020000000000000 
0000000060602000 0000000E02020000 0038280000000000 000000808080C000 0000C07000000000 000000001C1C0000 0C04060000000000 F040000000000000 
0000000030302000 002020E000000000 C040C00000000000 0000020202060000 000004040C080000 00000000C0C0C000 000C081800000000 3C10000000000000 
0000006060400000 00000002020E0000 0038280000000000 0000C08080800000 000000000030E000 0000001C1C000000 0C04060000000000 F040000000000000 
00000C0C08000000 000000008080E000 C040C00000000000 2020203000000000 00000000301C0000 1C1C000000000000 000000C040600000 0000020206020000 
0C0C080000000000 000000008080E000 0000003828000000 00000000101E0000 0030E00000000000 0000060606000000 000000C040600000 F040000000000000 
3030200000000000 00000002020E0000 C040C00000000000 000000F080000000 0008080C04000000 0000000000E0E000 0C04060000000000 0000000078100000 
3030200000000000 0008083800000000 C040C00000000000 0000004078000000 0000000000386000 0000000606060000 0C04060000000000 0000008080C08000 
3030200000000000 000000008080E000 C040C00000000000 0000000040780000 000000E030000000 0000000606060000 0C04060000000000 0008081808000000 
