0040C0C000000000 E020200000000000 1C14000000000000 00000000F0800000 000000000030E000 000000000E0E0000 00080E0200000000 0000103C00000000 
0040C0C000000000 E020200000000000 1C14000000000000 0000001E10000000 000000000030E000 000000000E0E0000 00000020E0800000 00081E0000000000 
0818180000000000 0000001C10100000 00000000C080C000 0000006020202000 0404060200000000 000000000E0E0000 0020E08000000000 F040000000000000 
000000080C0C0000 E020200000000000 0000000000A0E000 1010103000000000 0040C08080000000 0C0C0C0000000000 0000004070100000 0000020602020000 
0000001018180000 00008080E0000000 0000000000A0E000 C040404000000000 1018080800000000 0000000606060000 0C04060000000000 2020302000000000 
0000001018180000 00000E0202000000 C040C00000000000 000000808080C000 0000004060202000 1C1C000000000000 0000000C04060000 2020302000000000 
0004060600000000 0000E08080000000 0000000000A0E000 00000000021E0000 0C38000000000000 0000007070000000 000018080C000000 F040000000000000 
0004060600000000 0000E08080000000 0000000000A0E000 00000000021E0000 C070000000000000 0000007070000000 000018080C000000 3C08000000000000 
0040606000000000 00008080E0000000 0000000000A0E000 00000000021E0000 000000061C000000 0018181800000000 0C04060000000000 F020000000000000 
0000000606020000 000000008080E000 C040C00000000000 3020202000000000 000000C070000000 0018181800000000 0C04060000000000 00000000083C0000 
0000C0C040000000 000000008080E000 0038280000000000 00000000101E0000 0000103020200000 0000000E0E000000 0C04060000000000 F040000000000000 
0000C0C040000000 000000008080E000 0000000602060000 0020202030000000 000000000C380000 0018181800000000 0C04060000000000 F040000000000000 
0C0C040000000000 0000101070000000 00000A0E00000000 0000C08080800000 000000000030E000 000000000E0E0000 0030206000000000 F040000000000000 
0C0C040000000000 0010107000000000 00000A0E00000000 00000000F0800000 000000000030E000 000000000E0E0000 0020E08000000000 F040000000000000 
0C0C040000000000 00008080E0000000 0000000000A0E000 C040404000000000 000008080C040000 3030300000000000 0000003010180000 0000020602020000 
0C0C040000000000 0020203800000000 C040C00000000000 000000808080C000 0000004060202000 000000001C1C0000 3010180000000000 0000020602020000 
3030100000000000 000000008080E000 C040C00000000000 00000000043C0000 000000C070000000 0C0C0C0000000000 0000203808000000 0000020602020000 
3030100000000000 000000008080E000 C040C00000000000 0008080818000000 0000000060380000 0000000606060000 0C04060000000000 000020F000000000 
3030100000000000 0008080E00000000 C040C00000000000 00000000F0800000 000000000030E000 000000000E0E0000 0C04060000000000 000020F000000000 
3030100000000000 00000000E0808000 C040C00000000000 0008080818000000 0000000000386000 0000000606060000 0C04060000000000 000020F000000000 
0000000030302000 0010107000000000 00000000C080C000 0808080C00000000 0404060200000000 000000000E0E0000 0020E08000000000 F040000000000000 
0000000030302000 0008080E00000000 00000000C080C000 000010F000000000 0030E00000000000 000000000E0E0000 0C04060000000000 F040000000000000 
0000303020000000 0038080800000000 0000000000A0E000 00000000021E0000 000000061C000000 0000C0C0C0000000 0C04060000000000 F040000000000000 
0030302000000000 0008080E00000000 0000005070000000 0000C08080800000 000000000030E000 000000000E0E0000 0C04060000000000 F040000000000000 
3030200000000000 000000008080E000 C040C00000000000 000000F010000000 0000000060380000 0000000606060000 0C04060000000000 0008180808000000 
3030200000000000 0008080E00000000 C040C00000000000 000000808080C000 0000004060202000 000000000E0E0000 0C04060000000000 0000103010100000 
3030200000000000 00000000E0808000 C040C00000000000 000000F010000000 0000000000386000 0000000606060000 0C04060000000000 0008180808000000 
