0000303800000000 1C04040000000000 0000000000A0E000 C040404000000000 00008080C0400000 000000001C1C0000 2038080000000000 0000020602020000 
0000303800000000 1C04040000000000 C040C00000000000 000000808080C000 0000004040602000 000000001C1C0000 2038080000000000 0000020602020000 
000000001C0C0000 3820200000000000 C040C00000000000 0000060202020000 000000000030E000 000000C0C0C00000 041C100000000000 0000083C00000000 
00000E0600000000 000000008080E000 C040C00000000000 00000000101E0000 000000180E000000 1C1C000000000000 000000C040600000 2020302000000000 
00000E0600000000 00000010101C0000 0000000000A0E000 C040404000000000 00008080C0400000 1C1C000000000000 000000080E020000 2020302000000000 
00000E0600000000 00000010101C0000 C040C00000000000 000000808080C000 0000004040602000 1C1C000000000000 000000080E020000 2020302000000000 
E060000000000000 000000008080E000 0000000A0E000000 00000000101E0000 0000E03000000000 1C1C000000000000 000000C040600000 00001E0400000000 
E060000000000000 000000008080E000 0000000A0E000000 00000000101E0000 0000E03000000000 1818180000000000 000000C040600000 0404060400000000 
E060000000000000 000000008080E000 1C14000000000000 00000000101E0000 0000E03000000000 0000000E0E000000 000000C040600000 00081E0000000000 
E060000000000000 000000008080E000 1C14000000000000 00000000101E0000 0000E03000000000 0000060606000000 000000C040600000 0008180808000000 
E060000000000000 000000008080E000 1C14000000000000 0000020202060000 00080C0404000000 0000001818180000 000000C040600000 0000F02000000000 
E060000000000000 00000E0202000000 00000000C080C000 0000F08000000000 0000007018000000 1C1C000000000000 0000000C04060000 0000000000782000 
E060000000000000 0000001C10100000 1C14000000000000 000000808080C000 0000004040602000 000000000E0E0000 00080E0200000000 0000F02000000000 
E060000000000000 0000704040000000 1C14000000000000 0000808080C00000 000000000030E000 000000000E0E0000 00080E0200000000 0000003C10000000 
E060000000000000 0000E08080000000 1C14000000000000 0000001E10000000 000000000030E000 000000000E0E0000 0000006040C00000 00081E0000000000 
0000000000706000 00000008080E0000 C040C00000000000 3C04000000000000 0008181010000000 0000060606000000 0030206000000000 00000080C0808000 
0000000000706000 0008080E00000000 0000E0A000000000 0030101010000000 00000040C0808000 000000000E0E0000 0C04060000000000 F040000000000000 
0000000000706000 00000E0202000000 C040C00000000000 2020206000000000 00000000180E0000 1C1C000000000000 0000101C04000000 00000080C0808000 
0000000000706000 00000E0202000000 C040C00000000000 2020206000000000 0000101018080000 1C1C000000000000 0000000C04060000 00000080C0808000 
0000000000706000 1C10100000000000 C040C00000000000 2020206000000000 00000000180E0000 0000060606000000 000C081800000000 00000080C0808000 
0000000000706000 3820200000000000 C040C00000000000 0000087800000000 00000000180E0000 0000060606000000 041C100000000000 00000080C0808000 
000000001C180000 0038080800000000 0000000602060000 0000F08000000000 00000070C0000000 0000000000E0E000 0C04060000000000 F040000000000000 
0000001C18000000 1C04040000000000 C040C00000000000 00000000003C2000 000030E000000000 00000000C0C0C000 2038080000000000 0000020206020000 
0000E0C000000000 000000008080E000 0000000050700000 3C04000000000000 C070000000000000 000000000E0E0000 00080E0200000000 0000103C00000000 
0038300000000000 000000008080E000 C040C00000000000 3C04000000000000 00000C3800000000 000000001C1C0000 000000C040600000 0000020602020000 
0000000040C0C000 000010101C000000 C040C00000000000 00000000003C2000 04040C0800000000 3838000000000000 000020E080000000 0000020602020000 
0000000206060000 000000008080E000 0000003010300000 0000180808080000 000080C040400000 3838000000000000 C040600000000000 0404060400000000 
0000000206060000 000000008080E000 C040C00000000000 0000180808080000 0000203010100000 3838000000000000 000000C040600000 0404060400000000 
0000000206060000 0000007010100000 0000000000A0E000 0000180808080000 00008080C0400000 3838000000000000 C040600000000000 0404060400000000 
0000000206060000 0000380808000000 0000000000A0E000 C040404000000000 00008080C0400000 3838000000000000 0000003010180000 0404060400000000 
0000000206060000 0000380808000000 C040C00000000000 000000808080C000 0000004040602000 3838000000000000 0000003010180000 0404060400000000 
0000000206060000 0000E08080000000 0000007050000000 3C04000000000000 C070000000000000 0000000000E0E000 0000000C08180000 00081E0000000000 
000000040C0C0000 000000008080E000 C040C00000000000 0000060202020000 0000081810100000 1C1C000000000000 000000C040600000 2020302000000000 
00000040C0C00000 0008080E00000000 0000E0A000000000 0030101010000000 000000000030E000 000000000E0E0000 0C04060000000000 F040000000000000 
0000020606000000 000000008080E000 C040C00000000000 00000000101E0000 00040C0808000000 0030303000000000 000000C040600000 3C08000000000000 
0000020606000000 000000008080E000 0000006040600000 00000000101E0000 0010101808000000 0C0C0C0000000000 0020E08000000000 F040000000000000 
0000020606000000 E020200000000000 1C14000000000000 00000000101E0000 0040C08080000000 0000000000E0E000 0000107040000000 00080C0808000000 
0040C0C000000000 1C04040000000000 00000000C080C000 0000020202060000 E030000000000000 0000001C1C000000 0008382000000000 0000000000782000 
