0C0C040000000000 002020E000000000 C040C00000000000 00000000003C2000 0000001C30000000 00000000C0C0C000 3010180000000000 0000020206020000 
3030100000000000 00000002020E0000 C040C00000000000 00000000F0100000 0008080C04000000 0000000000E0E000 0C04060000000000 000020F000000000 
3030100000000000 000000008080E000 C040C00000000000 0000203C00000000 00000000301C0000 0C0C0C0000000000 000000C040600000 0000020206020000 
0000000030302000 00000002020E0000 0050700000000000 000080F000000000 0008080C04000000 00000000C0C0C000 0C04060000000000 F020000000000000 
0000006060400000 00000002020E0000 0000001C14000000 0000C08080800000 000000000030E000 0038380000000000 0C04060000000000 F040000000000000 
0000C0C080000000 0038080800000000 0000000000A0E000 0000101010180000 0000202060400000 0000000606060000 0C04060000000000 F040000000000000 
0000C0C080000000 0038202000000000 0C040C0000000000 0000020202060000 0000000070180000 0000000000E0E000 0000101C04000000 F040000000000000 
0C0C080000000000 000000008080E000 C040C00000000000 0000043C00000000 00000000301C0000 3030300000000000 000000C040600000 0000020206020000 
3030200000000000 00000002020E0000 C040C00000000000 000000C080808000 0008080C04000000 0000000060606000 0C04060000000000 0000103010100000 
3030200000000000 0004041C00000000 C040C00000000000 00000000003C2000 000000E030000000 00000000C0C0C000 0C08180000000000 0000020206020000 
