0000003030100000 0000380808000000 C080C00000000000 000000808080C000 0000004040602000 0000000606060000 0C04060000000000 1078000000000000 
000000C0C0400000 0004041C00000000 0000000000A0E000 0000020202060000 1C30000000000000 C0C0C00000000000 0008382000000000 000000003C100000 
000000C0C0400000 0004041C00000000 0000000000A0E000 0000020202060000 1030202000000000 C0C0C00000000000 0C08180000000000 000000003C100000 
000C0C0400000000 1C10100000000000 C080C00000000000 0000020202060000 000000000030E000 000000C0C0C00000 0060203000000000 000000083C000000 
0018180800000000 1C04040000000000 000000C080C00000 0020202060000000 000000000030E000 C0C0C00000000000 000000101C040000 0000020602020000 
0018180800000000 1C04040000000000 C080C00000000000 000000003C040000 000000000030E000 000000C0C0C00000 0060203000000000 0000020602020000 
0018180800000000 1C04040000000000 C080C00000000000 0060202020000000 000000000030E000 000000C0C0C00000 000000101C040000 0000020602020000 
C0C0400000000000 000000008080E000 00000C040C000000 0000020202060000 000080C040400000 1C1C000000000000 0000001810300000 0020302020000000 
C0C0400000000000 1C04040000000000 0000000000A0E000 0000020202060000 00008080C0400000 0038380000000000 000000041C100000 0000007820000000 
C0C0400000000000 1C04040000000000 0000000000A0E000 0000020202060000 00008080C0400000 0018181800000000 000000041C100000 0020206020000000 
0000001818100000 000000008080E000 1C14000000000000 0000020202060000 00080C0404000000 C0C0C00000000000 000000C040600000 0020302020000000 
0000001818100000 0000382020000000 C080C00000000000 000000808080C000 0000004040602000 0000000606060000 0C04060000000000 1078000000000000 
0000006060400000 8080E00000000000 5070000000000000 000000808080C000 0000001010302000 0000000606060000 0C04060000000000 0008180808000000 
0000006060400000 0000380808000000 C080C00000000000 000000808080C000 0000001010302000 0000000606060000 0C04060000000000 1078000000000000 
000C0C0800000000 000000008080E000 000000001C140000 C080808000000000 1C30000000000000 0000006060600000 0040701000000000 0000020602020000 
000C0C0800000000 1C10100000000000 000000C080C00000 0020202060000000 000000000030E000 C0C0C00000000000 000000101C040000 0000020602020000 
000C0C0800000000 1C10100000000000 C080C00000000000 000000003C040000 000000000030E000 000000C0C0C00000 0060203000000000 0000020602020000 
000C0C0800000000 1C10100000000000 C080C00000000000 0060202020000000 000000000030E000 000000C0C0C00000 000000101C040000 0000020602020000 
0060604000000000 000010101C000000 0000000602060000 C080808000000000 1018080800000000 00000000C0C0C000 0C04060000000000 0000002020302000 
0C0C080000000000 000000008080E000 0000141C00000000 0000020202060000 1030202000000000 C0C0C00000000000 000000C040600000 000000003C100000 
C0C0800000000000 1C10100000000000 000C080C00000000 0000060202020000 000000000030E000 000000C0C0C00000 000000101C040000 0020602020000000 
