0000000030302000 1C04040000000000 C080C00000000000 0078080000000000 000030E000000000 00000000C0C0C000 00000018080C0000 0000020602020000 
00000000C0C08000 0000080838000000 0000000602060000 C080808000000000 0000000000386000 0000707000000000 0C04060000000000 1078000000000000 
00000000C0C08000 0000080838000000 0000000602060000 C080808000000000 0000000000386000 0060606000000000 0C04060000000000 1018101000000000 
00000000C0C08000 00000E0202000000 0060406000000000 C080808000000000 0000301C00000000 1C1C000000000000 0000000030206000 00000000081E0000 
0000001818100000 00000002020E0000 1808180000000000 000000C080808000 C070000000000000 0000000060606000 0080E02000000000 0404060400000000 
0000001818100000 00000002020E0000 C080C00000000000 000000C080808000 1870000000000000 0000000060606000 0008382000000000 0404060400000000 
0C0C080000000000 000000008080E000 0000000C080C0000 0000060202020000 1030202000000000 C0C0C00000000000 000000C040600000 0000101030100000 
0C0C080000000000 000000008080E000 0000000C080C0000 0000060202020000 0000202030100000 C0C0C00000000000 000000C040600000 1030101000000000 
1818100000000000 00000002020E0000 C080C00000000000 000000C080808000 0000080818100000 0000000060606000 0060203000000000 0404060400000000 
C0C0800000000000 000000E080800000 0000000C080C0000 0000060202020000 000000000030E000 1C1C000000000000 0000001070400000 0020780000000000 
C0C0800000000000 000000E080800000 0000000C080C0000 0000060202020000 0000001010302000 1C1C000000000000 000000006040C000 0020780000000000 
