0000001018180000 00002020E0000000 5070000000000000 0000020202060000 8080C04000000000 0000000000E0E000 0C08180000000000 0004040C04000000 
0000004060600000 000000008080E000 C080C00000000000 00000000021E0000 000000061C000000 0000383800000000 0C04060000000000 1078000000000000 
0000004060600000 000000008080E000 C080C00000000000 00000000021E0000 000000061C000000 1C1C000000000000 0060203000000000 00001E0800000000 
0000004060600000 000000008080E000 C080C00000000000 0000180808080000 0000203010100000 0000000606060000 0C04060000000000 1078000000000000 
0000203030000000 000000008080E000 5070000000000000 0000000040780000 8080C04000000000 0000000606060000 0C04060000000000 0008180808000000 
0004060600000000 8080E00000000000 5070000000000000 00000000021E0000 00000070C0000000 0000000000E0E000 0C08180000000000 000000083C000000 
0004060600000000 8080E00000000000 5070000000000000 00000000021E0000 000000380C000000 0000000000E0E000 0C08180000000000 00000040F0000000 
0000000606020000 000000008080E000 C080C00000000000 00000000203C0000 0000206040400000 0000181818000000 0C04060000000000 1078000000000000 
00000000C0C08000 1C10100000000000 000C080C00000000 0000060202020000 0000000000386000 C0C0C00000000000 000000101C040000 0020206020000000 
C0C0800000000000 000000008080E000 0000000A0E000000 00000000101E0000 0020604040000000 1C1C000000000000 0000003020600000 00001E0400000000 
C0C0800000000000 000000008080E000 0000000A0E000000 00000000101E0000 0020604040000000 1818180000000000 0000003020600000 0404060400000000 
C0C0800000000000 000000008080E000 1C14000000000000 00000000101E0000 0020604040000000 0000000E0E000000 0000003020600000 00081E0000000000 
C0C0800000000000 000000008080E000 1C14000000000000 00000000101E0000 0020604040000000 0000060606000000 0000003020600000 0008180808000000 
C0C0800000000000 000000008080E000 0000003010300000 0000020202060000 000004040C080000 1C1C000000000000 0020380800000000 0000404060400000 
C0C0800000000000 000000008080E000 0000302030000000 0000404040600000 1C30000000000000 0000060606000000 000C081800000000 00000000081E0000 
C0C0800000000000 1C04040000000000 0030103000000000 000808080C000000 00000000301C0000 0000000000E0E000 00006040C0000000 0000020602020000 
