080C0C0000000000 8080E00000000000 000000C080C00000 0000020202060000 000000000030E000 7070000000000000 0000101C04000000 0000002078000000 
000000C0C0400000 0020203800000000 0000000000A0E000 0000020202060000 380C000000000000 C0C0C00000000000 00101C0400000000 000000003C100000 
000000C0C0400000 0020203800000000 0000000000A0E000 0000020202060000 080C040400000000 C0C0C00000000000 3010180000000000 000000003C100000 
000000C0C0400000 00000E0202000000 0000000000A0E000 0030202020000000 380C000000000000 C0C0C00000000000 0000000C04060000 0000101018100000 
000000C0C0400000 3808080000000000 0000000000A0E000 0030202020000000 0004060202000000 C0C0C00000000000 0000000C04060000 0000101018100000 
000000C0C0400000 E080800000000000 0000000000A0E000 0000020202060000 080C040400000000 0000383800000000 1070400000000000 000000003C100000 
00000C0C04000000 0070101000000000 C080C00000000000 0000020202060000 380C000000000000 0000000000E0E000 000020E080000000 0000000078100000 
00000C0C04000000 001C101000000000 C080C00000000000 0000020202060000 3860000000000000 0000000000E0E000 000020E080000000 0000000078100000 
1818080000000000 E020200000000000 0000507000000000 00C0808080000000 0004060202000000 0000000000E0E000 0000000C04060000 0000000078100000 
3030100000000000 000000008080E000 0000283800000000 0000020202060000 080C040400000000 C0C0C00000000000 000000C040600000 000000003C100000 
C0C0400000000000 00008080E0000000 00000C040C000000 0000020202060000 380C000000000000 0000000000E0E000 0030206000000000 0000101810100000 
C0C0400000000000 3820200000000000 0000000000A0E000 0000020202060000 00008080C0400000 001C1C0000000000 000000041C100000 0000007820000000 
0000000030302000 008080E000000000 3828000000000000 0000020202060000 0010101808000000 00000000C0C0C000 C040600000000000 00040C0404000000 
0000000030302000 001C040400000000 C080C00000000000 0000020202060000 3860000000000000 00000000C0C0C000 000018080C000000 000020F000000000 
0000000030302000 7040400000000000 0000000602060000 808080C000000000 000000380C000000 00000000C0C0C000 0838200000000000 00041E0000000000 
0000001818100000 000000008080E000 3828000000000000 0000020202060000 0010302020000000 C0C0C00000000000 000000C040600000 00040C0404000000 
0000001818100000 00001C0404000000 0000000060206000 0000020202060000 380C000000000000 C0C0C00000000000 0030206000000000 0000008080C08000 
000C0C0800000000 E080800000000000 0000000060206000 0000020202060000 1870000000000000 0000707000000000 000000041C100000 0000008080C08000 
3030200000000000 000000008080E000 0000000050700000 0000020202060000 080C040400000000 C0C0C00000000000 000018080C000000 000000F020000000 
3030200000000000 0000007010100000 0000000060206000 0000020202060000 080C040400000000 C0C0C00000000000 000018080C000000 0000008080C08000 
C0C0800000000000 000000008080E000 0000181018000000 0000202020300000 0004060202000000 3838000000000000 0000000C04060000 000040C040400000 
C0C0800000000000 3820200000000000 0000000602060000 00000000F0100000 001C060000000000 0000000000E0E000 000018080C000000 000040F000000000 
