000080C0C0000000 00000002020E0000 0070500000000000 F080000000000000 0000202030100000 0000000000E0E000 000006040C000000 080C080800000000 
0004060600000000 000000008080E000 0000006040600000 7840000000000000 00000000301C0000 0038380000000000 000000080E020000 8080C08000000000 
0004060600000000 E020200000000000 0000000000A0E000 00000000021E0000 00008080C0400000 1818180000000000 00C0406000000000 000000083C000000 
0004060600000000 E020200000000000 0000000000A0E000 00C0808080000000 00000000301C0000 1818180000000000 000000080E020000 0000406040400000 
0080C0C000000000 3808080000000000 0000302030000000 0000020202060000 C070000000000000 00000000C0C0C000 0000000008382000 0004040C04000000 
080C0C0000000000 E080800000000000 0000000C080C0000 00000000F0100000 000030E000000000 0000000000E0E000 1070400000000000 0000020206020000 
080C0C0000000000 E080800000000000 0000000C080C0000 00000000F0100000 1010302000000000 0000000000E0E000 006040C000000000 0000020206020000 
80C0C00000000000 00000002020E0000 0000382800000000 000000C080808000 001C060000000000 0000000060606000 000000041C100000 7820000000000000 
80C0C00000000000 000000008080E000 0000302030000000 0000080808180000 001C060000000000 0000000606060000 000000C040600000 7820000000000000 
80C0C00000000000 000000008080E000 000C080C00000000 0000060202020000 0010302020000000 000000001C1C0000 000000C040600000 7820000000000000 
80C0C00000000000 0000000070404000 0000382800000000 000000C080808000 001C060000000000 0000000606060000 0000000008382000 7820000000000000 
000000C0C0400000 00000002020E0000 0000000000A0E000 0030202020000000 380C000000000000 C0C0C00000000000 000000041C100000 00001E0800000000 
0000060602000000 000000008080E000 0000180818000000 0030202020000000 380C000000000000 C0C0C00000000000 000000C040600000 00000000041E0000 
1818080000000000 E080800000000000 0000302030000000 00000000003C2000 0004040C08000000 00000000C0C0C000 006040C000000000 0000020206020000 
C0C0400000000000 000000008080E000 0000000050700000 0000020202060000 000004040C080000 3030300000000000 000080E020000000 080C080800000000 
C0C0400000000000 000000008080E000 0000000050700000 0000020202060000 080C040400000000 3030300000000000 000080E020000000 000008080C080000 
C0C0400000000000 000000008080E000 0000000050700000 00000808080C0000 080C040400000000 3030300000000000 000080E020000000 0000020206020000 
C0C0400000000000 00008080E0000000 0000000A0E000000 00000000101E0000 380C000000000000 0000000000E0E000 0030206000000000 00001E0400000000 
00000000C0C08000 002020E000000000 0000000E0A000000 00101E0000000000 380C000000000000 C0C0C00000000000 0000000030206000 00000000041E0000 
00000000C0C08000 0070404000000000 0000382800000000 C080808000000000 380C000000000000 0000060606000000 0000000030206000 00000000081E0000 
00000000C0C08000 7040400000000000 0000002838000000 808080C000000000 0000000000386000 0000000606060000 0838200000000000 00041E0000000000 
0000006060400000 0000000E02020000 0000000000A0E000 F080000000000000 0040C08080000000 000000001C1C0000 0838200000000000 00041E0000000000 
0000060604000000 7010100000000000 0000C080C0000000 00000000021E0000 0000006038000000 0000000000E0E000 80E0200000000000 080C080800000000 
0000060604000000 E080800000000000 000000000A0E0000 00000000F0100000 000030E000000000 0000000000E0E000 1070400000000000 080C080800000000 
0000060604000000 E080800000000000 000000000A0E0000 00000000F0100000 1010302000000000 0000000000E0E000 006040C000000000 080C080800000000 
3030200000000000 000000E080800000 0000180818000000 00000000003C2000 080C040400000000 C0C0C00000000000 000000006040C000 0000020206020000 
6060400000000000 0000202038000000 00000000C080C000 808080C000000000 0004060202000000 1818180000000000 0000000C04060000 0000000000782000 
