0000000020606000 00001C0404000000 0000001810180000 0000020202060000 380C000000000000 C0C0C00000000000 0030206000000000 00000080C0808000 
0000000040C0C000 00000010101C0000 E0A0000000000000 0000006020202000 0040C08080000000 000C0C0C00000000 1810300000000000 0000020206020000 
0000000206060000 000000008080E000 0000001810180000 0030202020000000 380C000000000000 C0C0C00000000000 000000C040600000 00001E0400000000 
00000040C0C00000 000000002020E000 0000283800000000 00000000101E0000 380C000000000000 0000060606000000 4070100000000000 8080C08000000000 
00040C0C00000000 0010107000000000 3828000000000000 00808080C0000000 00000000301C0000 0000000000E0E000 C040600000000000 0000020206020000 
00040C0C00000000 0010107000000000 0000C080C0000000 7808000000000000 00000000301C0000 0000000000E0E000 80E0200000000000 0000020206020000 
00040C0C00000000 000000008080E000 0000006040600000 C080808000000000 00000000301C0000 3838000000000000 0040701000000000 0000020206020000 
0010303000000000 00000002020E0000 E0A0000000000000 1808080800000000 0040C08080000000 0000000000E0E000 0000004070100000 0004060404000000 
0040C0C000000000 0000000E02020000 00000000141C0000 F080000000000000 00000030E0000000 0000000000E0E000 0838200000000000 00041E0000000000 
2060600000000000 000000008080E000 0000007050000000 C080808000000000 0004060202000000 1818180000000000 0000000C04060000 0000000020780000 
0000000080C0C000 0000000E02020000 00000000141C0000 0000003020202000 008080C040000000 3838000000000000 C040600000000000 00041E0000000000 
0000000406060000 0000101070000000 00000E0A00000000 000000808080C000 380C000000000000 C0C0C00000000000 0030206000000000 0000000000782000 
0000000406060000 8080E00000000000 00000E0A00000000 000000808080C000 380C000000000000 0000007070000000 4070100000000000 0000000000782000 
0000004060600000 000000008080E000 0000283800000000 00000000101E0000 380C000000000000 0000060606000000 4070100000000000 8080C08000000000 
080C0C0000000000 8080E00000000000 00000000C080C000 0000020202060000 000000E030000000 7070000000000000 0000101C04000000 0000000000782000 
0000003030100000 00000002020E0000 0000000000A0E000 1808080800000000 00008080C0400000 E0E0000000000000 0010704000000000 0004060404000000 
000000C0C0400000 E080800000000000 0000000000A0E000 0808080C00000000 0004060202000000 0000303030000000 1070400000000000 00000000041E0000 
0060602000000000 E080800000000000 0000005070000000 000000808080C000 0004060202000000 1818180000000000 0000000C04060000 0000000000782000 
00C0C04000000000 00000010101C0000 000000A0E0000000 F010000000000000 080C040400000000 0000000000E0E000 0020380800000000 0000020206020000 
1818080000000000 000000002020E000 C080C00000000000 00000000101E0000 0004060202000000 000000C0C0C00000 0000101C04000000 2060202000000000 
1818080000000000 000000002020E000 C080C00000000000 0000101010180000 0004060202000000 000000C0C0C00000 0000000C04060000 2060202000000000 
1818080000000000 000000008080E000 0000007050000000 0000F08000000000 0004060202000000 E0E0000000000000 0000000C04060000 0000000020780000 
1818080000000000 000000008080E000 6020600000000000 00000000101E0000 0004060202000000 0000006060600000 0000101C04000000 80C0808000000000 
1818080000000000 000000008080E000 6020600000000000 0000101010180000 0004060202000000 0000006060600000 0000000C04060000 80C0808000000000 
1818080000000000 E020200000000000 00000000C080C000 00000000101E0000 0004060202000000 00C0C0C000000000 0000101C04000000 0000002020602000 
1818080000000000 E020200000000000 00000000C080C000 0000101010180000 0004060202000000 00C0C0C000000000 0000000C04060000 0000002020602000 
1818080000000000 E080800000000000 0000000060206000 00000000101E0000 0004060202000000 0060606000000000 0000101C04000000 0000008080C08000 
1818080000000000 E080800000000000 0000000060206000 0000101010180000 0004060202000000 0060606000000000 0000000C04060000 0000008080C08000 
0000181810000000 00000004041C0000 0000000060206000 0000060202020000 380C000000000000 C0C0C00000000000 0030206000000000 0000008080C08000 
0000C0C080000000 00000004041C0000 0000000000A0E000 0000060202020000 1010302000000000 E0E0000000000000 0000001070400000 080C080800000000 
0030302000000000 00000E0202000000 0000005070000000 000000808080C000 380C000000000000 C0C0C00000000000 0000000C04060000 0000000000782000 
0030302000000000 3808080000000000 0000005070000000 000000808080C000 0004060202000000 C0C0C00000000000 0000000C04060000 0000000000782000 
C0C0800000000000 000000008080E000 0000001810180000 00101E0000000000 380C000000000000 0000000606060000 000000C040600000 0020602020000000 
C0C0800000000000 3820200000000000 0000507000000000 00000080F0000000 001C060000000000 0000000000E0E000 0000080E02000000 00000000041E0000 
C0C0800000000000 3820200000000000 0000507000000000 00000080F0000000 0004060202000000 0000000000E0E000 0018080C00000000 00000000041E0000 
