0020303000000000 00000002020E0000 7050000000000000 00000000F0100000 8080C04000000000 0000000000E0E000 000006040C000000 080C080800000000 
080C0C0000000000 0000202038000000 00000000C080C000 0000020202060000 8080C04000000000 7070000000000000 0000101C04000000 0000000000782000 
080C0C0000000000 8080E00000000000 00000000C080C000 0000020202060000 0000006038000000 7070000000000000 0000101C04000000 0000000000782000 
080C0C0000000000 7010100000000000 0000000C080C0000 00000000F0100000 0000C07000000000 0000000000E0E000 80E0200000000000 0000020206020000 
080C0C0000000000 7010100000000000 0000000C080C0000 00000000F0100000 8080C04000000000 0000000000E0E000 0060203000000000 0000020206020000 
80C0C00000000000 000000008080E000 0028380000000000 0000000008780000 0004060202000000 0000007070000000 0000000C04060000 7810000000000000 
0000000606020000 000000008080E000 0000000050700000 00101E0000000000 380C000000000000 C0C0C00000000000 00000018080C0000 0020206020000000 
0000003030100000 00000002020E0000 0000C040C0000000 7808000000000000 0010180808000000 0000000000E0E000 80E0200000000000 0004060404000000 
0000003030100000 00000002020E0000 0000C040C0000000 F010000000000000 00E0300000000000 0000000000E0E000 000006040C000000 080C080800000000 
0000003030100000 7010100000000000 0000C040C0000000 0000020202060000 000004040C080000 0000000000E0E000 80E0200000000000 080C080800000000 
0000003030100000 7010100000000000 0000C040C0000000 0000020202060000 080C040400000000 0000000000E0E000 80E0200000000000 000008080C080000 
0000003030100000 7010100000000000 0000C040C0000000 00000808080C0000 080C040400000000 0000000000E0E000 80E0200000000000 0000020206020000 
0000060602000000 E080800000000000 0060406000000000 000C080808000000 0000001030202000 00000000C0C0C000 1810300000000000 00000000041E0000 
0000181808000000 00000004041C0000 0000000000A0E000 0000060202020000 380C000000000000 C0C0C00000000000 0030206000000000 00000000F0400000 
00C0C04000000000 00000002020E0000 1808180000000000 00000000F0100000 E030000000000000 0000000000E0E000 0000203808000000 0004060404000000 
1818080000000000 000000008080E000 0000005070000000 0000000008780000 0004060202000000 E0E0000000000000 0000000C04060000 0000F02000000000 
1818080000000000 000000008080E000 0000005070000000 0000000008780000 0004060202000000 C0C0C00000000000 0000000C04060000 2020302000000000 
1818080000000000 000000008080E000 E0A0000000000000 0000000008780000 0004060202000000 0000007070000000 0000000C04060000 0040F00000000000 
1818080000000000 000000008080E000 E0A0000000000000 0000000008780000 0004060202000000 0000303030000000 0000000C04060000 0040C04040000000 
0000000030302000 00000002020E0000 0000283800000000 7840000000000000 8080C04000000000 00000000C0C0C000 000006040C000000 003C100000000000 
0000000030302000 0038202000000000 0000000C080C0000 7840000000000000 8080C04000000000 00000000C0C0C000 00041C1000000000 0000020206020000 
00000000C0C08000 0038202000000000 0000001808180000 7840000000000000 8080C04000000000 0000000606060000 0000000030206000 00041E0000000000 
00000000C0C08000 E080800000000000 0060406000000000 0000020202060000 0000000000386000 000C0C0C00000000 1810300000000000 000000103C000000 
0000060604000000 7010100000000000 000000000A0E0000 00000000F0100000 0000C07000000000 0000000000E0E000 80E0200000000000 080C080800000000 
0000060604000000 7010100000000000 000000000A0E0000 00000000F0100000 8080C04000000000 0000000000E0E000 0060203000000000 080C080800000000 
3030200000000000 000000008080E000 0000007050000000 0000020202060000 080C040400000000 C0C0C00000000000 000018080C000000 0000000020780000 
C0C0800000000000 00000002020E0000 3828000000000000 0000003020202000 0000080818100000 00000000C0C0C000 0010704000000000 0004060404000000 
C0C0800000000000 000002020E000000 0000000000A0E000 00000000101E0000 080C040400000000 3030300000000000 0000083820000000 00004040C0400000 
C0C0800000000000 000000008080E000 0000005070000000 0000000008780000 0004060202000000 3838000000000000 0000000C04060000 0000782000000000 
C0C0800000000000 000000008080E000 0000005070000000 0000000008780000 0004060202000000 1818180000000000 0000000C04060000 2020602000000000 
C0C0800000000000 000000008080E000 3828000000000000 0000000008780000 0004060202000000 0000007070000000 0000000C04060000 0010780000000000 
C0C0800000000000 000000008080E000 3828000000000000 0000000008780000 0004060202000000 0000606060000000 0000000C04060000 0010181010000000 
C0C0800000000000 000000008080E000 00000C040C000000 0000020202060000 380C000000000000 0000606060000000 0030101800000000 0000000010780000 
C0C0800000000000 000000008080E000 0000000C080C0000 0000404040600000 0000202030100000 3838000000000000 00041C1000000000 0000020206020000 
