00080C0C00000000 0010107000000000 0000C080C0000000 3C04000000000000 00000000380C0000 0000000000E0E000 80E0200000000000 0000020206020000 
80C0C00000000000 00000002020E0000 000000141C000000 000000C080808000 1018080800000000 0000000060606000 0C04060000000000 2020302000000000 
80C0C00000000000 00000002020E0000 1C14000000000000 000000C080808000 0008081810000000 0000000060606000 000006040C000000 2020302000000000 
80C0C00000000000 0000101070000000 0000000602060000 3C20000000000000 001C060000000000 0000000000E0E000 000020E080000000 000008080C080000 
80C0C00000000000 0000101070000000 0000000C080C0000 3C04000000000000 00380C0000000000 0000000000E0E000 000020E080000000 0000020206020000 
80C0C00000000000 0008083800000000 0000000602060000 000000808080C000 0000004040602000 3030300000000000 0C04060000000000 000000003C080000 
80C0C00000000000 000000008080E000 0000000602060000 3C20000000000000 001C060000000000 0000383800000000 000000C040600000 000000003C080000 
80C0C00000000000 000000008080E000 0000000602060000 3C20000000000000 001C060000000000 0000303030000000 000000C040600000 000008080C080000 
80C0C00000000000 000000008080E000 0018081800000000 3C04000000000000 00000000180E0000 0000060606000000 000000C040600000 0020302020000000 
80C0C00000000000 000000008080E000 0000000C080C0000 3C04000000000000 00380C0000000000 0000303030000000 000000C040600000 0000020206020000 
80C0C00000000000 000000008080E000 0000302030000000 3C20000000000000 001C060000000000 000000000E0E0000 000000C040600000 0000081E00000000 
80C0C00000000000 000000008080E000 0000302030000000 3C20000000000000 001C060000000000 0000000606060000 000000C040600000 0000081808080000 
80C0C00000000000 00000008080E0000 0000000060206000 3C04000000000000 0008181010000000 0000060606000000 0030206000000000 0000008080C08000 
80C0C00000000000 00000E0202000000 0000000060206000 2020206000000000 00000000180E0000 1C1C000000000000 0000101C04000000 0000008080C08000 
80C0C00000000000 00000E0202000000 0000000060206000 2020206000000000 0000101018080000 1C1C000000000000 0000000C04060000 0000008080C08000 
80C0C00000000000 1C04040000000000 0000000000A0E000 0000021E00000000 000030E000000000 000000000E0E0000 2038080000000000 00000000F0400000 
80C0C00000000000 1C04040000000000 0000000C080C0000 00000010F0000000 000030E000000000 0000000000E0E000 2038080000000000 0000020206020000 
80C0C00000000000 1C04040000000000 0000000C080C0000 000000808080C000 0000004040602000 0000303030000000 2038080000000000 0000020206020000 
80C0C00000000000 1C10100000000000 0000000060206000 2020206000000000 00000000180E0000 0000060606000000 000C081800000000 0000008080C08000 
80C0C00000000000 3820200000000000 0000000000A0E000 000010F000000000 0404060200000000 000000000E0E0000 0018080C00000000 00000000F0400000 
80C0C00000000000 3820200000000000 0000000060206000 0000087800000000 00000000180E0000 0000060606000000 041C100000000000 0000008080C08000 
80C0C00000000000 3820200000000000 0000060206000000 000000C080808000 00000000180E0000 0000000060606000 041C100000000000 0000083C00000000 
000000C0C0400000 8080E00000000000 0000000000A0E000 3C04000000000000 00000E1800000000 0000000606060000 0000002038080000 0078100000000000 
000000C0C0400000 8080E00000000000 0000000000A0E000 3C04000000000000 00000000180E0000 0000060606000000 0000083820000000 0078100000000000 
0018180800000000 00000002020E0000 0060206000000000 3C04000000000000 0000001030202000 00000000C0C0C000 000006040C000000 8080C08000000000 
1818080000000000 0000E08080000000 A0E0000000000000 0404040C00000000 00000000380C0000 0000000000E0E000 0000107040000000 0000020206020000 
0000060604000000 1C10100000000000 000000000A0E0000 00000080F0000000 8080C04000000000 0000000000E0E000 000C081800000000 2060202000000000 
0000181810000000 00000002020E0000 000000A0E0000000 3C04000000000000 8080C04000000000 0000000000E0E000 000006040C000000 0078200000000000 
0C0C080000000000 0010101C00000000 0000060206000000 0000006020202000 00000000180E0000 00000000C0C0C000 3020600000000000 80C0808000000000 
