80C0C00000000000 002020E000000000 0000000000A0E000 3010101000000000 0000020206040000 0C0C0C0000000000 0000000C08180000 00000000F0400000 
80C0C00000000000 002020E000000000 00141C0000000000 00000010F0000000 00000000061C0000 0000000000E0E000 0000020E08000000 3C08000000000000 
80C0C00000000000 002020E000000000 00141C0000000000 00000010F0000000 0000020206040000 0000000000E0E000 0000000C08180000 3C08000000000000 
80C0C00000000000 000000008080E000 0000000A0E000000 2020203000000000 00000000301C0000 1C1C000000000000 000000C040600000 00001E0400000000 
80C0C00000000000 000000008080E000 0000000A0E000000 2020203000000000 00000000301C0000 1818180000000000 000000C040600000 0404060400000000 
80C0C00000000000 000000008080E000 0028380000000000 0000003C20000000 0004060202000000 000000001C1C0000 000000C040600000 3C10000000000000 
80C0C00000000000 000000008080E000 1C14000000000000 2020203000000000 00000000301C0000 0000000E0E000000 000000C040600000 00081E0000000000 
80C0C00000000000 000000008080E000 1C14000000000000 2020203000000000 00000000301C0000 0000060606000000 000000C040600000 0008180808000000 
80C0C00000000000 000000008080E000 0000060206000000 3C04000000000000 00000000301C0000 0038380000000000 000000C040600000 0000003C08000000 
80C0C00000000000 000000008080E000 0000060206000000 3C04000000000000 00000000301C0000 0030303000000000 000000C040600000 0008080C08000000 
80C0C00000000000 000000008080E000 0030203000000000 3C04000000000000 00000000301C0000 0000000E0E000000 000000C040600000 00081E0000000000 
80C0C00000000000 000000008080E000 0030203000000000 3C04000000000000 00000000301C0000 0000060606000000 000000C040600000 0008180808000000 
80C0C00000000000 000000E080800000 0028380000000000 00000000003C2000 0004060202000000 0000001C1C000000 000000006040C000 3C10000000000000 
80C0C00000000000 000000E080800000 00000E0A00000000 00000000003C2000 2020301000000000 1C1C000000000000 000000006040C000 000000041E000000 
80C0C00000000000 00001C1010000000 0000000060206000 2020206000000000 00000000061C0000 1C1C000000000000 0000020E08000000 0000008080C08000 
80C0C00000000000 00001C1010000000 0000000060206000 2020206000000000 0000020206040000 1C1C000000000000 0000000C08180000 0000008080C08000 
0000000C0C040000 00000E0202000000 A0E0000000000000 000000C080808000 0000000000386000 1C1C000000000000 0000001070400000 0000F02000000000 
0000060602000000 00000010101C0000 000000A0E0000000 3C04000000000000 8080C04000000000 0000000000E0E000 000018080C000000 0078200000000000 
0000060602000000 8080E00000000000 0000000060206000 0000087800000000 3860000000000000 000000001C1C0000 041C100000000000 0000008080C08000 
0C0C040000000000 000002020E000000 0060206000000000 00000000003C2000 0000001C30000000 00000000C0C0C000 3010180000000000 8080C08000000000 
0C0C040000000000 000000008080E000 00000A0E00000000 0010101018000000 00000000061C0000 0000006060600000 3020600000000000 80C0808000000000 
0C0C040000000000 0000000038202000 0060206000000000 0000021E00000000 00000000061C0000 00000000C0C0C000 3010180000000000 8080C08000000000 
0C0C040000000000 0000E08080000000 A0E0000000000000 1010103000000000 0000020206040000 0000000000E0E000 0000004070100000 0000080C08080000 
00000000C0C08000 1010700000000000 A0E0000000000000 0000021E00000000 0000000000386000 0C0C0C0000000000 000080E020000000 000000001E040000 
0000000606040000 0000000070404000 A0E0000000000000 000000C080808000 00000E1800000000 1C1C000000000000 0000000008382000 0000F02000000000 
0000000606040000 0000000070404000 A0E0000000000000 000000C080808000 0000E03000000000 1C1C000000000000 0000000008382000 00001E0800000000 
0000000606040000 00000E0808000000 A0E0000000000000 000000C080808000 0000000000386000 1C1C000000000000 0000001070400000 0000F02000000000 
0018181000000000 00000004041C0000 0000002838000000 3C20000000000000 0004060202000000 0000000000E0E000 00006040C0000000 80C0808000000000 
0C0C080000000000 0010107000000000 0000060206000000 00000000003C2000 0000000C38000000 00000000C0C0C000 3020600000000000 80C0808000000000 
0C0C080000000000 000000008080E000 A0E0000000000000 1010101800000000 000080C040400000 0000060606000000 0000602030000000 00000000083C0000 
0C0C080000000000 0010101C00000000 0000060206000000 00000000003C2000 0000006038000000 00000000C0C0C000 3020600000000000 80C0808000000000 
