00000080C0C00000 00001C0404000000 0000001808180000 0000020202060000 8080C04000000000 1C1C000000000000 0000000030206000 2060202000000000 
0000080C0C000000 1C04040000000000 A0E0000000000000 0000020202060000 0018700000000000 0000000060606000 0000003010180000 000080C080800000 
80C0C00000000000 000000E080800000 0000060206000000 3C04000000000000 0020301010000000 0000000060606000 0018080C00000000 00000000081E0000 
80C0C00000000000 000000E080800000 0000000060406000 00000000043C0000 04040C0800000000 3838000000000000 0000301018000000 0000020602020000 
80C0C00000000000 000000E080800000 0000000060406000 00000000043C0000 2020301000000000 1C1C000000000000 00000C0818000000 0000020602020000 
80C0C00000000000 0038202000000000 0000005070000000 3C04000000000000 0000008080C04000 0000000606060000 0000000008382000 00001E0800000000 
80C0C00000000000 3820200000000000 00000C080C000000 00000000003C2000 0000008080C04000 0000007070000000 041C100000000000 0000020602020000 
0000060602000000 1C10100000000000 A0E0000000000000 000C080808000000 0000E03000000000 000000C0C0C00000 0000000030206000 00000000041E0000 
00000C0C04000000 0000701010000000 A0E0000000000000 0000020202060000 0000002060404000 1C1C000000000000 0000000008382000 000080C080800000 
0018180800000000 1C04040000000000 A0E0000000000000 0000808080C00000 0000000000386000 0000606060000000 000000101C040000 0000020602020000 
0C0C040000000000 0020203800000000 0000000060206000 0000808080C00000 80C0404000000000 000000001C1C0000 3010180000000000 0000020602020000 
0000606040000000 0000080838000000 A0E0000000000000 0000808080C00000 0000000000386000 0000000606060000 0C04060000000000 1018101000000000 
000C0C0800000000 1C10100000000000 A0E0000000000000 0000808080C00000 0000000000386000 0000606060000000 000000101C040000 0000020602020000 
3030200000000000 0008080E00000000 0000000060206000 0000808080C00000 80C0404000000000 000000000E0E0000 0C04060000000000 0000103010100000 
