0000007060000000 1010700000000000 0000000602060000 0000808080C00000 000000000030E000 E0E0000000000000 0C04060000000000 000008080C080000 
0000007060000000 000000008080E000 6020600000000000 0000000008780000 1010180800000000 0000000606060000 0C04060000000000 80C0808000000000 
0000007060000000 0000E08080000000 0000000E0A000000 F080000000000000 0070180000000000 0000000000E0E000 0C04060000000000 00000000041E0000 
0000383000000000 000000002020E000 0000000E0A000000 F080000000000000 0070C00000000000 000000C0C0C00000 0C04060000000000 00000000041E0000 
0070600000000000 00008080E0000000 0000000E0A000000 F080000000000000 0000187000000000 0000000000E0E000 0C04060000000000 00000000041E0000 
00E0C00000000000 0000382020000000 000000000A0E0000 F010000000000000 000000000030E000 000000C0C0C00000 0C04060000000000 0000001E04000000 
E0C0000000000000 000000008080E000 1C14000000000000 00001E0200000000 0000001C06000000 0000006060600000 0020E08000000000 00000000081E0000 
0000000020606000 00E0808000000000 0000001808180000 F010000000000000 00000040C0808000 0000000606060000 0C04060000000000 0000782000000000 
0000000040C0C000 E080800000000000 1C14000000000000 0000003020202000 004040C080000000 0000060606000000 0020380800000000 00000000081E0000 
0000000206060000 000000002020E000 0000001808180000 3C04000000000000 C070000000000000 000000C0C0C00000 0080E02000000000 00001E0400000000 
0000000206060000 000000008080E000 0000000028380000 F080000000000000 000080C040400000 0070700000000000 0C04060000000000 0000083C00000000 
0000000206060000 000000008080E000 0000003020300000 F080000000000000 000080C040400000 0070700000000000 0C04060000000000 0000080C08080000 
0000020606000000 00000008080E0000 000000C080C00000 0020202060000000 000000000030E000 C0C0C00000000000 00041C1000000000 3C10000000000000 
0000020606000000 00000008080E0000 6040600000000000 808080C000000000 1C30000000000000 00000000C0C0C000 00041C1000000000 0000002020302000 
0000020606000000 00000008080E0000 C080C00000000000 0060202020000000 000000000030E000 000000C0C0C00000 00041C1000000000 3C10000000000000 
0000000080C0C000 00E0808000000000 0000001808180000 F010000000000000 0000004060202000 0000000606060000 0C04060000000000 0000782000000000 
0000000406060000 00008080E0000000 0000507000000000 0000080808180000 0404060200000000 0000000000E0E000 80E0200000000000 7810000000000000 
00000080C0C00000 000000002020E000 0000283800000000 3C04000000000000 8080C04000000000 0000060606000000 4070100000000000 00000000081E0000 
00000080C0C00000 000000002020E000 0000000E0A000000 F010000000000000 0000187000000000 00E0E00000000000 0C04060000000000 00000000041E0000 
0000080C0C000000 00008080E0000000 0000507000000000 00000000021E0000 0404060200000000 0000000000E0E000 80E0200000000000 7810000000000000 
0000406060000000 000000008080E000 1C14000000000000 0000000008780000 00000E1800000000 0000000606060000 6020300000000000 80C0808000000000 
0004060600000000 1C10100000000000 E0A0000000000000 0000808080C00000 000000000030E000 000000000E0E0000 0000083820000000 0040604040000000 
80C0C00000000000 7010100000000000 000000C080C00000 0020202060000000 000000000030E000 000000000E0E0000 0C04060000000000 0000081E00000000 
80C0C00000000000 7010100000000000 000000C080C00000 0020202060000000 000000000030E000 0000000606060000 0C04060000000000 0000081808080000 
0000000060602000 8080E00000000000 0000000E0A000000 000000808080C000 0000187000000000 7070000000000000 0C04060000000000 00000000041E0000 
000000C0C0400000 E080800000000000 0000000000A0E000 0000080808180000 0040602020000000 0000000606060000 0C04060000000000 1030101000000000 
0000060602000000 000000002020E000 C080C00000000000 3C04000000000000 0070180000000000 000000C0C0C00000 0000203808000000 00000000041E0000 
0000060602000000 000000002020E000 C080C00000000000 3C04000000000000 0010180808000000 000000C0C0C00000 0060203000000000 00000000041E0000 
00000C0C08000000 000000E080800000 1C14000000000000 00000000003C2000 2020301000000000 C0C0C00000000000 000000006040C000 0000020206020000 
C0C0800000000000 000000008080E000 0000000028380000 2020203000000000 1010180800000000 0000000606060000 0C04060000000000 000040C040400000 
