0000000080C0C000 1C10100000000000 0000E0A000000000 0000020202060000 0000001870000000 E0E0000000000000 0000000008382000 00040C0404000000 
00000080C0C00000 000000002020E000 00000000141C0000 3C04000000000000 00301C0000000000 C0C0C00000000000 0000203808000000 0000020602020000 
80C0C00000000000 7010100000000000 0000000060206000 0000080808180000 0020203010000000 0000000606060000 0C04060000000000 0000008080C08000 
0000000060602000 00000002020E0000 1C14000000000000 000000808080C000 00000E1800000000 E0E0000000000000 000000041C100000 0000F02000000000 
0000000060602000 00000002020E0000 1C14000000000000 000000808080C000 00000E1800000000 C0C0C00000000000 000000041C100000 2020302000000000 
0000000060602000 00000002020E0000 1C14000000000000 000000808080C000 0000E03000000000 E0E0000000000000 000000041C100000 00001E0800000000 
0000000060602000 00000002020E0000 1C14000000000000 000000808080C000 0000081810100000 E0E0000000000000 000006040C000000 0000F02000000000 
0000000060602000 00000002020E0000 1C14000000000000 000000808080C000 0000081810100000 C0C0C00000000000 000006040C000000 2020302000000000 
0000000606020000 00000010101C0000 0000000060206000 3020202000000000 0010180808000000 C0C0C00000000000 0C04060000000000 0000008080C08000 
0000000606020000 00000010101C0000 0000602060000000 00C0808080000000 0010180808000000 0000000000E0E000 0C04060000000000 F020000000000000 
3030100000000000 000000008080E000 0000000050700000 C080808000000000 0040602020000000 000000000E0E0000 0C04060000000000 0000081E00000000 
3030100000000000 000000008080E000 0000000050700000 C080808000000000 0040602020000000 0000000606060000 0C04060000000000 0000081808080000 
C0C0400000000000 00008080E0000000 00000000141C0000 3C04000000000000 00301C0000000000 0000000000E0E000 0000203808000000 0000020602020000 
00000000C0C08000 0000080838000000 6020600000000000 1010103000000000 0000000000386000 0000000606060000 0C04060000000000 80C0808000000000 
00000000C0C08000 0000202038000000 0C040C0000000000 0000020202060000 0000000000386000 7070000000000000 0000101C04000000 8080C08000000000 
00000000C0C08000 0000000E02020000 0000E0A000000000 000000003C040000 0000000000386000 E0E0000000000000 0C04060000000000 1010181000000000 
00000000C0C08000 00E0808000000000 0000002838000000 F010000000000000 0000000000386000 0000000606060000 0C04060000000000 0000781000000000 
0000060604000000 00002020E0000000 000000000A0E0000 3C04000000000000 0000081810100000 0000000000E0E000 4070100000000000 8080C08000000000 
0030302000000000 00000002020E0000 0000000060206000 3C04000000000000 00000E1800000000 C0C0C00000000000 000000041C100000 0000008080C08000 
0030302000000000 00000002020E0000 0000000060206000 3C04000000000000 0000081810100000 C0C0C00000000000 000006040C000000 0000008080C08000 
00C0C08000000000 000000008080E000 0000000050700000 F010000000000000 0000180E00000000 000000000E0E0000 0C04060000000000 0020203020000000 
C0C0800000000000 00000010101C0000 000000A0E0000000 0C04040400000000 0010180808000000 0000000000E0E000 3020600000000000 0000020206020000 
