0000000818180000 E080800000000000 0000000000E0A000 0000020202060000 1C30000000000000 000000E0E0000000 0040701000000000 00040C0404000000 
0000000818180000 E080800000000000 0000000000E0A000 0020202060000000 004040C080000000 0000000606060000 0C04060000000000 1010181000000000 
0000020606000000 00000008080E0000 1C14000000000000 00003C2000000000 0000001010302000 E0E0000000000000 0000C04060000000 0000008080C08000 
0000040C0C000000 2020380000000000 1C14000000000000 0000020202060000 0000004060202000 C0C0C00000000000 0000003010180000 0000008080C08000 
0000000406060000 E080800000000000 1C14000000000000 00001E0200000000 0000001870000000 0060606000000000 0000000008382000 0000008080C08000 
0000001018180000 00000E0202000000 1C14000000000000 0000F08000000000 00000040C0808000 E0E0000000000000 0000000C04060000 0000002020602000 
0010181800000000 00002020E0000000 0000000000E0A000 00000000021E0000 000000061C000000 00C0C0C000000000 0C04060000000000 F020000000000000 
0000000060602000 00000002020E0000 1C14000000000000 000000C080808000 00000E1800000000 E0E0000000000000 000000041C100000 0000F02000000000 
0000000060602000 00000002020E0000 1C14000000000000 000000C080808000 00000E1800000000 C0C0C00000000000 000000041C100000 2020302000000000 
0000000060602000 00000002020E0000 1C14000000000000 000000C080808000 0000E03000000000 E0E0000000000000 000000041C100000 00001E0800000000 
0000000060602000 00000002020E0000 1C14000000000000 000000C080808000 0000081810100000 E0E0000000000000 000006040C000000 0000F02000000000 
0000000060602000 00000002020E0000 1C14000000000000 000000C080808000 0000081810100000 C0C0C00000000000 000006040C000000 2020302000000000 
0000000606020000 00000010101C0000 0000000000E0A000 00C0808080000000 0010180808000000 0000606060000000 0C04060000000000 F020000000000000 
0000000606020000 0000E08080000000 0000002838000000 00000000003C2000 0000004040C08000 E0E0000000000000 0C04060000000000 1010181000000000 
0000000C0C040000 2020380000000000 1C14000000000000 0000060202020000 0000004060202000 C0C0C00000000000 0000003010180000 0000008080C08000 
0000000030302000 0000E08080000000 0000000602060000 1010103000000000 0000004040C08000 E0E0000000000000 0C04060000000000 000008080C080000 
00000000C0C08000 00000002020E0000 000000141C000000 808080C000000000 1010180800000000 6060600000000000 0C04060000000000 0000002020302000 
00000000C0C08000 008080E000000000 0050700000000000 0000080808180000 0000001030202000 0000000606060000 0C04060000000000 F020000000000000 
00000000C0C08000 00000E0202000000 1C14000000000000 808080C000000000 00000000180E0000 6060600000000000 0000101C04000000 0000002020302000 
00000000C0C08000 00000E0202000000 1C14000000000000 808080C000000000 0000101018080000 6060600000000000 0000000C04060000 0000002020302000 
00000000C0C08000 7010100000000000 0060206000000000 0000080808180000 0000001030202000 0000000606060000 0C04060000000000 8080C08000000000 
0000C0C080000000 000002020E000000 0000000000E0A000 00000000101E0000 0000003860000000 E0E0000000000000 1810300000000000 04040C0400000000 
0000C0C080000000 1C10100000000000 0000000000E0A000 0000020202060000 0000000070180000 E0E0000000000000 0000203808000000 00040C0404000000 
C0C0800000000000 00000010101C0000 0000000000E0A000 0C04040400000000 0010180808000000 000000E0E0000000 3020600000000000 0000020206020000 
