E0C0000000000000 00000E0808000000 1C14000000000000 000000808080C000 0000004060202000 0000000606060000 0000003010180000 0020F00000000000 
0000000206060000 0070101000000000 0000000000A0E000 F080000000000000 0000202030100000 0000C0C0C0000000 0C04060000000000 0000080C08080000 
0000000206060000 3820200000000000 0000000060206000 000000C080808000 0010180808000000 C0C0C00000000000 0000003010180000 0404060400000000 
0000000206060000 E080800000000000 1C14000000000000 000000808080C000 0000001870000000 0060606000000000 0000000008382000 00001E0400000000 
0000000206060000 E080800000000000 1810180000000000 000000808080C000 0000001870000000 0060606000000000 0000000008382000 0404060400000000 
0000000818180000 00002020E0000000 0000000000A0E000 C080808000000000 2060404000000000 0000000606060000 0C04060000000000 1010181000000000 
0000000818180000 00008080E0000000 0000000000A0E000 6020202000000000 80C0404000000000 0000000606060000 0C04060000000000 1010181000000000 
0000000818180000 E020200000000000 0000000000A0E000 00808080C0000000 0040406020000000 0000000606060000 0C04060000000000 1010181000000000 
0000000818180000 E080800000000000 0000000000A0E000 0000020202060000 1C30000000000000 000000E0E0000000 0040701000000000 00040C0404000000 
0000000818180000 E080800000000000 0000000000A0E000 0020202060000000 004040C080000000 0000000606060000 0C04060000000000 1010181000000000 
0000001030300000 000000008080E000 7050000000000000 0000180808080000 0020206040000000 0000000606060000 0C04060000000000 8080C08000000000 
0000020606000000 000000002020E000 0000007050000000 0000C08080800000 04040C0800000000 E0E0000000000000 1810300000000000 00000000081E0000 
0000040C0C000000 E080800000000000 1C14000000000000 0000020202060000 0000000000386000 0060606000000000 0000181030000000 00000080C0808000 
0020606000000000 7010100000000000 00000000C080C000 0000080808180000 0000001030202000 0000000606060000 0C04060000000000 80C0808000000000 
000000080C0C0000 000000008080E000 00141C0000000000 3C20000000000000 008080C040000000 0000003030300000 C040600000000000 0000020602020000 
000000080C0C0000 0000701010000000 0C040C0000000000 808080C000000000 000000000030E000 7070000000000000 00000020E0800000 0000020602020000 
000000080C0C0000 7010100000000000 0C040C0000000000 0000C08080800000 000000000030E000 0000007070000000 80E0200000000000 0000020602020000 
000000080C0C0000 00001C1010000000 1C14000000000000 808080C000000000 000000000030E000 6060600000000000 00000020E0800000 0000020602020000 
0000001018180000 00000E0202000000 1C14000000000000 000000808080C000 0000004060202000 E0E0000000000000 0000000C04060000 0000F02000000000 
0000001018180000 00000E0202000000 1C14000000000000 000000808080C000 0000004060202000 C0C0C00000000000 0000000C04060000 2020302000000000 
0000080C0C000000 00000002020E0000 00000000C080C000 F010000000000000 0000001010302000 00C0C0C000000000 0C04060000000000 0020302020000000 
0000080C0C000000 00000002020E0000 00000000C080C000 F010000000000000 0020301010000000 00C0C0C000000000 0C04060000000000 0000002020302000 
0000203030000000 1C04040000000000 00000000C080C000 00000000003C2000 E030000000000000 00C0C0C000000000 000018080C000000 0000020602020000 
0004060600000000 002020E000000000 00000000C080C000 00000000021E0000 0000001030202000 C0C0C00000000000 000018080C000000 3C10000000000000 
0010181800000000 00002020E0000000 0000000000A0E000 00000000021E0000 000000061C000000 00C0C0C000000000 0C04060000000000 F020000000000000 
0010181800000000 000000E080800000 00A0E00000000000 0000000078080000 000000000030E000 0000000606060000 0C04060000000000 F040000000000000 
0080C0C000000000 00000002020E0000 00000000C080C000 F010000000000000 0060380000000000 0000001C1C000000 0C04060000000000 0000002020302000 
2030300000000000 1C04040000000000 0000000060206000 000000C080808000 000008080C040000 C0C0C00000000000 0000003010180000 0000020602020000 
80C0C00000000000 000000008080E000 1C14000000000000 0000060202020000 0000080C04040000 0000000038380000 6020300000000000 000000F040000000 
0000000606020000 000000008080E000 0050700000000000 00000808080C0000 008080C040000000 0000003030300000 0C04060000000000 F020000000000000 
0000000606020000 000000008080E000 7050000000000000 00000000203C0000 0020206040000000 0000181818000000 0C04060000000000 8080C08000000000 
0000000606020000 00000010101C0000 0000000000A0E000 00C0808080000000 0010180808000000 0000606060000000 0C04060000000000 F020000000000000 
0000000C0C040000 E080800000000000 1C14000000000000 0000060202020000 0000000000386000 0060606000000000 0000181030000000 00000080C0808000 
0000006060200000 000000008080E000 7050000000000000 0000080808180000 0020301010000000 0000000606060000 0C04060000000000 8080C08000000000 
0000C0C040000000 000000008080E000 0000000602060000 F010000000000000 00E0300000000000 0000003030300000 0C04060000000000 000008080C080000 
0000C0C040000000 000000008080E000 0000001808180000 F080000000000000 0070180000000000 0000000606060000 0C04060000000000 0000202030200000 
0000C0C040000000 000000008080E000 0000003020300000 F010000000000000 00E0300000000000 0000000606060000 0C04060000000000 0000080818080000 
3030100000000000 000000008080E000 0C040C0000000000 00000000043C0000 000000C070000000 C0C0C00000000000 0000203808000000 0000020602020000 
3030100000000000 000000008080E000 0C040C0000000000 00000000043C0000 008080C040000000 0000003838000000 C040600000000000 0000020602020000 
6060200000000000 000000008080E000 1C14000000000000 0000060202020000 0000080C04040000 0000000038380000 0000107040000000 8080C08000000000 
C0C0400000000000 00000008080E0000 1C14000000000000 2020206000000000 000000000030E000 0000060606000000 0000181030000000 00008080C0800000 
0000000C0C080000 1C04040000000000 00000000C080C000 0000020202060000 0000001010302000 E0E0000000000000 000080E020000000 0010780000000000 
0000003030200000 000000008080E000 0050700000000000 0000080808180000 008080C040000000 0000000606060000 0C04060000000000 F020000000000000 
000000C0C0800000 000000002020E000 00000000141C0000 3C04000000000000 00301C0000000000 C0C0C00000000000 0000203808000000 0000020602020000 
0000060604000000 0000380808000000 1C14000000000000 00000000021E0000 0000C07000000000 E0E0000000000000 0000000030206000 00000080C0808000 
0000C0C080000000 000002020E000000 0000000000A0E000 00000000101E0000 0000003860000000 E0E0000000000000 1810300000000000 04040C0400000000 
0000C0C080000000 1C10100000000000 0000000000A0E000 0000020202060000 0000000070180000 E0E0000000000000 0000203808000000 00040C0404000000 
6060400000000000 1C04040000000000 00000A0E00000000 808080C000000000 000000000030E000 000000000E0E0000 00000020E0800000 0010301010000000 
C0C0800000000000 00000010101C0000 0000000000A0E000 0C04040400000000 0010180808000000 000000E0E0000000 3020600000000000 0000020206020000 
C0C0800000000000 0000404070000000 1C14000000000000 000000808080C000 00000E1800000000 0000000606060000 0000000008382000 2020302000000000 
