000000080C0C0000 000000E080800000 0C040C0000000000 F080000000000000 000000000030E000 0070700000000000 0000001070400000 0000020602020000 
000000080C0C0000 000000E080800000 0C040C0000000000 F080000000000000 0000001010302000 0070700000000000 000000006040C000 0000020602020000 
0000001018180000 000000008080E000 E0A0000000000000 0000202020600000 1010180800000000 0000000606060000 0C04060000000000 004040C040000000 
00000080C0C00000 000000002020E000 1C14000000000000 0000060202020000 80C0404000000000 000000001C1C0000 6020300000000000 0000083C00000000 
00000080C0C00000 1010700000000000 0000000602060000 0000087800000000 000000000030E000 E0E0000000000000 0C04060000000000 000000003C080000 
00000080C0C00000 E020200000000000 1C14000000000000 0000020202060000 000000000030E000 00001C1C00000000 00C0406000000000 000000003C080000 
00000080C0C00000 0070404000000000 0000000602060000 F080000000000000 000000000030E000 0000383800000000 0C04060000000000 000000003C080000 
00000080C0C00000 0070404000000000 0000000602060000 F080000000000000 000000000030E000 0000303030000000 0C04060000000000 000008080C080000 
00000080C0C00000 0070404000000000 0000302030000000 F080000000000000 000000000030E000 000000000E0E0000 0C04060000000000 0000081E00000000 
00000080C0C00000 0070404000000000 0000302030000000 F080000000000000 000000000030E000 0000000606060000 0C04060000000000 0000081808080000 
0000080C0C000000 00000002020E0000 00C040C000000000 F010000000000000 0000001010302000 00000000C0C0C000 0C04060000000000 0020302020000000 
0000080C0C000000 00000002020E0000 00C040C000000000 F010000000000000 0020301010000000 00000000C0C0C000 0C04060000000000 0000002020302000 
0000203030000000 000000008080E000 E0A0000000000000 0000000008780000 1010180800000000 0000000606060000 0C04060000000000 004040C040000000 
0000203030000000 000000008080E000 00C040C000000000 0000000040780000 0010180808000000 0000000606060000 0C04060000000000 F020000000000000 
0000203030000000 1C04040000000000 00C040C000000000 00000000003C2000 E030000000000000 00000000C0C0C000 000018080C000000 0000020602020000 
0000406060000000 7010100000000000 0C040C0000000000 0000020202060000 0000000000386000 0000001C1C000000 80E0200000000000 0000008080C08000 
0010181800000000 00002020E0000000 00C040C000000000 00000000021E0000 000000061C000000 0000000000E0E000 0C04060000000000 F020000000000000 
0000000060602000 0040407000000000 E0A0000000000000 000000808080C000 04040C0800000000 000000001C1C0000 1810300000000000 0000020602020000 
0000000606020000 00000010101C0000 0000000060206000 F080000000000000 0010180808000000 0060606000000000 0C04060000000000 0000008080C08000 
0000003030100000 1010700000000000 0000000602060000 000000808080C000 0000004040602000 E0E0000000000000 0C04060000000000 000008080C080000 
0000060602000000 0000704040000000 1C14000000000000 000000808080C000 000000001C060000 E0E0000000000000 0000083820000000 0000000000782000 
C0C0400000000000 000000002020E000 00000000141C0000 3C04000000000000 00301C0000000000 000000C0C0C00000 0000203808000000 0000020602020000 
C0C0400000000000 00000002020E0000 1C14000000000000 000000C080808000 00000E1800000000 0000000060606000 000000041C100000 2020302000000000 
C0C0400000000000 00000002020E0000 1C14000000000000 000000C080808000 0000081810100000 0000000060606000 000006040C000000 2020302000000000 
C0C0400000000000 00000002020E0000 0000000060406000 000000C080808000 000000001C300000 3030300000000000 0C04060000000000 0000083C00000000 
C0C0400000000000 000000008080E000 00000C080C000000 3C04000000000000 00000000301C0000 0030303000000000 000000C040600000 0000020602020000 
C0C0400000000000 0000000070404000 1C14000000000000 000000C080808000 00000E1800000000 0000000606060000 0000000008382000 2020302000000000 
C0C0400000000000 00000E0808000000 1C14000000000000 000000C080808000 0000000000386000 0000000606060000 0000001070400000 2020302000000000 
00000000C0C08000 0000080838000000 0070500000000000 F080000000000000 0000000000386000 0000000606060000 0C04060000000000 000020F000000000 
00000000C0C08000 00000E0202000000 1C14000000000000 0000003C04000000 000070C000000000 E0E0000000000000 0000000030206000 00000000081E0000 
0000006060400000 1010700000000000 0000000602060000 000000808080C000 0000001010302000 E0E0000000000000 0C04060000000000 000008080C080000 
