0000000206060000 0070101000000000 0000C040C0000000 F080000000000000 0000202030100000 0000000000E0E000 0C04060000000000 0000080C08080000 
0000000206060000 E080800000000000 0060406000000000 0000080808180000 0000001030202000 00000000C0C0C000 1810300000000000 0404060400000000 
0000001030300000 000000008080E000 00E0A00000000000 F010000000000000 0000180E00000000 000000000E0E0000 0C04060000000000 0000406040400000 
0000001030300000 000000008080E000 0000000602060000 0000C04040400000 1010302000000000 E0E0000000000000 0C04060000000000 000008080C080000 
0000002060600000 000000008080E000 0000000602060000 0000301010100000 8080C04000000000 7070000000000000 0C04060000000000 000008080C080000 
00000040C0C00000 000000002020E000 00000000141C0000 3C04000000000000 00301C0000000000 C0C0C00000000000 0000203808000000 0000020602020000 
0000020606000000 E080800000000000 0060406000000000 00000010F0000000 04040C0800000000 0000000000E0E000 1810300000000000 00000000081E0000 
0000081818000000 000000008080E000 7050000000000000 0000000040780000 8080C04000000000 0000000606060000 0C04060000000000 0020302020000000 
0000081818000000 7010100000000000 00000000C080C000 0060202020000000 8080C04000000000 0000000606060000 0C04060000000000 0000000000782000 
0000000080C0C000 00000002020E0000 1C14000000000000 2020203000000000 0000004060202000 C0C0C00000000000 000000041C100000 00001E0800000000 
0000000080C0C000 00000002020E0000 0030203000000000 3C04000000000000 0000004060202000 C0C0C00000000000 000000041C100000 00001E0800000000 
0000000080C0C000 8080E00000000000 0C040C0000000000 00000000003C2000 0000000C38000000 7070000000000000 0000107040000000 0000020206020000 
0000000080C0C000 E080800000000000 1C14000000000000 0040404060000000 0020203010000000 0000000606060000 0000000008382000 00001E0800000000 
0000000406060000 000000008080E000 0000003020300000 0000C04040400000 0404060200000000 E0E0000000000000 1810300000000000 0000080818080000 
0000000406060000 E080800000000000 0060406000000000 00000000F0100000 0404060200000000 0000000000E0E000 1810300000000000 0000081808080000 
000000080C0C0000 7010100000000000 0C040C0000000000 00000000F0100000 0000C07000000000 0000000000E0E000 80E0200000000000 0000020602020000 
000000080C0C0000 7010100000000000 0C040C0000000000 00000000F0100000 8080C04000000000 0000000000E0E000 0060203000000000 0000020602020000 
0000001018180000 000000008080E000 E0A0000000000000 0000202020600000 1010180800000000 0000000606060000 0C04060000000000 0040C04040000000 
0000001018180000 E080800000000000 0000000000A0E000 0060202020000000 1010180800000000 0000000606060000 0C04060000000000 00004040C0400000 
0000004060600000 000000008080E000 00000000141C0000 3C04000000000000 00301C0000000000 C0C0C00000000000 0000203808000000 0000020602020000 
0000080C0C000000 00000002020E0000 00000000C080C000 0000301010100000 8080C04000000000 7070000000000000 0C04060000000000 0000002020602000 
0000203030000000 000000008080E000 E0A0000000000000 0000000008780000 1010180800000000 0000000606060000 0C04060000000000 0040C04040000000 
0000203030000000 00000E0808000000 00000000C080C000 3C04000000000000 8080C04000000000 0000000606060000 4070100000000000 0000000000782000 
0004060600000000 00000010101C0000 C080C00000000000 0000006020202000 0060380000000000 00000000C0C0C000 000000080E020000 3C10000000000000 
0010181800000000 000000008080E000 00A0E00000000000 00000000021E0000 000000061C000000 0000006060600000 0C04060000000000 F040000000000000 
0010181800000000 000000008080E000 00A0E00000000000 0000000040780000 0000006038000000 0000000606060000 0C04060000000000 F040000000000000 
0040606000000000 E080800000000000 0000000C080C0000 00000000F0100000 1C30000000000000 0000000000E0E000 00041C1000000000 0000020206020000 
80C0C00000000000 000000008080E000 000000141C000000 00000000021E0000 0404060200000000 0000006060600000 0020380800000000 7810000000000000 
0000000606020000 00000010101C0000 00A0E00000000000 0000006020202000 0010180808000000 00000000C0C0C000 0C04060000000000 F040000000000000 
0000060602000000 000000008080E000 1C14000000000000 0000000040780000 000000001C060000 E0E0000000000000 0000083820000000 0000F04000000000 
0000060602000000 0000000038202000 0000283800000000 3C04000000000000 8080C04000000000 00000000C0C0C000 4070100000000000 00000000041E0000 
0000181808000000 000000008080E000 7050000000000000 0020202060000000 8080C04000000000 0000000606060000 0C04060000000000 0000000010780000 
0030301000000000 00000E0202000000 00000000C080C000 3C04000000000000 0000006038000000 C0C0C00000000000 0000000C04060000 0000000000782000 
00C0C04000000000 000000008080E000 0000000050700000 F010000000000000 0000180E00000000 000000000E0E0000 0C04060000000000 0020203020000000 
6060200000000000 00000002020E0000 1C14000000000000 0000003020202000 8080C04000000000 00000000C0C0C000 000000041C100000 00001E0800000000 
6060200000000000 0000080838000000 00000000C080C000 1010103000000000 8080C04000000000 0000000606060000 0C04060000000000 0000000000782000 
6060200000000000 000000008080E000 0000002838000000 0000000040780000 8080C04000000000 0000000606060000 0C04060000000000 1010181000000000 
6060200000000000 000000008080E000 0000000602060000 1010103000000000 8080C04000000000 0000000070700000 0C04060000000000 000008080C080000 
0000000030302000 00000002020E0000 0030203000000000 7840000000000000 8080C04000000000 00000000C0C0C000 000018080C000000 0404060400000000 
0000000030302000 00000002020E0000 C080C00000000000 3C04000000000000 0070180000000000 00000000C0C0C000 000006040C000000 0000207800000000 
00000000C0C08000 00000002020E0000 1C14000000000000 0000002020206000 00000E1800000000 E0E0000000000000 000000041C100000 0000F04000000000 
00000000C0C08000 00000002020E0000 1C14000000000000 0000002020206000 0000081810100000 E0E0000000000000 000006040C000000 0000F04000000000 
00000000C0C08000 000004041C000000 1C14000000000000 0000020202060000 0000000000386000 E0E0000000000000 0000083820000000 0000F04000000000 
00000000C0C08000 E080800000000000 1C14000000000000 0000407800000000 0060380000000000 0000060606000000 0000000030206000 00000000081E0000 
00000000C0C08000 E080800000000000 1C14000000000000 00001E0200000000 0000001C06000000 0060606000000000 0000000030206000 00000000081E0000 
0000006060400000 000000008080E000 1C14000000000000 00000000043C0000 2020301000000000 C0C0C00000000000 00000C0818000000 0000020602020000 
3030200000000000 000000008080E000 0000000602060000 0000000040780000 0000187000000000 C0C0C00000000000 0C04060000000000 000000083C000000 
3030200000000000 000000008080E000 0000006040600000 00000000021E0000 0000180E00000000 C0C0C00000000000 0C04060000000000 000000103C000000 
3030200000000000 0000000E02020000 00000000C080C000 000000003C040000 0000187000000000 C0C0C00000000000 0C04060000000000 0000000000782000 
C0C0800000000000 00000002020E0000 1C14000000000000 0000003020202000 2020604000000000 00000000C0C0C000 000000041C100000 00001E0800000000 
C0C0800000000000 0000080838000000 00000000C080C000 1010103000000000 2020604000000000 0000000606060000 0C04060000000000 0000000000782000 
C0C0800000000000 0010107000000000 0C040C0000000000 00000000003C2000 0000000C38000000 00000000C0C0C000 3020600000000000 0000020206020000 
C0C0800000000000 000000008080E000 0000002838000000 0000000040780000 2020604000000000 0000000606060000 0C04060000000000 1010181000000000 
C0C0800000000000 000000008080E000 0000005070000000 0000000008780000 1010180800000000 0000000606060000 0C04060000000000 2020602000000000 
C0C0800000000000 000000008080E000 0000000602060000 1010103000000000 2020604000000000 0000000070700000 0C04060000000000 000008080C080000 
C0C0800000000000 0010101C00000000 0C040C0000000000 00000000003C2000 0000006038000000 00000000C0C0C000 3020600000000000 0000020206020000 
C0C0800000000000 00000E0202000000 0030103000000000 3C04000000000000 0000000C38000000 0000000000E0E000 00006040C0000000 00000000041E0000 
