0000020606000000 0000704040000000 1C14000000000000 0000808080C00000 00000C3800000000 E0E0000000000000 0000000030206000 00000000081E0000 
0000103030000000 0000E08080000000 1C14000000000000 0000060202020000 0000080C04040000 E0E0000000000000 0000000008382000 0000004040C04000 
0000000406060000 0000000070404000 1C14000000000000 00001E0200000000 0000603800000000 E0E0000000000000 0000000008382000 000080C080800000 
0000000406060000 0000000070404000 1810180000000000 0000C08080800000 0404060200000000 E0E0000000000000 0000000008382000 0000207800000000 
00000080C0C00000 00000002020E0000 1C14000000000000 0000002020206000 00000E1800000000 E0E0000000000000 000000041C100000 0000F04000000000 
00000080C0C00000 00000002020E0000 1C14000000000000 0000002020206000 0000081810100000 E0E0000000000000 000006040C000000 0000F04000000000 
00000080C0C00000 000004041C000000 1C14000000000000 0000020202060000 0000000000386000 E0E0000000000000 0000083820000000 0000F04000000000 
00000080C0C00000 E080800000000000 1C14000000000000 0000407800000000 0060380000000000 0000060606000000 0000000030206000 00000000081E0000 
00000080C0C00000 E080800000000000 1C14000000000000 00001E0200000000 0000001C06000000 0060606000000000 0000000030206000 00000000081E0000 
0000080C0C000000 00000002020E0000 0070500000000000 F080000000000000 0000203010100000 0000000060606000 0C04060000000000 000080C080800000 
0000080C0C000000 00000002020E0000 00E0A00000000000 F010000000000000 000040C080800000 0000000060606000 0C04060000000000 0000103010100000 
0000203030000000 E080800000000000 1C14000000000000 0060404040000000 0000008080C04000 0000000606060000 0000000008382000 00001E0800000000 
0004060600000000 00000010101C0000 C080C00000000000 0000002020206000 0060380000000000 000000C0C0C00000 000000080E020000 3C10000000000000 
0010181800000000 000000E080800000 00A0E00000000000 00000000021E0000 000000061C000000 0000000060606000 0C04060000000000 F040000000000000 
0010181800000000 000000E080800000 00A0E00000000000 0000000078400000 0000000000386000 0000000606060000 0C04060000000000 F040000000000000 
80C0C00000000000 000000E080800000 000000141C000000 00000000021E0000 0404060200000000 0000000060606000 0020380800000000 7810000000000000 
00000000C0C04000 00000002020E0000 000000141C000000 808080C000000000 1010180800000000 6060600000000000 0C04060000000000 0000002020302000 
00000000C0C04000 008080E000000000 0050700000000000 0000080808180000 0000001030202000 0000000606060000 0C04060000000000 F020000000000000 
00000000C0C04000 00000E0202000000 1C14000000000000 808080C000000000 00000000180E0000 6060600000000000 0000101C04000000 0000002020302000 
00000000C0C04000 00000E0202000000 1C14000000000000 808080C000000000 0000101018080000 6060600000000000 0000000C04060000 0000002020302000 
00000000C0C04000 7010100000000000 0060206000000000 0000080808180000 0000001030202000 0000000606060000 0C04060000000000 8080C08000000000 
0000000606020000 00000010101C0000 00A0E00000000000 0000002020206000 0010180808000000 000000C0C0C00000 0C04060000000000 F040000000000000 
00000C0C04000000 0000701010000000 1C14000000000000 0000020202060000 0000002060404000 E0E0000000000000 0000000008382000 000080C080800000 
0030301000000000 00000E0202000000 000000C080C00000 3C04000000000000 0000000000386000 C0C0C00000000000 0000000C04060000 0000002078000000 
0060602000000000 E080800000000000 1C14000000000000 00001E0200000000 0000001C06000000 000000C0C0C00000 0000000030206000 00000000081E0000 
0060602000000000 E080800000000000 000000C080C00000 0000000878000000 0000000000386000 0000000606060000 0C04060000000000 1010181000000000 
0030302000000000 00000E0202000000 000000C080C00000 3C04000000000000 0000000000386000 C0C0C00000000000 0000000C04060000 0000001078000000 
C0C0800000000000 00000002020E0000 1C14000000000000 2020203000000000 000040C080800000 0000000060606000 000000041C100000 00001E0800000000 
C0C0800000000000 00000002020E0000 0030203000000000 3C04000000000000 000040C080800000 0000000060606000 000000041C100000 00001E0800000000 
C0C0800000000000 0000000808380000 0000000060406000 3020202000000000 000040C080800000 0000000606060000 0C04060000000000 0010181010000000 
C0C0800000000000 0000404070000000 1C14000000000000 2020203000000000 0000008080C04000 0000000606060000 0000000008382000 00001E0800000000 
C0C0800000000000 0000404070000000 0030203000000000 3C04000000000000 0000008080C04000 0000000606060000 0000000008382000 00001E0800000000 
C0C0800000000000 0000000070404000 1C14000000000000 2020203000000000 000040C080800000 0000000606060000 0000000008382000 00001E0800000000 
C0C0800000000000 0000000070404000 0030203000000000 3C04000000000000 000040C080800000 0000000606060000 0000000008382000 00001E0800000000 
