80C0C00000000000 00000E0202000000 1C14000000000000 0000003C04000000 000000C070000000 0000000000E0E000 6020300000000000 00000000081E0000 
80C0C00000000000 00000E0202000000 1C14000000000000 6020202000000000 000000C070000000 0000000000E0E000 0000101C04000000 00000000081E0000 
80C0C00000000000 7010100000000000 000000C040C00000 0020202030000000 000000000030E000 000000000E0E0000 0C04060000000000 0000081E00000000 
80C0C00000000000 7010100000000000 000000C040C00000 0020202030000000 000000000030E000 0000000606060000 0C04060000000000 0000081808080000 
0000003030100000 E080800000000000 1C14000000000000 0000020202060000 000004040C080000 0000000000E0E000 0020380800000000 004040C040000000 
0000060602000000 000000002020E000 000000C040C00000 3C04000000000000 C070000000000000 0000181818000000 0080E02000000000 00000000041E0000 
0000060602000000 0000080838000000 0030103000000000 3C04000000000000 008080C040000000 0000000000E0E000 C040600000000000 00000000041E0000 
0000060602000000 002020E000000000 0000000000A0E000 3C04000000000000 0010180808000000 C0C0C00000000000 0000001070400000 00000000041E0000 
0000C0C040000000 0070101000000000 0000000602060000 F080000000000000 0000202030100000 0000000000E0E000 0C04060000000000 000008080C080000 
6060200000000000 000000002020E000 1810180000000000 00000000021E0000 0404060200000000 0000001C1C000000 0000006040C00000 8080C08000000000 
6060200000000000 1C04040000000000 00000A0E00000000 0010101030000000 000000000030E000 000000000E0E0000 0000006040C00000 8080C08000000000 
0000000C0C080000 1C04040000000000 000000C040C00000 0000020202060000 000000000030E000 C0C0C00000000000 0000181030000000 2030202000000000 
00000C0C08000000 00000010101C0000 1C14000000000000 C080808000000000 2060404000000000 0000000000E0E000 0000302060000000 0000020206020000 
0000181810000000 000000002020E000 000000C040C00000 3C04000000000000 C070000000000000 0000060606000000 0080E02000000000 00000000081E0000 
00C0C08000000000 E020200000000000 1C14000000000000 0000020202060000 000000000030E000 00001C1C00000000 0000006040C00000 000000003C080000 
6060400000000000 0000000E02020000 0000000000A0E000 808080C000000000 0000202060400000 000000001C1C0000 0C04060000000000 1010181000000000 
