40C0C00000000000 000000008080E000 0000000C080C0000 3C20000000000000 0000202030100000 001C1C0000000000 000000C040600000 0000020206020000 
40C0C00000000000 00000E0202000000 000000C080C00000 0000000078080000 000000000030E000 1C1C000000000000 0000000C04060000 2020302000000000 
40C0C00000000000 1C04040000000000 0000000C080C0000 00000000F0100000 000030E000000000 0000000000E0E000 2038080000000000 0000020206020000 
40C0C00000000000 3820200000000000 00000000C080C000 0000020202060000 000000E030000000 00000C0C0C000000 041C100000000000 0000000000782000 
40C0C00000000000 3820200000000000 00000C080C000000 00000000003C2000 000000E030000000 00000000C0C0C000 041C100000000000 0000020602020000 
0000002030300000 000000008080E000 00E0A00000000000 0000180808080000 7018000000000000 0000000606060000 0C04060000000000 000040C040400000 
0000406060000000 000000008080E000 0000000602060000 000808080C000000 40C0808000000000 3030300000000000 0C04060000000000 0000000010780000 
0000406060000000 000000008080E000 3020300000000000 0018080808000000 40C0808000000000 0000000606060000 0C04060000000000 0000000010780000 
0000406060000000 7010100000000000 00E0A00000000000 0008080818000000 0000000000386000 0000000606060000 0C04060000000000 0000008080C08000 
0080C0C000000000 000000008080E000 0000000050700000 7840000000000000 0404060200000000 000000000E0E0000 0018080C00000000 0020302020000000 
0000000606020000 000000008080E000 0000000050700000 00000808080C0000 7018000000000000 00C0C0C000000000 0C04060000000000 0020302020000000 
0000000606020000 00000E0808000000 0000000000A0E000 00C0808080000000 00000000301C0000 1C1C000000000000 6020300000000000 0000406040400000 
0060602000000000 7010100000000000 0000000602060000 000808080C000000 0000000070180000 0000000000E0E000 0C04060000000000 008080C080000000 
0C0C040000000000 000000002020E000 6020600000000000 00C0808080000000 1010180800000000 000000001C1C0000 0000006040C00000 0000020602020000 
3030100000000000 000000008080E000 0000000602060000 000808080C000000 40C0808000000000 0000606060000000 0C04060000000000 0000000010780000 
00000000C0C08000 008080E000000000 0000000602060000 0008780000000000 0000000000386000 7070000000000000 0C04060000000000 000000083C000000 
00000000C0C08000 0000000E02020000 00C080C000000000 0000002020206000 7018000000000000 000000001C1C0000 0C04060000000000 0020780000000000 
00000000C0C08000 7010100000000000 00C080C000000000 0008080818000000 0000000000386000 0000000606060000 0C04060000000000 0020602020000000 
0000006060400000 0000000E02020000 0000000000A0E000 00C0808080000000 7018000000000000 000000001C1C0000 0C04060000000000 0020780000000000 
0030302000000000 7040400000000000 0000000602060000 000808080C000000 0000000070180000 0000000000E0E000 0C04060000000000 008080C080000000 
00C0C08000000000 000000008080E000 0000000050700000 0000180808080000 7018000000000000 0000000606060000 0C04060000000000 0020206020000000 
00C0C08000000000 000000008080E000 0000180818000000 0000000040780000 7018000000000000 0000000606060000 0C04060000000000 0020206020000000 
1818100000000000 000000002020E000 6020600000000000 00C0808080000000 04040C0800000000 000000001C1C0000 0000006040C00000 0000020602020000 
