0000000080C0C000 7040400000000000 0000000E0A000000 0000003020202000 008080C040000000 0038380000000000 0C04060000000000 00000000041E0000 
0000000080C0C000 7040400000000000 0038280000000000 0000101E00000000 008080C040000000 000000000E0E0000 0C04060000000000 0000002020302000 
0000000406060000 000000002020E000 0000001808180000 7840000000000000 0404060200000000 0038380000000000 0000006040C00000 0080C08080000000 
0000000406060000 000000008080E000 0018081800000000 0000000008780000 0404060200000000 00C0C0C000000000 0000302060000000 7820000000000000 
0000000406060000 7010100000000000 00C080C000000000 0808081800000000 0404060200000000 00000000C0C0C000 0000000008382000 0020602020000000 
0000000606020000 00E0808000000000 0000705000000000 00000808080C0000 7018000000000000 00000000C0C0C000 0C04060000000000 0000002020302000 
0000181808000000 000000008080E000 00C080C000000000 0000000040780000 7018000000000000 0000000606060000 0C04060000000000 0020602020000000 
0000C0C040000000 000000008080E000 0000000602060000 000808080C000000 70C0000000000000 0030303000000000 0C04060000000000 0000000020780000 
0000C0C040000000 000000008080E000 0018081800000000 0000000008780000 70C0000000000000 0000000606060000 0C04060000000000 0020302020000000 
00000000C0C08000 7010100000000000 0000000602060000 000808080C000000 0000000000386000 00E0E00000000000 0C04060000000000 000000F020000000 
00000000C0C08000 7010100000000000 0000000602060000 000808080C000000 0000000000386000 00C0C0C000000000 0C04060000000000 0020203020000000 
00000000C0C08000 00000E0808000000 00A0E00000000000 7840000000000000 0000000000386000 0000000606060000 041C100000000000 000000F020000000 
0000000C0C080000 1C04040000000000 0000705000000000 0000020202060000 40C0808000000000 00000000C0C0C000 2038080000000000 0000002020302000 
0000060604000000 000000008080E000 1C14000000000000 00000000021E0000 008080C040000000 6060600000000000 0000003020600000 0008180808000000 
0000303020000000 00E0808000000000 0000000000A0E000 0000080808180000 7018000000000000 0000000606060000 0C04060000000000 00004040C0400000 
0C0C080000000000 0010101C00000000 0000060206000000 0000006020202000 70C0000000000000 00000000C0C0C000 0020E08000000000 00000000081E0000 
0C0C080000000000 0010101C00000000 0000060206000000 0000006020202000 40C0808000000000 00000000C0C0C000 3020600000000000 00000000081E0000 
3030200000000000 000000008080E000 0000000028380000 0000020202060000 40C0808000000000 0C0C0C0000000000 0000101C04000000 0000406040400000 
