3038000000000000 00000002020E0000 000000141C000000 0000780800000000 40C0808000000000 00000000C0C0C000 0C04060000000000 0000002020302000 
3038000000000000 000000008080E000 0000002838000000 0000000040780000 40C0808000000000 0000000606060000 0C04060000000000 0000781000000000 
3038000000000000 0000701010000000 00000000C080C000 0000080808180000 40C0808000000000 0000000606060000 0C04060000000000 0000002020602000 
000000000E060000 04041C0000000000 00000000C080C000 0000021E00000000 40C0808000000000 3838000000000000 0000602030000000 0000000000782000 
000000000E060000 0008080E00000000 0000000000A0E000 0000101010180000 0000202060400000 7070000000000000 0C04060000000000 0080C08080000000 
000000000E060000 7010100000000000 0000000060206000 0808080C00000000 0404060200000000 00E0E00000000000 0000003010180000 0000008080C08000 
000000000E060000 001C101000000000 00000000C080C000 3C20000000000000 40C0808000000000 00000E0E00000000 0000602030000000 0000000000782000 
0000001C0C000000 04041C0000000000 00000000C080C000 0000020202060000 40C0808000000000 3838000000000000 0000602030000000 0000000000782000 
0000703000000000 1C04040000000000 0000000C080C0000 00000000F0100000 40C0808000000000 0000000000E0E000 2038080000000000 0000020206020000 
0000703000000000 00E0808000000000 0000000000A0E000 0000080808180000 7018000000000000 0000000606060000 0C04060000000000 00000000F0400000 
0000703000000000 00E0808000000000 0000000602060000 00000000F0100000 7018000000000000 0000000000E0E000 0C04060000000000 000008080C080000 
0038180000000000 00000002020E0000 0000C080C0000000 0000203C00000000 70C0000000000000 0000000000E0E000 0C04060000000000 000000003C100000 
0038180000000000 000000008080E000 0000E0A000000000 0C04040400000000 70C0000000000000 0000000070700000 00000018080C0000 0000020206020000 
0038180000000000 0000202038000000 0000C080C0000000 00000000021E0000 70C0000000000000 0000000000E0E000 0C04060000000000 0000001E04000000 
0038180000000000 0000202038000000 0000C080C0000000 0000001E02000000 70C0000000000000 0000000000E0E000 0C04060000000000 00000000041E0000 
0038180000000000 0000000E02020000 0000E0A000000000 00000000003C2000 70C0000000000000 00000000C0C0C000 0C04060000000000 000000103C000000 
0038180000000000 0000000038202000 0000E0A000000000 00000000021E0000 70C0000000000000 00000000C0C0C000 0C04060000000000 0000001E04000000 
0038180000000000 0000000038202000 0000E0A000000000 0000001E02000000 70C0000000000000 00000000C0C0C000 0C04060000000000 00000000041E0000 
0038180000000000 0000001C10100000 0000000060206000 7840000000000000 0404060200000000 000000000E0E0000 0080E02000000000 0000008080C08000 
0038180000000000 7040400000000000 000000000A0E0000 00808080C0000000 0000202030100000 0000000000E0E000 0C04060000000000 0000001E04000000 
3818000000000000 04041C0000000000 0000001C14000000 0000020202060000 40C0808000000000 00000000C0C0C000 0000000008382000 0020602020000000 
7030000000000000 00000002020E0000 0000602060000000 00C0808080000000 0008080C04000000 0000000000E0E000 0C04060000000000 0000101018100000 
7030000000000000 00000010101C0000 0000602060000000 00C0808080000000 0004040C08000000 0000000000E0E000 0C08180000000000 0000020206020000 
000000001C180000 0004041C00000000 0000000000A0E000 0000020202060000 0000202060400000 7070000000000000 0C08180000000000 0080C08080000000 
000000001C180000 0010101C00000000 00000000C080C000 0000020202060000 70C0000000000000 0C0C0C0000000000 0020E08000000000 0000002020602000 
000000001C180000 0010101C00000000 00000000C080C000 0000020202060000 40C0808000000000 0C0C0C0000000000 3020600000000000 0000002020602000 
00E0C00000000000 00000002020E0000 000000A0E0000000 0000301010100000 040C080800000000 0000000000E0E000 000006040C000000 7810000000000000 
00E0C00000000000 00000004041C0000 000000A0E0000000 0000060202020000 040C080800000000 0000000000E0E000 0000301018000000 7810000000000000 
1C18000000000000 00000002020E0000 6020600000000000 00C0808080000000 0000003860000000 0000000000E0E000 000000041C100000 00041E0000000000 
0000000040C0C000 00000E0202000000 6020600000000000 00C0808080000000 00000000180E0000 1C1C000000000000 0000101C04000000 0000002020302000 
0000000040C0C000 00000E0202000000 6020600000000000 00C0808080000000 0000101018080000 1C1C000000000000 0000000C04060000 0000002020302000 
0000000040C0C000 1C10100000000000 6020600000000000 00C0808080000000 00000000180E0000 0000060606000000 000C081800000000 0000002020302000 
0000020606000000 00000008080E0000 0C040C0000000000 0018101010000000 70C0000000000000 00000000C0C0C000 0020E08000000000 0000002020302000 
0000020606000000 00000008080E0000 0C040C0000000000 0018101010000000 40C0808000000000 00000000C0C0C000 3020600000000000 0000002020302000 
0008181800000000 00000002020E0000 1C14000000000000 00000000F0100000 40C0808000000000 0000000000E0E000 000006040C000000 2020602000000000 
0008181800000000 00000002020E0000 0000C080C0000000 3C04000000000000 0000202030100000 0000000000E0E000 000006040C000000 40F0000000000000 
40C0C00000000000 00000002020E0000 0000000060206000 3C20000000000000 001C060000000000 0000383800000000 000000041C100000 0000008080C08000 
40C0C00000000000 0008083800000000 0000000060206000 00000000021E0000 000000061C000000 3030300000000000 0C04060000000000 0000008080C08000 
40C0C00000000000 0008080E00000000 0000000060206000 00000000021E0000 000000301C000000 3030300000000000 0C04060000000000 0000008080C08000 
40C0C00000000000 0000380808000000 0000000060206000 3C20000000000000 001C060000000000 0000000606060000 0000003010180000 0000008080C08000 
40C0C00000000000 00000E0808000000 0000000060206000 3C20000000000000 001C300000000000 0000000606060000 0000003010180000 0000008080C08000 
40C0C00000000000 3820200000000000 0000000060206000 00000000021E0000 000000301C000000 00000E0E00000000 041C100000000000 0000008080C08000 
0000000406060000 000000008080E000 0000E0A000000000 3C04000000000000 0000101808080000 0000000070700000 00080E0200000000 40F0000000000000 
0000001018180000 0038080800000000 00000000C080C000 0000F08000000000 70C0000000000000 0000000606060000 0C04060000000000 0000002020602000 
0000001018180000 00E0808000000000 00000000C080C000 0000780800000000 7018000000000000 0000000606060000 0C04060000000000 0000002020602000 
00000080C0C00000 000000002020E000 0000000A0E000000 00000000101E0000 0808181000000000 7070000000000000 0080E02000000000 0404060400000000 
00000080C0C00000 000000002020E000 000000141C000000 00000000021E0000 0404060200000000 7070000000000000 0080E02000000000 0808180800000000 
00000080C0C00000 000000002020E000 00A0E00000000000 7840000000000000 00000C3800000000 000000001C1C0000 041C100000000000 0000020602020000 
00000080C0C00000 000000002020E000 00A0E00000000000 7840000000000000 04040C0800000000 000000001C1C0000 0018103000000000 0000020602020000 
00000080C0C00000 000000002020E000 00A0E00000000000 7840000000000000 0404060200000000 000000000E0E0000 0018080C00000000 0000103010100000 
00000080C0C00000 0008083800000000 0000000602060000 0080F00000000000 000000000030E000 7070000000000000 0C04060000000000 000000003C080000 
0000000606020000 00000010101C0000 000000A0E0000000 0018080808000000 70C0000000000000 0000000000E0E000 0C04060000000000 0020F00000000000 
