0000703000000000 000000008080E000 0000000602060000 000808080C000000 008080C040000000 7070000000000000 0C04060000000000 0000000010780000 
0038180000000000 000000008080E000 0000000050700000 0C04040400000000 70C0000000000000 0000E0E000000000 00000018080C0000 0000020206020000 
1C0C000000000000 00000008080E0000 6020600000000000 00C0808080000000 000000000030E000 0000060606000000 0000006040C00000 0010181010000000 
7030000000000000 0000701010000000 0000000C080C0000 00C0808080000000 000000000030E000 0C0C0C0000000000 0000006040C00000 0000020206020000 
0000000000706000 7010100000000000 00E0A00000000000 0808080C00000000 0404060200000000 000000000E0E0000 0000407010000000 00000080C0808000 
000000001C180000 0004041C00000000 0000000000A0E000 0000020202060000 0000206040400000 7070000000000000 0C08180000000000 0080C08080000000 
000000001C180000 0004041C00000000 7050000000000000 0000020202060000 0020206040000000 0000000000E0E000 0C08180000000000 0080C08080000000 
000000001C180000 000000008080E000 0C040C0000000000 0000020202060000 7018000000000000 00E0E00000000000 000000C040600000 0000103C00000000 
000000001C180000 00E0808000000000 0C040C0000000000 0000020202060000 7018000000000000 0000000000E0E000 00006040C0000000 0000103C00000000 
0000383000000000 00E0808000000000 0000000000A0E000 00000000101E0000 7018000000000000 0000000E0E000000 0C04060000000000 00004040C0400000 
0000706000000000 1C04040000000000 00000000C080C000 0000020202060000 40C0808000000000 0000001C1C000000 2038080000000000 0000000000782000 
0000706000000000 0000001C10100000 0000000000A0E000 3C04000000000000 00008080C0400000 000000000E0E0000 00080E0200000000 40F0000000000000 
0038300000000000 00000E0808000000 0000000000A0E000 3C04000000000000 40C0808000000000 0000000606060000 0000003010180000 00004040C0400000 
0038300000000000 00000E0808000000 0000000000A0E000 3C04000000000000 00008080C0400000 0000000606060000 0000003010180000 40C0404000000000 
0038300000000000 00000E0808000000 00000000C080C000 3C04000000000000 40C0808000000000 0000000606060000 0000407010000000 0000000000782000 
00E0C00000000000 000000008080E000 0000000050700000 0000180808080000 7018000000000000 0000000606060000 0C04060000000000 000020F000000000 
00E0C00000000000 000000008080E000 0000180818000000 0000000040780000 7018000000000000 0000000606060000 0C04060000000000 000020F000000000 
00E0C00000000000 0000380808000000 0000007050000000 000000808080C000 7018000000000000 0000000606060000 0C04060000000000 0000000000782000 
00E0C00000000000 0000380808000000 00000000C080C000 000000F010000000 7018000000000000 0000000606060000 0C04060000000000 0000000000782000 
00E0C00000000000 7010100000000000 00000000141C0000 000000808080C000 0000004040602000 0C0C0C0000000000 0000203808000000 0000020602020000 
1C18000000000000 00000002020E0000 6020600000000000 00C0808080000000 000000000030E000 0000001C1C000000 0000006040C00000 00041E0000000000 
1C18000000000000 00000002020E0000 6020600000000000 00C0808080000000 000000000030E000 0000181818000000 0000006040C00000 0004060404000000 
1C18000000000000 00000002020E0000 6020600000000000 00C0808080000000 0000080818100000 0000000000E0E000 0000107040000000 0004060404000000 
1C18000000000000 0040407000000000 00000000141C0000 00808080C0000000 00040C0808000000 0000000000E0E000 6020300000000000 0000020602020000 
7060000000000000 0000007010100000 0000000602060000 00808080C0000000 0018700000000000 0000000000E0E000 0C04060000000000 000008080C080000 
0000000040C0C000 04041C0000000000 0000001C14000000 0000020202060000 4040602000000000 3838000000000000 0000000008382000 008080C080000000 
0000000206060000 000000008080E000 0000000050700000 000010F000000000 7018000000000000 00E0E00000000000 0C04060000000000 0000080C08080000 
0000000206060000 0000007010100000 0000C080C0000000 0000180808080000 70C0000000000000 0000000000E0E000 0838200000000000 0404060400000000 
0000000818180000 0000007040400000 0000000000A0E000 00C0808080000000 7018000000000000 0000000606060000 0C04060000000000 0020780000000000 
0000020606000000 04041C0000000000 0000000000A0E000 00000000101E0000 40C0808000000000 3838000000000000 0000203808000000 00004040C0400000 
0000020606000000 04041C0000000000 0000000000A0E000 00000000101E0000 00008080C0400000 3838000000000000 0000203808000000 40C0404000000000 
0000040C0C000000 2020380000000000 0000000000A0E000 0000020202060000 40C0808000000000 1C1C000000000000 0000003010180000 00004040C0400000 
0000040C0C000000 2020380000000000 0000000000A0E000 0000020202060000 00008080C0400000 1C1C000000000000 0000003010180000 40C0404000000000 
0000040C0C000000 2020380000000000 00000000C080C000 0000020202060000 40C0808000000000 1C1C000000000000 0000407010000000 0000000000782000 
00040C0C00000000 000002020E000000 0030103000000000 00000000101E0000 40C0808000000000 0000000000E0E000 00006040C0000000 3C08000000000000 
0020606000000000 00000002020E0000 7050000000000000 00808080C0000000 0008080C04000000 0000000000E0E000 0C04060000000000 0000101018100000 
0020606000000000 00000010101C0000 7050000000000000 00808080C0000000 0004040C08000000 0000000000E0E000 0C08180000000000 0000020206020000 
40C0C00000000000 04041C0000000000 00000000141C0000 000000808080C000 0000004040602000 3838000000000000 0000203808000000 0000020602020000 
40C0C00000000000 000000008080E000 00000000141C0000 3020202000000000 0010101808000000 0C0C0C0000000000 000000C040600000 0000020602020000 
40C0C00000000000 000000008080E000 1C14000000000000 0000020202060000 00080C0404000000 0000001818180000 000000C040600000 2020302000000000 
40C0C00000000000 000000008080E000 1808180000000000 00000000021E0000 0404060200000000 0000001C1C000000 000000C040600000 2030202000000000 
40C0C00000000000 000000008080E000 0000000C080C0000 3C20000000000000 0000203010100000 001C1C0000000000 000000C040600000 0000020206020000 
40C0C00000000000 1C04040000000000 00000000C080C000 0000020202060000 000030E000000000 0000001C1C000000 2038080000000000 0000000000782000 
40C0C00000000000 0000001C10100000 1C14000000000000 000000808080C000 0000004040602000 000000000E0E0000 00080E0200000000 2020302000000000 
40C0C00000000000 3820200000000000 0000007050000000 0000020202060000 0000000000386000 00000C0C0C000000 041C100000000000 0000008080C08000 
0000000406060000 000000008080E000 0000000050700000 3C04000000000000 0000101808080000 0000E0E000000000 00080E0200000000 40F0000000000000 
0000000406060000 000000008080E000 1C14000000000000 0000404040600000 40C0808000000000 0000001818180000 00080E0200000000 2020302000000000 
000000080C0C0000 00001C1010000000 6020600000000000 00C0808080000000 000000000030E000 1C1C000000000000 0000006040C00000 0000020602020000 
0004060600000000 000008080E000000 0030103000000000 00000000101E0000 40C0808000000000 0000000000E0E000 00006040C0000000 3C08000000000000 
0080C0C000000000 000000008080E000 7050000000000000 0000000040780000 0020203010000000 0000000606060000 0C04060000000000 0008180808000000 
0080C0C000000000 00000E0808000000 00000000C080C000 7840000000000000 0020203010000000 0000000606060000 041C100000000000 0000000000782000 
1018180000000000 008080E000000000 00000000C080C000 0000001E02000000 000000001C060000 6060600000000000 0C04060000000000 0000000000782000 
1018180000000000 0000000E02020000 0000000000A0E000 2020203000000000 40C0808000000000 000000001C1C0000 0C04060000000000 00004040C0400000 
1018180000000000 0000000E02020000 0000000000A0E000 2020203000000000 00008080C0400000 000000001C1C0000 0C04060000000000 40C0404000000000 
0000000C0C040000 2020380000000000 0000000000A0E000 0000060202020000 40C0808000000000 1C1C000000000000 0000003010180000 00004040C0400000 
0000000C0C040000 2020380000000000 0000000000A0E000 0000060202020000 00008080C0400000 1C1C000000000000 0000003010180000 40C0404000000000 
0000000C0C040000 2020380000000000 00000000C080C000 0000060202020000 40C0808000000000 1C1C000000000000 0000407010000000 0000000000782000 
000000C0C0400000 0070101000000000 0000000000A0E000 7808000000000000 04040C0800000000 000000001C1C0000 0080E02000000000 0000020602020000 
0000060602000000 000000008080E000 0000283800000000 0000000040780000 000000001C060000 00C0C0C000000000 041C100000000000 7820000000000000 
0000060602000000 1C10100000000000 00000000C080C000 6020202000000000 000000001C060000 00C0C0C000000000 000C081800000000 0000000000782000 
0000303010000000 00E0808000000000 0000000000A0E000 0000080808180000 7018000000000000 0000000606060000 0C04060000000000 00004040C0400000 
0000C0C040000000 000000008080E000 0000000602060000 000808080C000000 70C0000000000000 0030303000000000 0C04060000000000 0000000010780000 
1818080000000000 0000001C10100000 0000000000A0E000 00C0808080000000 0404060200000000 000000000E0E0000 6020300000000000 0000406040400000 
3030100000000000 000000008080E000 00000000141C0000 0000404040600000 40C0808000000000 0C0C0C0000000000 0000203808000000 0000020602020000 
6060200000000000 1C04040000000000 00000A0E00000000 0018101010000000 000000000030E000 000000000E0E0000 0000006040C00000 0080C08080000000 
00000000C0C08000 000004041C000000 0000283800000000 0000020202060000 0000000000386000 00C0C0C000000000 041C100000000000 7820000000000000 
00000000C0C08000 008080E000000000 6040600000000000 0008080818000000 0000000000386000 0000000606060000 0C04060000000000 1030101000000000 
00000000C0C08000 0000000E02020000 1C14000000000000 6020202000000000 0000000000386000 00C0C0C000000000 000000101C040000 00081E0000000000 
00000000C0C08000 7010100000000000 00E0A00000000000 0008080818000000 0000000000386000 0000000606060000 0C04060000000000 000040F000000000 
0000000C0C080000 000000008080E000 0C040C0000000000 0000020202060000 7018000000000000 00E0E00000000000 000000C040600000 0000103010100000 
0000000C0C080000 00E0808000000000 0C040C0000000000 0000020202060000 7018000000000000 0000000000E0E000 00006040C0000000 0000103010100000 
0000060604000000 000000008080E000 000000000A0E0000 3C04000000000000 40C0808000000000 0038380000000000 0000001810300000 0000406040400000 
0000060604000000 0038080800000000 000000000A0E0000 3C04000000000000 40C0808000000000 0000000000E0E000 00006040C0000000 0000103010100000 
