0000000070600000 000000008080E000 0C040C0000000000 6020202000000000 00000000061C0000 00C0C0C000000000 0000020E08000000 1018101000000000 
0000000070600000 000000008080E000 0C040C0000000000 6020202000000000 0000020206040000 00C0C0C000000000 0000000C08180000 1018101000000000 
0000003830000000 000002020E000000 3828000000000000 00000000003C2000 40C0808000000000 00000000C0C0C000 0010704000000000 04040C0400000000 
7060000000000000 0008080E00000000 0000602060000000 0010101018000000 00000000061C0000 0000000000E0E000 0C04060000000000 008080C080000000 
000000040C0C0000 00000E0202000000 0018101800000000 3C04000000000000 4060202000000000 0000000000E0E000 0000004070100000 0080C08080000000 
000000040C0C0000 00000E0202000000 00C080C000000000 00000000F0100000 0000603800000000 0000000000E0E000 041C100000000000 7820000000000000 
0000000818180000 000000002020E000 00A0E00000000000 7840000000000000 0000020206040000 000000C0C0C00000 0018103000000000 04040C0400000000 
0000002060600000 000000008080E000 00C080C000000000 0000001E02000000 7018000000000000 000000001C1C0000 0C04060000000000 0020780000000000 
0000020606000000 00000010101C0000 1C14000000000000 00808080C0000000 0040406020000000 0000000000E0E000 6020300000000000 00080C0808000000 
0000020606000000 0040407000000000 1C14000000000000 00808080C0000000 00000000301C0000 0000000000E0E000 6020300000000000 00080C0808000000 
0000020606000000 1C04040000000000 00C080C000000000 00000000F0100000 6038000000000000 0000000000E0E000 00000018080C0000 0000782000000000 
0020606000000000 000002020E000000 000C040C00000000 00000000003C2000 40C0808000000000 00000000C0C0C000 0000181030000000 3C10000000000000 
040C0C0000000000 000000002020E000 00A0E00000000000 7840000000000000 00000000061C0000 000000C0C0C00000 0000020E08000000 0010103010000000 
040C0C0000000000 000000002020E000 00A0E00000000000 7840000000000000 0000020206040000 000000C0C0C00000 0000000C08180000 0010103010000000 
040C0C0000000000 008080E000000000 0000000000A0E000 1810101000000000 00000000061C0000 6060600000000000 0000020E08000000 00000000F0400000 
040C0C0000000000 008080E000000000 0000000000A0E000 1810101000000000 0000020206040000 6060600000000000 0000000C08180000 00000000F0400000 
040C0C0000000000 008080E000000000 0050700000000000 00000010F0000000 00000000061C0000 0000000000E0E000 0000020E08000000 7820000000000000 
040C0C0000000000 008080E000000000 0050700000000000 00000010F0000000 0000020206040000 0000000000E0E000 0000000C08180000 7820000000000000 
0818180000000000 00000010101C0000 0000000A0E000000 0000006020202000 70C0000000000000 00000000C0C0C000 0020E08000000000 0404060400000000 
