040C0C0000000000 7010100000000000 0000000C080C0000 000000808080C000 0000C07000000000 0000000070700000 80E0200000000000 0000020206020000 
040C0C0000000000 7010100000000000 0000000C080C0000 000000808080C000 8080C04000000000 0000000070700000 0060203000000000 0000020206020000 
040C0C0000000000 7010100000000000 0000000C080C0000 0000C08080800000 000000000070C000 0000007070000000 80E0200000000000 0000020206020000 
040C0C0000000000 E080800000000000 00000000C080C000 0000020202060000 000030E000000000 0000001C1C000000 1070400000000000 0000000020780000 
040C0C0000000000 E080800000000000 00000000C080C000 0000020202060000 1010302000000000 0000001C1C000000 006040C000000000 0000000020780000 
0000000080C0C000 000004041C000000 0000283800000000 0000020202060000 0000000060380000 00C0C0C000000000 041C100000000000 F020000000000000 
0000000080C0C000 00000E0202000000 141C000000000000 C080808000000000 2020301000000000 0000000038380000 0000000C04060000 0040406040000000 
0000000080C0C000 00000E0808000000 00A0E00000000000 000000F010000000 0000000060380000 0000000606060000 041C100000000000 F040000000000000 
0000000080C0C000 E080800000000000 141C000000000000 0000020202060000 000004040C080000 0000003030300000 0020380800000000 004040C040000000 
0000000406060000 0000004040700000 00A0E00000000000 000000808080C000 0404060200000000 0018181800000000 0000002038080000 F040000000000000 
000000080C0C0000 00000000E0808000 141C000000000000 808080C000000000 00001C3000000000 6060600000000000 0000000010704000 0000020602020000 
000000080C0C0000 00001C1010000000 141C000000000000 808080C000000000 000000000070C000 6060600000000000 00000020E0800000 0000020602020000 
0000001018180000 000000E020200000 00A0E00000000000 0000060202020000 0000080C04040000 00000000C0C0C000 041C100000000000 F040000000000000 
0000002030300000 00000002020E0000 6040600000000000 808080C000000000 040C080800000000 00000000C0C0C000 000006040C000000 1030101000000000 
0000004060600000 00000002020E0000 141C000000000000 000000808080C000 00000E1800000000 E0E0000000000000 000000041C100000 0000F02000000000 
0000004060600000 00000002020E0000 141C000000000000 000000808080C000 00000E1800000000 C0C0C00000000000 000000041C100000 2020302000000000 
0000004060600000 00000002020E0000 141C000000000000 000000808080C000 0000E03000000000 E0E0000000000000 000000041C100000 00001E0800000000 
0000004060600000 00000002020E0000 141C000000000000 000000808080C000 0000081810100000 E0E0000000000000 000006040C000000 0000F02000000000 
0000004060600000 00000002020E0000 141C000000000000 000000808080C000 0000081810100000 C0C0C00000000000 000006040C000000 2020302000000000 
0000080C0C000000 00000010101C0000 141C000000000000 0000060202020000 0000406020200000 00000000C0C0C000 6020300000000000 80C0808000000000 
