0000003030100000 0000704040000000 000000000A0E0000 00C0808080000000 0404060200000000 0000000000E0E000 0018080C00000000 F020000000000000 
000000C0C0400000 00000E0202000000 0000000000A0E000 3020202000000000 0000001C30000000 C0C0C00000000000 041C100000000000 00000000081E0000 
000000C0C0400000 E080800000000000 0000000000A0E000 00000000021E0000 0404060200000000 0000303030000000 1070400000000000 0008080C08000000 
6060200000000000 000000008080E000 141C000000000000 00000000021E0000 0000000038600000 00000E0E00000000 0000107040000000 8080C08000000000 
C0C0400000000000 00000002020E0000 3020300000000000 0018080808000000 0000001010302000 00000000C0C0C000 000080E020000000 0404060400000000 
0000000030302000 00000002020E0000 141C000000000000 C080808000000000 2060404000000000 00000000C0C0C000 0000203808000000 00001E0400000000 
0060604000000000 00008080E0000000 000000000A0E0000 F080000000000000 0404060200000000 0000000000E0E000 0018080C00000000 0000103010100000 
00C0C08000000000 000000008080E000 000000000A0E0000 0000301010100000 0404060200000000 0000006060600000 0018080C00000000 F020000000000000 
00C0C08000000000 E020200000000000 141C000000000000 00000000021E0000 00001C3000000000 0000000000E0E000 0000020E08000000 00000040F0000000 
00C0C08000000000 E020200000000000 141C000000000000 0000020202060000 00001C3000000000 0000000000E0E000 0000000C08180000 00000040F0000000 
C0C0800000000000 000000008080E000 0000000602060000 3020202000000000 00000E1800000000 0000000038380000 041C100000000000 000040C040400000 
C0C0800000000000 0000000038202000 3020300000000000 00000000021E0000 0404060200000000 00000000C0C0C000 0018080C00000000 000040F000000000 
