0000020606000000 E080800000000000 141C000000000000 0000003020202000 00000000180E0000 00000000C0C0C000 006040C000000000 00003C0800000000 
0040C0C000000000 00000002020E0000 0000000000A0E000 F080000000000000 040C080800000000 0030303000000000 000006040C000000 00000000F0400000 
040C0C0000000000 0000101070000000 0000000C080C0000 F080000000000000 0070C00000000000 0000000000E0E000 000020E080000000 0000020206020000 
040C0C0000000000 0000101070000000 0000000C080C0000 F080000000000000 0040C08080000000 0000000000E0E000 0030206000000000 0000020206020000 
040C0C0000000000 000000008080E000 0000000038280000 0000020202060000 0000206040400000 7070000000000000 0000101C04000000 8080C08000000000 
040C0C0000000000 000000008080E000 0000000C080C0000 F080000000000000 0070C00000000000 0000303030000000 000000C040600000 0000020206020000 
040C0C0000000000 00008080E0000000 0000000C080C0000 F010000000000000 00E0300000000000 0000000000E0E000 0000407010000000 0000020206020000 
040C0C0000000000 00008080E0000000 0000000C080C0000 F010000000000000 0020301010000000 0000000000E0E000 00C0406000000000 0000020206020000 
040C0C0000000000 7010100000000000 0000000C080C0000 00000080F0000000 0000C07000000000 0000000000E0E000 80E0200000000000 0000020206020000 
040C0C0000000000 7010100000000000 0000000C080C0000 00000080F0000000 8080C04000000000 0000000000E0E000 0060203000000000 0000020206020000 
040C0C0000000000 0000E08080000000 0000000C080C0000 1010103000000000 0000004040C08000 E0E0000000000000 0000000030206000 0000020206020000 
040C0C0000000000 E080800000000000 0000000000A0E000 0000021E00000000 000030E000000000 000000000E0E0000 1070400000000000 00000000F0400000 
040C0C0000000000 E080800000000000 0000000000A0E000 0000021E00000000 1010302000000000 000000000E0E0000 006040C000000000 00000000F0400000 
040C0C0000000000 E080800000000000 0000000C080C0000 00000010F0000000 000030E000000000 0000000000E0E000 1070400000000000 0000020206020000 
040C0C0000000000 E080800000000000 0000000C080C0000 00000010F0000000 1010302000000000 0000000000E0E000 006040C000000000 0000020206020000 
040C0C0000000000 E080800000000000 0000000C080C0000 000000808080C000 0000004040602000 0000303030000000 1070400000000000 0000020206020000 
0000000080C0C000 00000E0202000000 141C000000000000 808080C000000000 00000000180E0000 6060600000000000 0000101C04000000 0000002060202000 
0000000080C0C000 00000E0202000000 141C000000000000 808080C000000000 0000101018080000 6060600000000000 0000000C04060000 0000002060202000 
0000000080C0C000 E080800000000000 141C000000000000 0000003020202000 00000000180E0000 0000060606000000 0020380800000000 004040C040000000 
0000000406060000 000000002020E000 00000E0A00000000 043C000000000000 0000101018080000 000000C0C0C00000 0080E02000000000 F040000000000000 
0000000406060000 0038080800000000 0000705000000000 00808080C0000000 0404060200000000 0000000000E0E000 0000002038080000 F040000000000000 
0000000406060000 0000704040000000 0018081800000000 00C0808080000000 0404060200000000 0000000000E0E000 0000002038080000 F020000000000000 
000000080C0C0000 E080800000000000 141C000000000000 00003C2000000000 0000001030202000 00000000C0C0C000 006040C000000000 0000020602020000 
00000080C0C00000 000000002020E000 00A0E00000000000 0000087800000000 00000000180E0000 0000060606000000 041C100000000000 F040000000000000 
000080C0C0000000 00000002020E0000 E0A0000000000000 000000203C000000 1018080800000000 0000000000E0E000 0040701000000000 0404060400000000 
0020303000000000 00000002020E0000 0000000000A0E000 F010000000000000 040C080800000000 00C0C0C000000000 000006040C000000 00000000F0400000 
0020303000000000 7040400000000000 0000000000A0E000 808080C000000000 0404060200000000 000000000E0E0000 0018080C00000000 00000000F0400000 
0080C0C000000000 00000002020E0000 0000382800000000 043C000000000000 0000001030202000 00000000C0C0C000 000006040C000000 F040000000000000 
1018180000000000 E080800000000000 0000000000A0E000 0000203C00000000 0404060200000000 000000000E0E0000 006040C000000000 00000000F0400000 
80C0C00000000000 000000008080E000 141C000000000000 6020202000000000 00000000380C0000 00001C1C00000000 000000C040600000 0000020206020000 
0000000606020000 000000008080E000 141C000000000000 2020203000000000 00000000380C0000 C0C0C00000000000 000000C040600000 00001E0800000000 
6060200000000000 00000E0202000000 141C000000000000 0000006020202000 00000000180E0000 00000000C0C0C000 0000101C04000000 8080C08000000000 
6060200000000000 00000E0202000000 141C000000000000 0000006020202000 0000101018080000 00000000C0C0C000 0000000C04060000 8080C08000000000 
C0C0400000000000 00000002020E0000 0000000000A0E000 000080F000000000 040C080800000000 3030300000000000 000006040C000000 00000000F0400000 
00000000C0C08000 00000002020E0000 0028380000000000 F010000000000000 000000380C000000 00C0C0C000000000 0000000030206000 0404060400000000 
00000000C0C08000 00000002020E0000 141C000000000000 808080C000000000 000000380C000000 6060600000000000 0000000030206000 00001E0400000000 
00000000C0C08000 04041C0000000000 0060206000000000 0000021E00000000 7018000000000000 000000000E0E0000 0000000030206000 8080C08000000000 
00000000C0C08000 0000701010000000 00C080C000000000 0000002020206000 0404060200000000 000000000E0E0000 0018080C00000000 F020000000000000 
00000000C0C08000 7040400000000000 0038280000000000 808080C000000000 0404060200000000 000000000E0E0000 0000000030206000 0000103C00000000 
00000000C0C08000 E080800000000000 141C000000000000 0000060202020000 0060380000000000 0000000C0C0C0000 0000000030206000 000040F000000000 
0000006060400000 0000701010000000 0000000000A0E000 00C0808080000000 0404060200000000 000000000E0E0000 0018080C00000000 F020000000000000 
0000060604000000 000000002020E000 000000000A0E0000 0030101010000000 040C080800000000 000000C0C0C00000 0080E02000000000 F040000000000000 
0000C0C080000000 00000002020E0000 0000000000A0E000 000808080C000000 1010302000000000 E0E0000000000000 0000001070400000 0404060400000000 
0060604000000000 00008080E0000000 0000060206000000 F080000000000000 00000000180E0000 0000000000E0E000 041C100000000000 0000083C00000000 
3030200000000000 00000002020E0000 0000000000A0E000 000010F000000000 040C080800000000 C0C0C00000000000 000006040C000000 00000000F0400000 
C0C0800000000000 000000008080E000 141C000000000000 00001E0200000000 0000001C30000000 000000000E0E0000 000000C040600000 2020602000000000 
C0C0800000000000 000000008080E000 0000000038280000 3020202000000000 00000E1800000000 0000000606060000 041C100000000000 000040C040400000 
C0C0800000000000 00000008080E0000 141C000000000000 000000808080C000 0000004040602000 0000060606000000 0000181030000000 2020602000000000 
C0C0800000000000 00000E0202000000 141C000000000000 000000C080808000 00000000180E0000 0000000060606000 0000101C04000000 2020602000000000 
C0C0800000000000 00000E0202000000 141C000000000000 000000C080808000 0000101018080000 0000000060606000 0000000C04060000 2020602000000000 
